PFAS,expo,chip,mean,sd
PFOS,Single,Static (A to B),8427.420167,432.5704625
PFBS,Single,Static (A to B),33.15460931,2.401430124
PFHxA,Single,Static (A to B),118.2762175,71.56780322
PFOS,Mixture,Static (A to B),3620.850035,115.963129
PFBS,Mixture,Static (A to B),8.732486827,0.692310421
PFHxA,Mixture,Static (A to B),28.85803136,1.157721291
PFOS,Single,Static (B to A),1543.469294,330.2887339
PFBS,Single,Static (B to A),20.04316522,2.56589619
PFHxA,Single,Static (B to A),40.63756923,6.797715286
PFOS,Mixture,Static (B to A),460.7515478,43.38195981
PFBS,Mixture,Static (B to A),6.732136165,0.592408364
PFHxA,Mixture,Static (B to A),18.957643,4.146068998
PFOS,Single,Fludic (A to B),10033.72166,2514.191739
PFBS,Single,Fludic (A to B),45.01388819,7.005457564
PFHxA,Single,Fludic (A to B),96.62491915,18.36353631
PFOS,Mixture,Fludic (A to B),4597.078924,380.8652664
PFBS,Mixture,Fludic (A to B),10.6247678,0.882893813
PFHxA,Mixture,Fludic (A to B),42.95354715,7.84993696
PFOS,Single,Fludic (B to A),1595.288791,215.347397
PFBS,Single,Fludic (B to A),27.6661235,3.429211241
PFHxA,Single,Fludic (B to A),31.97351114,10.86731203
PFOS,Mixture,Fludic (B to A),624.526854,39.25391924
PFBS,Mixture,Fludic (B to A),10.01000687,0.454876992
PFHxA,Mixture,Fludic (B to A),19.44603988,5.084143025
PFOS,Single,2D,6200.168619,251.0508958
PFBS,Single,2D,55.20327285,3.319534319
PFHxA,Single,2D,42.89334765,2.946743758
PFOS,Mixture,2D,4570.390683,315.1966298
PFBS,Mixture,2D,26.74501861,0.454480163
PFHxA,Mixture,2D,15.11471124,0.486873082
