PFAS,assay,assay.2,expo,Time,CLr_ml_day_kg
PFOS,Static,Transwell,Single,2,12.20768624
PFOS,Static,Transwell,Single,4,11.06837657
PFOS,Static,Transwell,Single,24,12.05448793
PFOS,Static,Transwell,Single,48,11.68762742
PFOS,Static,Transwell,Mixture,2,12.8951729
PFOS,Static,Transwell,Mixture,4,12.32458448
PFOS,Static,Transwell,Mixture,24,12.52658321
PFOS,Static,Transwell,Mixture,48,12.30976569
PFOS,Fluidic,CNBio,Single,2,12.53961481
PFOS,Fluidic,CNBio,Single,4,11.53555943
PFOS,Fluidic,CNBio,Single,24,11.77042909
PFOS,Fluidic,CNBio,Single,48,12.21508082
PFOS,Fluidic,CNBio,Mixture,2,12.81300676
PFOS,Fluidic,CNBio,Mixture,4,10.55816958
PFOS,Fluidic,CNBio,Mixture,24,11.62987541
PFOS,Fluidic,CNBio,Mixture,48,12.32848998
PFBS,Static,Transwell,Single,2,
PFBS,Static,Transwell,Single,4,
PFBS,Static,Transwell,Single,24,51.82380185
PFBS,Static,Transwell,Single,48,52.17121024
PFBS,Static,Transwell,Mixture,2,56.55499403
PFBS,Static,Transwell,Mixture,4,53.89647829
PFBS,Static,Transwell,Mixture,24,52.46512108
PFBS,Static,Transwell,Mixture,48,52.14839135
PFBS,Fluidic,CNBio,Single,2,
PFBS,Fluidic,CNBio,Single,4,
PFBS,Fluidic,CNBio,Single,24,51.9520766
PFBS,Fluidic,CNBio,Single,48,52.03330695
PFBS,Fluidic,CNBio,Mixture,2,54.65786083
PFBS,Fluidic,CNBio,Mixture,4,53.93794096
PFBS,Fluidic,CNBio,Mixture,24,51.8245382
PFBS,Fluidic,CNBio,Mixture,48,51.54481346
PFHxA,Static,Transwell,Single,2,42.3218622
PFHxA,Static,Transwell,Single,4,43.68464611
PFHxA,Static,Transwell,Single,24,45.53624256
PFHxA,Static,Transwell,Single,48,45.72315928
PFHxA,Static,Transwell,Mixture,2,39.40919382
PFHxA,Static,Transwell,Mixture,4,39.439246
PFHxA,Static,Transwell,Mixture,24,44.80910051
PFHxA,Static,Transwell,Mixture,48,44.732165
PFHxA,Fluidic,CNBio,Single,2,42.37575936
PFHxA,Fluidic,CNBio,Single,4,42.43735877
PFHxA,Fluidic,CNBio,Single,24,45.26008417
PFHxA,Fluidic,CNBio,Single,48,45.3888964
PFHxA,Fluidic,CNBio,Mixture,2,42.97409319
PFHxA,Fluidic,CNBio,Mixture,4,41.10335567
PFHxA,Fluidic,CNBio,Mixture,24,44.38839751
PFHxA,Fluidic,CNBio,Mixture,48,44.41136944
