ID,PFAS,assay,expo,value
1,PFOS,2D,Single,0.000399745
1,PFOS,2D,Single,0.000406207
1,PFOS,2D,Single,0.000412454
1,PFOS,2D,Single,0.00043045
1,PFOS,2D,Single,0.000465111
2,PFOS,2D,Mixture,0.00002846
2,PFOS,2D,Mixture,0.0000347
2,PFOS,2D,Mixture,0.00005015
2,PFOS,2D,Mixture,0.0000714
2,PFOS,2D,Mixture,0.00009156
7,PFBS,2D,Single,0.08612403
7,PFBS,2D,Single,0.08730184
7,PFBS,2D,Single,0.088774101
7,PFBS,2D,Single,0.092707849
7,PFBS,2D,Single,0.095854847
8,PFBS,2D,Mixture,0.073510577
8,PFBS,2D,Mixture,0.073681792
8,PFBS,2D,Mixture,0.07389581
8,PFBS,2D,Mixture,0.074883437
8,PFBS,2D,Mixture,0.075673539
13,PFHxA,2D,Single,0.108134208
13,PFHxA,2D,Single,0.113626174
13,PFHxA,2D,Single,0.116692986
13,PFHxA,2D,Single,0.119662002
13,PFHxA,2D,Single,0.124919256
14,PFHxA,2D,Mixture,0.127949087
14,PFHxA,2D,Mixture,0.129911121
14,PFHxA,2D,Mixture,0.131458124
14,PFHxA,2D,Mixture,0.133589368
14,PFHxA,2D,Mixture,0.136953578
