time,PFAS,study,compartment.name,Obs_conc,assay,assay.2,expo
24,PFBS,AtoB,Blood,1.001498443,Static,Transwell,Single
24,PFBS,AtoB,Blood,0.846297499,Static,Transwell,Single
24,PFBS,AtoB,Blood,1.070347352,Static,Transwell,Single
48,PFBS,AtoB,Blood,1.458812247,Static,Transwell,Single
48,PFBS,AtoB,Blood,1.542823186,Static,Transwell,Single
48,PFBS,AtoB,Blood,1.645169256,Static,Transwell,Single
24,PFBS,BtoA,Lumen,0.172655583,Static,Transwell,Single
24,PFBS,BtoA,Lumen,0.170921459,Static,Transwell,Single
24,PFBS,BtoA,Lumen,0.188217246,Static,Transwell,Single
48,PFBS,BtoA,Lumen,0.291090957,Static,Transwell,Single
48,PFBS,BtoA,Lumen,0.301385498,Static,Transwell,Single
48,PFBS,BtoA,Lumen,0.310972546,Static,Transwell,Single
48,PFBS,AtoB,Cell,35.78749624,Static,Transwell,Single
48,PFBS,AtoB,Cell,31.08464575,Static,Transwell,Single
48,PFBS,AtoB,Cell,32.59168016,Static,Transwell,Single
48,PFBS,BtoA,Cell,22.84805522,Static,Transwell,Single
48,PFBS,BtoA,Cell,17.81412203,Static,Transwell,Single
48,PFBS,BtoA,Cell,19.46731494,Static,Transwell,Single
24,PFBS,AtoB,Blood,1.067807034,Fluidic,CNBio,Single
24,PFBS,AtoB,Blood,1.063307349,Fluidic,CNBio,Single
24,PFBS,AtoB,Blood,1.143287456,Fluidic,CNBio,Single
48,PFBS,AtoB,Blood,1.914871391,Fluidic,CNBio,Single
48,PFBS,AtoB,Blood,1.862748411,Fluidic,CNBio,Single
48,PFBS,AtoB,Blood,1.965847103,Fluidic,CNBio,Single
24,PFBS,BtoA,Lumen,0.218294505,Fluidic,CNBio,Single
24,PFBS,BtoA,Lumen,0.215138522,Fluidic,CNBio,Single
24,PFBS,BtoA,Lumen,0.219798257,Fluidic,CNBio,Single
48,PFBS,BtoA,Lumen,0.38157818,Fluidic,CNBio,Single
48,PFBS,BtoA,Lumen,0.371839666,Fluidic,CNBio,Single
48,PFBS,BtoA,Lumen,0.37783683,Fluidic,CNBio,Single
48,PFBS,AtoB,Cell,36.92732418,Fluidic,CNBio,Single
48,PFBS,AtoB,Cell,49.23625701,Fluidic,CNBio,Single
48,PFBS,AtoB,Cell,48.87807556,Fluidic,CNBio,Single
48,PFBS,BtoA,Cell,23.70772101,Fluidic,CNBio,Single
48,PFBS,BtoA,Cell,29.55708862,Fluidic,CNBio,Single
48,PFBS,BtoA,Cell,29.73355606,Fluidic,CNBio,Single
2,PFBS,AtoB,Blood,0.004545549,Static,Transwell,Mixture
2,PFBS,AtoB,Blood,0.009748654,Static,Transwell,Mixture
2,PFBS,AtoB,Blood,0.011050798,Static,Transwell,Mixture
4,PFBS,AtoB,Blood,0.004545549,Static,Transwell,Mixture
4,PFBS,AtoB,Blood,0.007146008,Static,Transwell,Mixture
4,PFBS,AtoB,Blood,0.01235349,Static,Transwell,Mixture
24,PFBS,AtoB,Blood,0.261751991,Static,Transwell,Mixture
24,PFBS,AtoB,Blood,0.290787229,Static,Transwell,Mixture
24,PFBS,AtoB,Blood,0.308620416,Static,Transwell,Mixture
48,PFBS,AtoB,Blood,0.537437883,Static,Transwell,Mixture
48,PFBS,AtoB,Blood,0.492509997,Static,Transwell,Mixture
48,PFBS,AtoB,Blood,0.587640178,Static,Transwell,Mixture
2,PFBS,BtoA,Lumen,0.013005041,Static,Transwell,Mixture
2,PFBS,BtoA,Lumen,0.014308555,Static,Transwell,Mixture
2,PFBS,BtoA,Lumen,0.004545549,Static,Transwell,Mixture
4,PFBS,BtoA,Lumen,0.009748654,Static,Transwell,Mixture
4,PFBS,BtoA,Lumen,0.005195459,Static,Transwell,Mixture
4,PFBS,BtoA,Lumen,0.004545549,Static,Transwell,Mixture
24,PFBS,BtoA,Lumen,0.062927244,Static,Transwell,Mixture
24,PFBS,BtoA,Lumen,0.061603196,Static,Transwell,Mixture
24,PFBS,BtoA,Lumen,0.063589479,Static,Transwell,Mixture
48,PFBS,BtoA,Lumen,0.094873736,Static,Transwell,Mixture
48,PFBS,BtoA,Lumen,0.08418865,Static,Transwell,Mixture
48,PFBS,BtoA,Lumen,0.115006805,Static,Transwell,Mixture
48,PFBS,AtoB,Cell,9.459602494,Static,Transwell,Mixture
48,PFBS,AtoB,Cell,8.65662637,Static,Transwell,Mixture
48,PFBS,AtoB,Cell,8.081230099,Static,Transwell,Mixture
48,PFBS,BtoA,Cell,7.255547914,Static,Transwell,Mixture
48,PFBS,BtoA,Cell,6.089014671,Static,Transwell,Mixture
48,PFBS,BtoA,Cell,6.851844738,Static,Transwell,Mixture
2,PFBS,AtoB,Blood,0.005331712,Fluidic,CNBio,Mixture
2,PFBS,AtoB,Blood,0.005006726,Fluidic,CNBio,Mixture
2,PFBS,AtoB,Blood,0.009386316,Fluidic,CNBio,Mixture
4,PFBS,AtoB,Blood,0.00458628,Fluidic,CNBio,Mixture
4,PFBS,AtoB,Blood,0.004937701,Fluidic,CNBio,Mixture
4,PFBS,AtoB,Blood,0.00907523,Fluidic,CNBio,Mixture
24,PFBS,AtoB,Blood,0.384292685,Fluidic,CNBio,Mixture
24,PFBS,AtoB,Blood,0.390024035,Fluidic,CNBio,Mixture
24,PFBS,AtoB,Blood,0.476942979,Fluidic,CNBio,Mixture
48,PFBS,AtoB,Blood,0.746345338,Fluidic,CNBio,Mixture
48,PFBS,AtoB,Blood,0.767035166,Fluidic,CNBio,Mixture
48,PFBS,AtoB,Blood,0.760849463,Fluidic,CNBio,Mixture
2,PFBS,BtoA,Lumen,0.008795202,Fluidic,CNBio,Mixture
2,PFBS,BtoA,Lumen,0.004270701,Fluidic,CNBio,Mixture
2,PFBS,BtoA,Lumen,0.004044887,Fluidic,CNBio,Mixture
4,PFBS,BtoA,Lumen,0.008207653,Fluidic,CNBio,Mixture
4,PFBS,BtoA,Lumen,0.006282727,Fluidic,CNBio,Mixture
4,PFBS,BtoA,Lumen,0.004090648,Fluidic,CNBio,Mixture
24,PFBS,BtoA,Lumen,0.076940409,Fluidic,CNBio,Mixture
24,PFBS,BtoA,Lumen,0.079492504,Fluidic,CNBio,Mixture
24,PFBS,BtoA,Lumen,0.078286976,Fluidic,CNBio,Mixture
48,PFBS,BtoA,Lumen,0.118139355,Fluidic,CNBio,Mixture
48,PFBS,BtoA,Lumen,0.105708403,Fluidic,CNBio,Mixture
48,PFBS,BtoA,Lumen,0.136925995,Fluidic,CNBio,Mixture
48,PFBS,AtoB,Cell,9.76441075,Fluidic,CNBio,Mixture
48,PFBS,AtoB,Cell,10.58129839,Fluidic,CNBio,Mixture
48,PFBS,AtoB,Cell,11.52859242,Fluidic,CNBio,Mixture
48,PFBS,BtoA,Cell,9.617067714,Fluidic,CNBio,Mixture
48,PFBS,BtoA,Cell,9.904627078,Fluidic,CNBio,Mixture
48,PFBS,BtoA,Cell,10.50832407,Fluidic,CNBio,Mixture
