time,PFAS,study,compartment.name,Obs_conc,assay,assay.2,expo
2,PFHxA,AtoB,Blood,0.152894951,Static,Transwell,Single
2,PFHxA,AtoB,Blood,0.154225848,Static,Transwell,Single
2,PFHxA,AtoB,Blood,0.126898006,Static,Transwell,Single
4,PFHxA,AtoB,Blood,0.294468615,Static,Transwell,Single
4,PFHxA,AtoB,Blood,0.259440667,Static,Transwell,Single
4,PFHxA,AtoB,Blood,0.276301953,Static,Transwell,Single
24,PFHxA,AtoB,Blood,0.968732114,Static,Transwell,Single
24,PFHxA,AtoB,Blood,0.786465669,Static,Transwell,Single
24,PFHxA,AtoB,Blood,1.014587098,Static,Transwell,Single
48,PFHxA,AtoB,Blood,1.291572658,Static,Transwell,Single
48,PFHxA,AtoB,Blood,1.66023947,Static,Transwell,Single
48,PFHxA,AtoB,Blood,1.231490304,Static,Transwell,Single
2,PFHxA,BtoA,Lumen,0.008586765,Static,Transwell,Single
2,PFHxA,BtoA,Lumen,0.016262519,Static,Transwell,Single
2,PFHxA,BtoA,Lumen,0.009801143,Static,Transwell,Single
4,PFHxA,BtoA,Lumen,0.03407363,Static,Transwell,Single
4,PFHxA,BtoA,Lumen,0.04665076,Static,Transwell,Single
4,PFHxA,BtoA,Lumen,0.039431837,Static,Transwell,Single
24,PFHxA,BtoA,Lumen,0.202196778,Static,Transwell,Single
24,PFHxA,BtoA,Lumen,0.199926239,Static,Transwell,Single
24,PFHxA,BtoA,Lumen,0.22479938,Static,Transwell,Single
48,PFHxA,BtoA,Lumen,0.311627093,Static,Transwell,Single
48,PFHxA,BtoA,Lumen,0.304814453,Static,Transwell,Single
48,PFHxA,BtoA,Lumen,0.371780385,Static,Transwell,Single
48,PFHxA,AtoB,Cell,163.2502024,Static,Transwell,Single
48,PFHxA,AtoB,Cell,155.8304914,Static,Transwell,Single
48,PFHxA,AtoB,Cell,35.74793801,Static,Transwell,Single
48,PFHxA,BtoA,Cell,39.84142749,Static,Transwell,Single
48,PFHxA,BtoA,Cell,34.27297812,Static,Transwell,Single
48,PFHxA,BtoA,Cell,47.79829502,Static,Transwell,Single
2,PFHxA,AtoB,Blood,0.152894951,Fluidic,CNBio,Single
2,PFHxA,AtoB,Blood,0.154225848,Fluidic,CNBio,Single
2,PFHxA,AtoB,Blood,0.126898006,Fluidic,CNBio,Single
4,PFHxA,AtoB,Blood,0.294468615,Fluidic,CNBio,Single
4,PFHxA,AtoB,Blood,0.259440667,Fluidic,CNBio,Single
