time,PFAS,study,compartment.name,Obs_conc,assay,assay.2,expo
2,PFOS,AtoB,Blood,0.1182895,Static,Transwell,Single
2,PFOS,AtoB,Blood,0.098273812,Static,Transwell,Single
2,PFOS,AtoB,Blood,0.058933281,Static,Transwell,Single
4,PFOS,AtoB,Blood,0.216662121,Static,Transwell,Single
4,PFOS,AtoB,Blood,0.441867048,Static,Transwell,Single
4,PFOS,AtoB,Blood,0.558825485,Static,Transwell,Single
24,PFOS,AtoB,Blood,1.561228971,Static,Transwell,Single
24,PFOS,AtoB,Blood,1.603792571,Static,Transwell,Single
24,PFOS,AtoB,Blood,0.519518682,Static,Transwell,Single
48,PFOS,AtoB,Blood,2.070888223,Static,Transwell,Single
48,PFOS,AtoB,Blood,1.904286982,Static,Transwell,Single
48,PFOS,AtoB,Blood,5.371293874,Static,Transwell,Single
2,PFOS,BtoA,Lumen,0.003666211,Static,Transwell,Single
2,PFOS,BtoA,Lumen,0.009003142,Static,Transwell,Single
2,PFOS,BtoA,Lumen,0.004222264,Static,Transwell,Single
4,PFOS,BtoA,Lumen,0.004454652,Static,Transwell,Single
4,PFOS,BtoA,Lumen,0.003689901,Static,Transwell,Single
4,PFOS,BtoA,Lumen,0.005633052,Static,Transwell,Single
24,PFOS,BtoA,Lumen,0.045359243,Static,Transwell,Single
24,PFOS,BtoA,Lumen,0.051180467,Static,Transwell,Single
24,PFOS,BtoA,Lumen,0.061475632,Static,Transwell,Single
48,PFOS,BtoA,Lumen,0.04649823,Static,Transwell,Single
48,PFOS,BtoA,Lumen,0.036271503,Static,Transwell,Single
48,PFOS,BtoA,Lumen,0.03935284,Static,Transwell,Single
48,PFOS,AtoB,Cell,8357.254376,Static,Transwell,Single
48,PFOS,AtoB,Cell,8034.221107,Static,Transwell,Single
48,PFOS,AtoB,Cell,8890.783553,Static,Transwell,Single
48,PFOS,BtoA,Cell,1924.292891,Static,Transwell,Single
48,PFOS,BtoA,Cell,1335.151361,Static,Transwell,Single
48,PFOS,BtoA,Cell,1370.963361,Static,Transwell,Single
2,PFOS,AtoB,Blood,0.036800386,Fluidic,CNBio,Single
2,PFOS,AtoB,Blood,0.060324378,Fluidic,CNBio,Single
2,PFOS,AtoB,Blood,0.058612039,Fluidic,CNBio,Single
4,PFOS,AtoB,Blood,0.154604031,Fluidic,CNBio,Single
4,PFOS,AtoB,Blood,0.391167173,Fluidic,CNBio,Single
4,PFOS,AtoB,Blood,0.349226022,Fluidic,CNBio,Single
24,PFOS,AtoB,Blood,1.249036766,Fluidic,CNBio,Single
24,PFOS,AtoB,Blood,,Fluidic,CNBio,Single
24,PFOS,AtoB,Blood,1.618042131,Fluidic,CNBio,Single
48,PFOS,AtoB,Blood,0.686649039,Fluidic,CNBio,Single
48,PFOS,AtoB,Blood,1.236226798,Fluidic,CNBio,Single
48,PFOS,AtoB,Blood,3.420167739,Fluidic,CNBio,Single
2,PFOS,BtoA,Lumen,0.004259066,Fluidic,CNBio,Single
2,PFOS,BtoA,Lumen,0.004553035,Fluidic,CNBio,Single
2,PFOS,BtoA,Lumen,0.002199133,Fluidic,CNBio,Single
4,PFOS,BtoA,Lumen,0.002981109,Fluidic,CNBio,Single
4,PFOS,BtoA,Lumen,0.006305173,Fluidic,CNBio,Single
4,PFOS,BtoA,Lumen,0.004815531,Fluidic,CNBio,Single
24,PFOS,BtoA,Lumen,0.010288264,Fluidic,CNBio,Single
24,PFOS,BtoA,Lumen,0.017876324,Fluidic,CNBio,Single
24,PFOS,BtoA,Lumen,0.01987921,Fluidic,CNBio,Single
48,PFOS,BtoA,Lumen,0.031876011,Fluidic,CNBio,Single
48,PFOS,BtoA,Lumen,0.042883747,Fluidic,CNBio,Single
48,PFOS,BtoA,Lumen,0.025045065,Fluidic,CNBio,Single
48,PFOS,AtoB,Cell,12935.67708,Fluidic,CNBio,Single
48,PFOS,AtoB,Cell,8510.994229,Fluidic,CNBio,Single
48,PFOS,AtoB,Cell,8654.491924,Fluidic,CNBio,Single
48,PFOS,BtoA,Cell,1367.590611,Fluidic,CNBio,Single
48,PFOS,BtoA,Cell,1795.680689,Fluidic,CNBio,Single
48,PFOS,BtoA,Cell,1622.594796,Fluidic,CNBio,Single
2,PFOS,AtoB,Blood,0.004402894,Static,Transwell,Mixture
2,PFOS,AtoB,Blood,0.002125282,Static,Transwell,Mixture
2,PFOS,AtoB,Blood,0.003705622,Static,Transwell,Mixture
4,PFOS,AtoB,Blood,0.029509197,Static,Transwell,Mixture
4,PFOS,AtoB,Blood,0.060812116,Static,Transwell,Mixture
4,PFOS,AtoB,Blood,0.056079646,Static,Transwell,Mixture
24,PFOS,AtoB,Blood,0.208923441,Static,Transwell,Mixture
24,PFOS,AtoB,Blood,0.173439989,Static,Transwell,Mixture
24,PFOS,AtoB,Blood,0.189291507,Static,Transwell,Mixture
48,PFOS,AtoB,Blood,0.087056241,Static,Transwell,Mixture
48,PFOS,AtoB,Blood,0.571928406,Static,Transwell,Mixture
48,PFOS,AtoB,Blood,1.07306317,Static,Transwell,Mixture
2,PFOS,BtoA,Lumen,0.000320084,Static,Transwell,Mixture
2,PFOS,BtoA,Lumen,0.000278211,Static,Transwell,Mixture
2,PFOS,BtoA,Lumen,0.000362468,Static,Transwell,Mixture
4,PFOS,BtoA,Lumen,0.000537317,Static,Transwell,Mixture
4,PFOS,BtoA,Lumen,0.000721156,Static,Transwell,Mixture
4,PFOS,BtoA,Lumen,0.000537317,Static,Transwell,Mixture
24,PFOS,BtoA,Lumen,0.000865359,Static,Transwell,Mixture
24,PFOS,BtoA,Lumen,0.001171472,Static,Transwell,Mixture
24,PFOS,BtoA,Lumen,0.000914695,Static,Transwell,Mixture
48,PFOS,BtoA,Lumen,0.001446383,Static,Transwell,Mixture
48,PFOS,BtoA,Lumen,0.00192904,Static,Transwell,Mixture
48,PFOS,BtoA,Lumen,0.001446383,Static,Transwell,Mixture
48,PFOS,AtoB,Cell,3732.2153,Static,Transwell,Mixture
48,PFOS,AtoB,Cell,3500.779635,Static,Transwell,Mixture
48,PFOS,AtoB,Cell,3629.554541,Static,Transwell,Mixture
48,PFOS,BtoA,Cell,433.3921752,Static,Transwell,Mixture
48,PFOS,BtoA,Cell,510.7711701,Static,Transwell,Mixture
48,PFOS,BtoA,Cell,438.0912179,Static,Transwell,Mixture
2,PFOS,AtoB,Blood,0.00584466,Fluidic,CNBio,Mixture
2,PFOS,AtoB,Blood,0.014949049,Fluidic,CNBio,Mixture
2,PFOS,AtoB,Blood,0.010274817,Fluidic,CNBio,Mixture
4,PFOS,AtoB,Blood,0.121461696,Fluidic,CNBio,Mixture
4,PFOS,AtoB,Blood,0.248767623,Fluidic,CNBio,Mixture
4,PFOS,AtoB,Blood,0.29309955,Fluidic,CNBio,Mixture
24,PFOS,AtoB,Blood,0.415449453,Fluidic,CNBio,Mixture
24,PFOS,AtoB,Blood,0.802646742,Fluidic,CNBio,Mixture
24,PFOS,AtoB,Blood,0.786364776,Fluidic,CNBio,Mixture
48,PFOS,AtoB,Blood,0.54529196,Fluidic,CNBio,Mixture
48,PFOS,AtoB,Blood,0.52259967,Fluidic,CNBio,Mixture
48,PFOS,AtoB,Blood,0.732180511,Fluidic,CNBio,Mixture
2,PFOS,BtoA,Lumen,0.001173631,Fluidic,CNBio,Mixture
2,PFOS,BtoA,Lumen,0.001159597,Fluidic,CNBio,Mixture
2,PFOS,BtoA,Lumen,0.001812507,Fluidic,CNBio,Mixture
4,PFOS,BtoA,Lumen,0.002550479,Fluidic,CNBio,Mixture
4,PFOS,BtoA,Lumen,0.004350123,Fluidic,CNBio,Mixture
4,PFOS,BtoA,Lumen,0.003365001,Fluidic,CNBio,Mixture
24,PFOS,BtoA,Lumen,0.00522467,Fluidic,CNBio,Mixture
24,PFOS,BtoA,Lumen,0.016783923,Fluidic,CNBio,Mixture
24,PFOS,BtoA,Lumen,0.013216968,Fluidic,CNBio,Mixture
48,PFOS,BtoA,Lumen,0.010032165,Fluidic,CNBio,Mixture
48,PFOS,BtoA,Lumen,0.011320994,Fluidic,CNBio,Mixture
48,PFOS,BtoA,Lumen,0.013927332,Fluidic,CNBio,Mixture
48,PFOS,AtoB,Cell,4928.310439,Fluidic,CNBio,Mixture
48,PFOS,AtoB,Cell,4682.007103,Fluidic,CNBio,Mixture
48,PFOS,AtoB,Cell,4180.91843,Fluidic,CNBio,Mixture
48,PFOS,BtoA,Cell,668.6355876,Fluidic,CNBio,Mixture
48,PFOS,BtoA,Cell,593.4346061,Fluidic,CNBio,Mixture
48,PFOS,BtoA,Cell,611.5102596,Fluidic,CNBio,Mixture
