"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-5.02941157838517,0.337435077790692,4.96875617591514,-10.991885,-8.4592875,-6.82958,-2.46878,7.30895349999999,213,1.00549279725843,1,-10.461485,-6.82958,5.17778349999999,0.0595999999999997,0.0992350000000002,0.214985,0.675315,1.02714,0.238924326657408,267,369
"p_2.1.",-2.15613969713208,0.324773744391717,4.70457547918089,-6.149683,-5.5576575,-4.41403,0.0990945,9.95906475,205,1.00517215925608,1,-6.0117135,-4.41403,7.8154015,0.013865,0.0353599999999998,0.21607,0.691454,0.98295,0.229969683177986,263,357
"p_3.1.",-3.84400028768585,0.225706883195743,4.19605821278165,-7.073261,-6.0415225,-5.371695,-3.96063,8.89998124999999,344,1.00173253433089,1,-6.8104075,-5.371695,5.701459,0.0187350000000004,0.0274749999999999,0.0485449999999998,0.257705,1.093635,0.159733747926342,494,530
"p_4.1.",-6.39208668149278,0.216438091582809,4.04157140374388,-10.1777875,-8.4495125,-7.624215,-6.3455425,5.96500325,348,1.00195345638313,1,-9.7940545,-7.624215,2.64639,0.0380000000000003,0.0462899999999999,0.0442099999999996,0.19792,1.13251,0.153173043454339,470,540
"GSD_error_C1_blood.1.",4.66912658730159,0.0118902548127152,2.01503203787327,2.113053,3.0639325,4.135465,5.904385,9.4053015,28704,1.00000236736627,1,2.2644715,4.135465,8.80934999999999,0.00772499999999998,0.00879500000000011,0.0154749999999999,0.02311,0.0219750000000003,0.00840776526788061,28547,30372
"GSD_error_C1_cell.1.",4.07434217097863,0.017993173161284,2.45233248346362,1.1704345,1.969085,3.41432,5.7972025,9.44135675,18533,1.00019360292173,1,1.239516,3.41432,8.9504425,0.00207500000000005,0.0131950000000001,0.0243850000000001,0.033325,0.0198200000000002,0.0127232944792806,18044,27913
"GSD_error_C2_cell.1.",4.0640513120235,0.0201480475340051,2.4473490905971,1.16468675,1.9745825,3.389885,5.7691075,9.418987,14598,1.00025930804325,1,1.237078,3.389885,8.921847,0.00239999999999996,0.0141600000000001,0.030105,0.043285,0.0146800000000002,0.0142471026373867,14481,25952
"GSD_error_C2_lumen.1.",2.03977399450069,0.00735954263804797,1.16819419498945,1.24659225,1.42738,1.644805,2.11572,5.82243625,25197,1.0000524112805,1,1.2760115,1.644805,4.29053,0.00141500000000006,0.00176500000000002,0.00287000000000004,0.009355,0.0880000000000001,0.00520404282668859,27779,26048
"LnPrior",-27.1328589738783,0.0407736951734994,1.29054445046887,-29.9412575,-27.9069225,-27.05784,-26.2473525,-24.8604375,953,1.00284382754589,1,-29.334964,-27.05784,-25.1865995,0.163634999999999,0.0485050000000005,0.03139,0.0253199999999989,0.0168400000000002,0.029277350236871,1138,1076
"LnData",9.12272601441773,0.0214990367102497,2.13379516236936,4.337466025,7.857581,9.382952,10.59608,12.73870425,9690,1.00034314564817,1,5.2214531,9.382952,12.1768085,0.0534094999999999,0.0264800000000003,0.0232250000000001,0.0220649999999996,0.03552,0.0157020106884629,9261,16266
"LnPosterior",-18.0101330097488,0.0569989122785501,3.03373254241003,-24.553064,-19.8498975,-17.81083,-15.962105,-12.47002075,2792,1.00126860684016,1,-23.367575,-17.81083,-13.3628525,0.093770000000001,0.0649049999999995,0.053585,0.0451399999999991,0.0578450000000004,0.0404862338072623,2887,7779
