"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,4.36808,8.21451,-5.95949,-9.34517,2.68957,5.08726,5.68788,1.76988,-28.48728,9.24657,-19.24071
60060,5.10295,8.10444,-5.49512,-8.79866,9.15136,3.864,2.47019,1.47207,-28.46573,9.978279,-18.48745
60090,5.34575,9.66232,-6.75565,-9.40296,5.34551,2.26119,4.98199,2.68475,-28.90511,6.809791,-22.09532
60120,4.36774,8.06299,-6.38811,-9.34466,4.24361,1.21253,8.63808,1.91281,-27.98517,11.07962,-16.90555
60150,4.21171,7.22426,-6.6013,-8.73483,3.29504,5.31325,7.50779,1.2676,-28.54225,10.3934,-18.14885
60180,5.21832,7.63348,-5.27352,-8.28682,7.13561,1.62253,8.77364,1.20908,-28.3741,9.51845,-18.85565
60210,5.17531,8.8019,-6.4978,-9.56996,5.15576,1.25086,5.34704,1.63226,-27.73338,10.96645,-16.76693
60240,5.68593,7.49572,-4.68096,-6.62785,8.15944,2.0663,2.49616,4.20069,-28.76865,5.459259,-23.30939
60270,4.48342,5.76602,-5.68893,-6.91629,4.71903,4.85804,3.57531,1.79943,-28.2886,9.223077,-19.06552
60300,3.54078,6.07517,-4.91854,-7.95346,5.45432,1.82531,1.90405,2.46329,-27.10419,8.571924,-18.53227
60330,3.69356,7.48462,-5.34836,-9.83058,5.92102,3.33337,8.27345,2.44706,-29.43101,7.17292,-22.25809
60360,3.17893,7.42883,-7.27174,-9.86683,8.70287,8.92337,7.31347,1.54558,-30.16394,8.05549,-22.10845
60390,2.20676,6.33254,-5.91795,-10.4407,2.88219,1.95224,7.85061,2.65791,-27.98495,7.622336,-20.36262
60420,2.21583,7.12595,-6.00791,-10.8848,5.14087,4.47159,6.62018,2.87162,-29.39345,6.204236,-23.18921
60450,2.66758,5.73859,-5.3741,-8.5245,4.59951,1.79371,7.02612,1.58108,-27.67971,9.738318,-17.94139
60480,4.14208,6.97534,-7.06662,-9.7975,8.08056,3.41934,3.98933,2.45362,-29.01318,4.077958,-24.93522
60510,3.29667,4.35725,-6.34672,-6.86797,4.70049,4.69753,3.43883,1.1949,-27.57444,8.369475,-19.20496
60540,0.704726,2.89909,-6.54845,-7.68484,6.56935,6.02413,1.90321,1.4241,-27.45327,9.319804,-18.13347
60570,0.411894,3.74917,-5.22161,-8.88116,3.58244,3.56351,3.26393,2.34014,-27.42971,7.641472,-19.78824
60600,4.12763,4.83198,-5.1672,-5.66793,9.83924,3.94635,3.14624,2.16481,-28.76806,4.330714,-24.43734
60630,2.5119,4.22265,-4.54839,-7.17323,7.94331,6.28089,2.08426,1.26739,-27.89835,5.726731,-22.17162
60660,2.2148,3.35478,-5.87573,-7.17323,5.90583,9.29453,1.51579,1.73074,-27.87919,9.118658,-18.76054
60690,2.44004,4.37148,-4.92781,-7.25355,9.58953,6.84024,5.18632,2.35241,-29.70357,6.529669,-23.1739
60720,3.49187,4.84071,-5.41185,-6.87339,3.60541,9.04996,2.36215,2.22113,-28.27372,8.340508,-19.93321
60750,3.72132,5.67257,-6.42217,-7.50605,2.55964,3.3486,2.55903,3.84085,-27.653,7.033567,-20.61943
60780,6.14333,9.26925,-6.4212,-8.83902,7.2896,8.87726,5.53735,2.11277,-30.46797,8.115544,-22.35242
60810,4.59699,7.55219,-5.44548,-8.62389,3.11346,2.53384,6.67291,1.88436,-28.09816,9.582945,-18.51522
60840,3.85507,6.59387,-6.36684,-8.46193,8.95021,8.90681,1.50244,1.45682,-28.49052,8.87746,-19.61306
60870,3.07017,5.64222,-5.21679,-7.48312,4.12501,2.08945,1.55036,2.41222,-26.64857,7.786931,-18.86164
60900,1.61374,4.81018,-7.16261,-9.07669,3.2087,4.1485,7.58466,1.91282,-28.26704,8.2999,-19.96714
60930,1.64147,4.38088,-5.66361,-8.51801,2.98894,9.65661,8.73457,2.02183,-29.19973,8.815433,-20.3843
60960,3.06455,6.45267,-5.76459,-8.90121,4.69748,1.48927,9.23484,1.56799,-27.88033,10.69658,-17.18375
60990,3.24023,6.13292,-7.00438,-8.82501,3.52254,8.71605,6.74002,1.44355,-28.93723,9.951414,-18.98581
61020,2.29588,5.90728,-6.41726,-9.38557,8.42213,1.6039,2.34934,1.7679,-27.18417,9.113515,-18.07066
61050,0.921111,4.19371,-5.90711,-9.0504,3.41648,1.18391,5.94322,1.49858,-26.49525,13.05128,-13.44397
61080,-0.291257,3.72629,-6.01512,-9.97347,2.62366,6.5652,5.2794,1.28179,-27.58244,9.883388,-17.69905
61110,-1.08312,3.32507,-6.78109,-10.3408,3.26974,1.3086,3.54778,1.29507,-25.73988,10.67847,-15.06141
61140,-1.00938,2.76824,-6.14592,-9.9183,3.73794,1.39811,6.68081,2.02427,-26.97274,10.24284,-16.72989
61170,1.12713,4.07659,-5.13125,-8.51783,6.5652,1.7311,5.21041,3.06392,-28.1151,7.508012,-20.60709
61200,0.355847,3.82044,-6.47001,-9.04053,7.62657,2.59721,5.57818,1.895,-28.18907,8.92517,-19.2639
61230,1.99112,5.02674,-5.08161,-8.99335,9.69223,3.02094,2.64187,1.256,-27.63515,8.593326,-19.04182
61260,4.17923,5.92567,-6.58536,-8.49969,2.94416,8.31482,1.37069,4.53133,-28.31295,7.36897,-20.94398
61290,3.10418,4.63388,-6.1019,-7.17696,3.90099,7.80225,1.72138,1.86181,-27.6575,10.26176,-17.39575
61320,1.18107,4.55879,-5.85981,-9.43089,3.23964,2.97038,3.80239,1.78332,-27.14305,10.08453,-17.05852
61350,0.853874,4.8007,-6.56223,-9.74928,3.59796,2.13256,3.27774,1.22598,-26.39772,10.3518,-16.04592
61380,-0.0561872,3.8308,-6.83107,-9.72416,9.86067,1.57038,6.50777,1.56531,-27.89682,9.973578,-17.92324
61410,0.241249,3.83503,-5.93313,-9.50349,4.03195,1.6115,3.4253,2.01762,-26.6555,10.12856,-16.52694
