"median","LCL","UCL","time","compartment.name","study"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.006584755,0.0018103985,0.023721265,1,"Blood","AtoB"
0.01360735,0.003966399,0.047732525,2,"Blood","AtoB"
0.02065415,0.006122779,0.071872935,3,"Blood","AtoB"
0.02762745,0.0082880785,0.095800305,4,"Blood","AtoB"
0.03455065,0.010413295,0.1193754,5,"Blood","AtoB"
0.04143585,0.01253561,0.1427306,6,"Blood","AtoB"
0.04829425,0.014615485,0.1658576,7,"Blood","AtoB"
0.05514375,0.016704335,0.1888143,8,"Blood","AtoB"
0.06193215,0.018764005,0.21154595,9,"Blood","AtoB"
0.0686398,0.020834785,0.23407715,10,"Blood","AtoB"
0.0753484,0.022881155,0.2562617,11,"Blood","AtoB"
0.08198945,0.024934565,0.2784921,12,"Blood","AtoB"
0.0885982,0.026963265,0.3006016,13,"Blood","AtoB"
0.09514385,0.028954445,0.3224904,14,"Blood","AtoB"
0.1016895,0.030943595,0.3441233,15,"Blood","AtoB"
0.108171,0.03296758,0.3658289,16,"Blood","AtoB"
0.114562,0.03496694,0.3870324,17,"Blood","AtoB"
0.121001,0.03693376,0.408536,18,"Blood","AtoB"
0.127377,0.03888363,0.42930735,19,"Blood","AtoB"
0.1336795,0.040829725,0.4500064,20,"Blood","AtoB"
0.1400205,0.04274827,0.47079545,21,"Blood","AtoB"
0.1462555,0.044660265,0.49075025,22,"Blood","AtoB"
0.152478,0.046572495,0.51060915,23,"Blood","AtoB"
0.158634,0.04845773,0.5306368,24,"Blood","AtoB"
0.1647515,0.050338485,0.5505076,25,"Blood","AtoB"
0.170853,0.05218777,0.5701212,26,"Blood","AtoB"
0.176849,0.05404079,0.58961345,27,"Blood","AtoB"
0.182874,0.055872835,0.6091729,28,"Blood","AtoB"
0.188832,0.057694035,0.6281134,29,"Blood","AtoB"
0.1947735,0.059568355,0.6468229,30,"Blood","AtoB"
0.2006615,0.061360425,0.66562295,31,"Blood","AtoB"
0.206495,0.06313852,0.68415135,32,"Blood","AtoB"
0.2123185,0.06481313,0.70302545,33,"Blood","AtoB"
0.2181325,0.066619835,0.7214668,34,"Blood","AtoB"
0.2238095,0.06840043,0.73983945,35,"Blood","AtoB"
0.2295655,0.07016389,0.7578167,36,"Blood","AtoB"
0.2351885,0.07186556,0.7755414,37,"Blood","AtoB"
0.2408135,0.07358898,0.79333115,38,"Blood","AtoB"
0.2464205,0.0753636,0.81094105,39,"Blood","AtoB"
0.2519905,0.077072275,0.8286074,40,"Blood","AtoB"
0.257577,0.078810455,0.846219,41,"Blood","AtoB"
0.2630965,0.080528395,0.8637384,42,"Blood","AtoB"
0.268529,0.08214003,0.88085865,43,"Blood","AtoB"
0.273962,0.08381107,0.8979011,44,"Blood","AtoB"
0.279412,0.085468155,0.9145666,45,"Blood","AtoB"
0.284798,0.08716203,0.93058445,46,"Blood","AtoB"
0.290224,0.08877282,0.9468293,47,"Blood","AtoB"
0.2954755,0.09043705,0.96337005,48,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
4.429005,0.05262647,118.6897,1,"Cell","AtoB"
4.657345,0.09707156,119.8924,2,"Cell","AtoB"
4.78932,0.13777615,120.1897,3,"Cell","AtoB"
4.90846,0.17735165,120.2616,4,"Cell","AtoB"
5.06177,0.21657635,120.2413,5,"Cell","AtoB"
5.21477,0.2532916,120.0879,6,"Cell","AtoB"
5.35329,0.28982375,120.01495,7,"Cell","AtoB"
5.49316,0.32556025,120.03005,8,"Cell","AtoB"
5.65788,0.359203,119.9806,9,"Cell","AtoB"
5.810905,0.3930606,119.9657,10,"Cell","AtoB"
5.94763,0.42606125,119.84995,11,"Cell","AtoB"
6.08424,0.45779545,119.7653,12,"Cell","AtoB"
6.22731,0.49063895,119.68255,13,"Cell","AtoB"
6.36322,0.52178085,119.6331,14,"Cell","AtoB"
6.497905,0.5533058,119.57775,15,"Cell","AtoB"
6.625925,0.5857245,119.4848,16,"Cell","AtoB"
6.74721,0.61723895,119.3596,17,"Cell","AtoB"
