"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-4.15985172649784,0.191054258516824,4.7345373079729,-9.80927725,-7.5231575,-5.721715,-1.7082675,7.99789275,610,1.00492600772152,1,-9.288423,-5.721715,5.3231225,0.0457350000000005,0.05891,0.158145,0.323765,0.918625,0.135159977078835,752,790
"p_2.1.",-1.35064330758561,0.187757771567332,4.66162271911981,-5.829607,-4.9473025,-3.115055,1.04595,10.76889,612,1.00531343969294,1,-5.5863995,-3.115055,8.10823549999999,0.0180150000000001,0.0433349999999999,0.18675,0.333393,0.79044,0.132827663238386,766,789
"p_3.1.",-2.1625415243209,0.198451500827806,4.28440355572913,-5.73173275,-4.959075,-4.20972,-0.732283,9.51575599999999,473,1.0047058718024,1,-5.454651,-4.20972,7.478204,0.0193699999999999,0.0140849999999997,0.0719849999999997,0.4759125,0.658169999999999,0.140414307803427,691,743
"p_4.1.",-5.20522021762252,0.194904090773436,4.25989306683947,-9.55752825,-7.84151,-6.947405,-3.8693225,6.45732,485,1.00479267428229,1,-9.104833,-6.947405,4.324733,0.0328150000000003,0.0325300000000004,0.0614600000000003,0.449165,0.61095,0.137902238660983,712,722
"GSD_error_C1_blood.1.",2.6252872072241,0.017277447129786,2.01788509313674,1.11124225,1.26572,1.715235,3.146115,8.65901725,13688,1.00005987318806,1,1.1224215,1.715235,7.4627165,0.000475000000000003,0.00331500000000007,0.0113599999999999,0.045485,0.0507799999999996,0.0122172611638825,12558,22376
"GSD_error_C1_cell.1.",3.80563866485439,0.0170391826782059,2.37080997099956,1.1590375,1.8372875,3.051275,5.30799,9.33097825,19336,1.00014066275696,1,1.222109,3.051275,8.724946,0.00221499999999997,0.0112899999999999,0.0229350000000001,0.0368300000000001,0.0173449999999997,0.0120487030216344,18641,27726
"GSD_error_C2_cell.1.",3.83058411354831,0.0173242629433665,2.38553426170317,1.15860225,1.843905,3.074825,5.355965,9.333847,18811,1.00021545840281,1,1.2208805,3.074825,8.739251,0.00214500000000006,0.01153,0.02485,0.0387650000000002,0.0217749999999999,0.0122502923210471,18615,29395
"GSD_error_C2_lumen.1.",2.6225396031746,0.0190486163512793,1.98481918293822,1.11046,1.263945,1.73254,3.1964425,8.4850715,10939,1.00015289786266,1,1.12186,1.73254,7.3415115,0.000419999999999976,0.00330499999999989,0.01498,0.04443,0.0607799999999994,0.0134697675910969,10524,24612
"LnPrior",-26.5373062704662,0.0400682737163222,1.52252292129418,-29.85513525,-27.484615,-26.400455,-25.4473125,-23.96150025,1433,1.00188842120795,1,-29.213228,-26.400455,-24.283935,0.115864999999999,0.0507799999999996,0.036505,0.0276300000000003,0.0175199999999993,0.0286586573657227,1573,2417
"LnData",-9.97096723423947,0.0450286881116887,3.16495152749115,-15.811224,-12.304685,-9.9278165,-7.7059985,-3.943869675,4910,1.0005018296375,1,-15.0517695,-9.9278165,-4.79584415,0.0367600000000001,0.0604449999999996,0.0478510000000005,0.0444575,0.0429629999999999,0.0325317299628144,4985,15334
"LnPosterior",-36.5082735251844,0.0794712517164429,4.37126391081794,-45.06119225,-39.62321,-36.34939,-33.317365,-28.45462,3018,1.00071259023264,1,-43.87219,-36.34939,-29.5851795,0.0844749999999976,0.102539999999998,0.0849099999999972,0.065059999999999,0.0676850000000009,0.05700528755126,3045,7301
