"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-7.72321,-5.33567,-2.92346,-6.7526,1.93875,1.89316,4.1982,2.72365,-26.00256,-13.26046,-39.26302
60060,-8.01751,-4.97013,-3.50236,-6.88228,1.55494,1.73487,3.52089,1.17742,-24.67081,-7.028055,-31.69887
60090,-7.46162,-5.17221,-3.78647,-6.48467,1.18347,7.76855,2.21378,1.11637,-25.3671,-4.68389,-30.05099
60120,-8.43369,-5.28803,-2.87754,-6.48467,2.2324,6.57704,1.72187,3.4757,-26.75034,-11.20607,-37.9564
60150,-9.2115,-6.73876,-5.92864,-8.95425,2.91054,1.4936,6.75105,7.23148,-27.59106,-15.28623,-42.87728
60180,-7.02179,-4.07892,-4.37555,-6.61105,1.67313,1.65047,1.29533,4.2727,-24.97536,-9.456436,-34.4318
60210,-8.55265,-4.90892,-3.56282,-6.70877,1.46446,2.51408,1.86574,1.49261,-24.58906,-9.227664,-33.81672
60240,-7.14957,-4.5464,-4.4858,-7.26418,1.2599,1.12865,2.5446,1.20101,-23.7069,-2.650598,-26.35749
60270,-6.92915,-4.94368,-4.20667,-6.78348,1.24655,1.10744,2.51873,1.75222,-24.04304,-6.114799,-30.15784
60300,-7.7649,-5.18254,-3.57652,-6.28614,1.56267,1.28102,1.9281,1.33607,-23.89148,-6.387748,-30.27923
60330,-7.74221,-5.45452,-2.40591,-5.41351,1.70965,2.95426,2.79716,1.72274,-25.48137,-9.562954,-35.04432
60360,-8.61362,-5.29903,-2.32152,-5.81645,1.27252,2.2188,8.13108,6.82098,-27.35208,-11.08441,-38.43649
60390,-8.50335,-4.87508,-2.61479,-6.23256,1.55579,2.22856,2.23817,1.45838,-24.71659,-8.885536,-33.60213
60420,-8.41328,-4.58606,-2.51626,-6.0945,1.13793,4.94793,1.15416,6.93785,-26.10651,-7.536651,-33.64316
60450,-9.5284,-5.46761,-2.39052,-6.93627,1.19104,5.25757,9.68131,1.20676,-26.59718,-6.996852,-33.59403
60480,-9.02831,-5.11821,-2.31581,-6.2565,1.41522,5.26935,5.89985,1.51844,-26.50583,-8.810376,-35.31621
60510,-9.57086,-5.85606,-2.51867,-6.85679,1.21624,8.85984,1.95362,1.34,-25.63709,-9.535515,-35.17261
60540,-9.2197,-5.83691,-2.68927,-6.82904,1.11713,2.62699,2.48167,1.361,-24.57924,-8.419777,-32.99901
60570,-9.54014,-5.78487,-2.44413,-6.82904,1.1257,4.51624,1.39501,2.02168,-24.96284,-7.244497,-32.20733
60600,-7.28736,-3.00423,-2.92824,-6.15122,1.26974,2.22802,1.18013,3.31544,-24.7179,-9.475144,-34.19304
60630,-6.30493,-3.87689,-4.94545,-8.06395,1.16487,8.34768,3.93726,1.45588,-26.27013,-7.318781,-33.58891
60660,-6.13315,-3.87689,-4.71985,-7.40708,1.401,3.18765,5.42161,1.15787,-25.5832,-5.74115,-31.32435
60690,-6.13315,-3.87689,-5.2298,-7.51161,1.34187,5.41749,1.10696,1.11255,-24.43472,-4.402462,-28.83718
60720,-6.03006,-3.65246,-4.71458,-7.26048,1.14942,1.96899,1.14742,2.86473,-24.2621,-5.157494,-29.4196
60750,-6.07511,-3.60729,-4.98413,-7.74999,1.1314,1.24397,1.40407,1.11456,-23.04378,-2.634333,-25.67811
60780,-7.25233,-6.01584,-5.07384,-8.95223,1.79828,1.55578,1.5447,5.7721,-25.44242,-12.33096,-37.77338
60810,-7.50931,-3.93497,-4.93935,-8.99787,1.40527,1.45433,2.28524,1.74614,-24.35829,-10.44651,-34.8048
60840,-6.62335,-2.12968,-5.2091,-10.3576,1.36001,1.67359,8.44062,1.70672,-25.82613,-12.38904,-38.21518
60870,-5.83944,-3.8624,-4.26127,-6.32367,1.56484,6.37377,7.39338,4.03056,-27.95531,-11.73689,-39.69219
60900,-7.10375,-4.50728,-4.56512,-7.16131,3.16502,2.3946,2.842,1.25126,-25.5307,-8.452786,-33.98349
60930,-7.02386,-4.44082,-3.9578,-8.47781,5.84853,6.30766,4.00027,2.54972,-28.18927,-13.91771,-42.10699
60960,-4.84451,-0.985738,-4.62224,-7.45433,1.6053,2.2627,1.97851,5.37619,-26.01722,-10.85747,-36.87468
60990,-6.8452,-3.78727,-6.11442,-10.4427,6.50912,1.28699,2.40107,5.93853,-27.06299,-16.50225,-43.56523
61020,-7.03298,-4.46235,-3.29234,-6.26206,4.6751,2.48757,1.76908,2.31999,-26.13292,-11.38945,-37.52237
61050,-5.79813,-4.27971,-3.7435,-6.7781,7.23233,3.05711,2.04656,3.05694,-27.19198,-12.94323,-40.13521
61080,-7.85172,-4.87069,-4.27193,-7.35465,1.43944,9.09321,5.76881,1.54539,-26.99934,-8.785547,-35.78489
61110,-7.67887,-4.80667,-4.29365,-7.27547,4.83509,4.02263,2.1664,1.19541,-26.15842,-8.560925,-34.71934
61140,-6.63217,-4.02952,-4.47147,-7.86308,3.10798,1.19845,1.74339,1.31053,-24.39248,-7.737311,-32.12979
61170,-5.97268,-4.08867,-2.95842,-6.91205,3.51194,2.15571,1.23884,1.54123,-24.957,-10.35978,-35.31678
61200,-5.61189,-4.14723,-4.74998,-6.5684,1.27423,2.28583,5.3406,1.27882,-25.23727,-6.755717,-31.99298
61230,-8.69117,-4.03361,-5.79639,-8.19501,4.81189,1.32845,5.33008,2.94617,-26.85689,-13.25126,-40.10815
61260,-9.25734,-4.2628,-5.94431,-9.7405,4.30542,5.36658,2.94248,1.38248,-26.81802,-13.69622,-40.51425
61290,-8.3912,-3.94741,-5.80639,-9.39946,5.82301,3.28759,3.33422,1.11957,-26.53236,-10.78246,-37.31482
61320,-8.3912,-3.94741,-4.77751,-9.48174,1.31637,5.53861,9.98737,1.11957,-26.6782,-6.283908,-32.96211
61350,-8.50634,-4.1368,-4.69232,-9.49947,1.56889,6.67694,5.61051,1.11957,-26.46292,-7.89039,-34.35331
61380,-8.50339,-3.94087,-4.56295,-9.49947,1.4262,4.95476,6.9666,1.10502,-26.27909,-7.491836,-33.77092
61410,-6.47015,-3.44914,-5.93626,-8.69765,2.17993,5.70046,9.35695,1.90881,-27.65777,-12.66045,-40.31822
61440,-6.19044,-5.30043,-3.81213,-3.89617,2.21689,6.13949,7.27278,1.70527,-27.4046,-14.33951,-41.74411
61470,-7.02379,-4.13532,-3.85221,-6.41594,1.5731,1.94038,5.82575,1.43316,-25.49712,-10.68,-36.17712
61500,-7.38061,-5.01662,-2.0912,-4.48042,1.31045,1.1407,8.65394,1.57079,-25.32952,-6.050787,-31.38031
61530,-8.19131,-5.38841,0.113515,-3.46851,1.50639,2.22501,1.92976,1.17602,-24.46836,-7.76398,-32.23234
61560,-9.88863,-5.12923,-2.07579,-6.62313,3.62799,2.72822,2.85179,1.48856,-26.06575,-12.58913,-38.65488
61590,-8.83946,-5.12923,-2.1835,-6.23677,6.57164,3.46683,2.15897,1.23085,-26.40908,-10.35022,-36.7593
61620,-6.6948,-4.99174,-3.78073,-6.26363,5.64218,5.71343,6.806,1.24262,-27.85443,-10.62086,-38.47529
61650,-7.67754,-5.35231,-1.57867,-4.593,5.56334,2.23809,8.69461,1.13997,-27.14807,-9.020951,-36.16902
61680,-9.25684,-5.33273,-2.79352,-6.00081,5.47928,3.43613,5.78823,2.14992,-27.74755,-12.85589,-40.60344
61710,-7.92511,-4.51733,-3.91402,-6.94988,1.16579,6.99506,1.22801,7.23089,-26.53548,-9.871304,-36.40679
61740,-8.93693,-2.86392,-1.57155,-6.2631,2.32095,8.06629,9.38622,9.17403,-29.76533,-15.18394,-44.94927
61770,-5.19833,-3.4426,-4.80237,-6.97464,1.14751,4.67563,3.33337,1.145,-25.28624,-4.574634,-29.86087
61800,-5.5463,-3.4426,-4.81713,-7.16993,2.16181,5.46693,3.76375,1.12755,-26.178,-7.862788,-34.04079
61830,-5.95536,-3.42243,-3.91427,-7.00432,2.54357,1.81709,1.20512,1.55827,-24.43789,-8.675731,-33.11362
61860,-7.00063,-4.11144,-4.52388,-7.62591,1.36198,1.27706,1.77413,2.28469,-24.19979,-7.181607,-31.3814
61890,-7.31528,-2.00757,-2.19416,-6.24926,1.87853,5.21523,3.5892,6.06285,-27.73268,-13.61861,-41.35129
61920,-2.59568,1.08953,-4.60084,-7.60498,1.13821,7.30958,1.66947,5.67961,-26.89518,-10.10179,-36.99697
61950,-1.45293,0.954275,-4.86985,-7.74114,1.47264,9.69511,2.736,1.10181,-26.31967,-5.573358,-31.89303
61980,-1.6244,0.654645,-5.43294,-7.60438,1.5664,3.00161,2.26998,1.11371,-25.0003,-6.262408,-31.26271
62010,-0.190655,1.72387,-4.78739,-7.17998,1.37232,5.93296,4.78496,1.68564,-26.84698,-9.191572,-36.03855
62040,3.58217,6.31113,-4.88986,-8.18958,1.19745,7.73465,2.23199,1.25867,-26.5485,-6.680609,-33.22911
62070,4.13155,6.22388,-4.96977,-7.3419,1.16487,6.61178,2.45501,1.28292,-26.50765,-5.577111,-32.08476
62100,3.43206,5.24666,-5.27765,-7.20435,1.59632,6.96899,6.45729,1.41099,-27.78344,-8.980532,-36.76397
62130,3.88488,5.1941,-5.01856,-6.93362,3.30119,3.90583,1.66396,1.98412,-26.95029,-11.89349,-38.84378
62160,2.74427,4.91249,-4.43993,-7.08244,2.61496,1.51354,1.53076,5.0848,-26.52313,-11.08194,-37.60507
62190,2.65825,4.56155,-3.895,-7.8282,2.97783,1.67407,1.48416,5.06327,-26.696,-11.684,-38.38
62220,-5.0595,-1.79834,-5.63337,-8.71501,5.78213,1.71923,2.88995,1.50063,-26.08743,-10.64898,-36.73641
62250,-6.16376,-2.20141,-5.11223,-9.32185,1.13731,4.44216,3.55164,1.36738,-25.51375,-6.763056,-32.2768
62280,-6.09405,-2.09303,-4.37713,-9.32185,3.33929,8.06664,3.51406,1.41264,-27.22565,-11.80064,-39.02629
62310,-3.86373,-1.64523,-5.97788,-8.34116,3.99777,4.77471,3.2374,2.2104,-27.26129,-13.33663,-40.59792
62340,-4.79825,-2.76214,-3.80614,-7.25494,5.47222,1.15843,1.51469,1.19965,-24.7562,-6.263832,-31.02003
62370,-4.90739,-1.64649,-4.7262,-7.74632,1.1183,6.91729,2.61764,2.02248,-26.04639,-8.962188,-35.00858
62400,-5.92087,-2.0693,-4.95228,-8.88975,1.15898,1.93774,4.79608,1.8915,-25.3293,-7.603708,-32.93301
62430,-5.24115,-2.28965,-5.0559,-9.41879,1.1295,1.34891,4.88157,5.53211,-26.0386,-8.293267,-34.33186
62460,-7.88643,-4.48858,-4.8823,-9.26614,1.17634,2.35441,2.47342,2.57176,-25.12488,-9.165164,-34.29004
62490,-6.56668,-4.62453,-4.79826,-8.15195,1.16959,4.27435,1.54435,4.60101,-25.80674,-9.1885,-34.99524
62520,-9.97199,-4.50051,-4.98123,-11.3082,1.27679,7.30447,9.11271,2.65834,-27.75837,-12.94002,-40.69839
62550,-1.53335,0.714919,-4.86529,-7.72327,1.49849,2.25436,1.17155,1.15988,-24.0642,-5.306448,-29.37065
62580,-1.47965,0.911172,-4.2086,-8.22069,5.92687,1.70043,7.08827,1.68283,-27.35889,-11.85212,-39.21101
62610,-0.513443,2.20868,-1.17089,-3.98571,2.39732,1.41172,1.40817,4.4452,-25.87122,-13.1732,-39.04442
62640,2.53753,7.52376,-1.34922,-5.0676,2.30117,3.9056,1.52259,4.8479,-27.64013,-13.50481,-41.14494
62670,4.36707,5.53103,0.0145458,-3.49128,4.83706,2.36994,8.93818,2.31714,-28.95165,-14.39414,-43.34579
62700,-0.389186,3.54047,2.55614,0.151707,2.12723,4.29699,2.39313,2.73492,-27.38322,-13.5015,-40.88473
62730,-2.03001,2.20354,3.47571,0.445295,1.60183,8.37239,5.66802,4.99644,-29.14706,-12.90733,-42.0544
62760,-3.14573,1.5345,4.15288,2.52712,5.44661,4.84411,4.2124,4.09139,-29.43304,-16.38619,-45.81922
62790,-3.01733,0.0763133,7.22866,5.03337,1.22877,1.20872,3.70382,7.3842,-27.43094,-11.86412,-39.29506
62820,-3.79842,-0.554735,7.6106,5.85425,1.94008,8.22097,6.93682,1.85294,-29.1151,-17.096,-46.2111
62850,-3.83737,0.0720889,8.79585,6.23336,1.4844,1.26789,1.71493,2.69131,-26.15661,-11.2057,-37.36231
62880,-4.64087,-0.581387,8.55596,5.7687,1.54601,1.53711,1.63972,8.19498,-27.33604,-11.06019,-38.39623
62910,-6.26633,-2.38736,8.50004,5.82976,1.55783,1.40631,5.74234,7.77644,-28.36326,-11.77968,-40.14293
62940,-5.70846,-2.80034,7.40214,5.3626,1.19995,3.37374,3.38711,9.04554,-28.42386,-13.70457,-42.12843
62970,-6.08252,-5.52584,7.91461,5.00663,3.64692,1.58146,3.47203,3.04467,-27.67822,-13.91743,-41.59566
63000,-8.05657,-5.51805,7.32766,4.55637,2.29456,2.59313,6.49298,1.46941,-27.5053,-9.80214,-37.30744
63030,-8.65004,-5.52683,8.09505,4.30978,1.4215,3.77123,4.25676,1.38825,-26.99189,-8.498039,-35.48993
63060,-8.23437,-5.37136,8.01558,4.30978,1.6623,4.4675,3.0294,1.96978,-27.31547,-10.84637,-38.16184
63090,-8.70462,-5.37334,8.26168,4.70259,1.15322,8.61812,4.8339,1.10003,-27.55885,-3.983861,-31.54271
63120,-7.78647,-5.37334,7.42629,4.28553,3.05198,4.76658,6.49738,1.2942,-28.26003,-9.918677,-38.17871
63150,-8.18962,-5.5722,6.46102,3.92899,1.61325,2.68488,8.67302,3.82719,-28.29219,-12.40445,-40.69664
63180,-6.52919,-5.2594,5.47862,3.45202,2.51875,1.41987,3.46578,1.1789,-25.87008,-8.896539,-34.76662
63210,-5.69408,-1.43073,5.21585,1.49553,2.27931,8.66715,4.42704,6.99694,-29.55,-14.35227,-43.90227
63240,-6.93012,-5.379,3.32156,1.67328,1.16783,2.16483,9.05189,1.13847,-26.13529,-6.103331,-32.23862
63270,-7.36826,-5.66383,4.261,1.96174,1.74284,4.06562,7.31978,1.20673,-27.10436,-9.803356,-36.90772
63300,-8.06162,-4.67258,4.49676,1.36938,1.12985,3.48099,9.27275,3.33426,-27.76751,-8.648287,-36.4158
63330,-8.01395,-5.53801,4.27498,1.19245,1.27605,1.65702,3.19652,1.34747,-25.13386,-7.580629,-32.71449
63360,-6.1961,-5.069,3.02748,1.80545,2.72503,3.55512,7.7287,1.56735,-27.63244,-11.89735,-39.52979
63390,-9.01393,-5.25944,3.11556,-0.526027,6.86315,2.3308,1.64088,1.47827,-26.41192,-11.40468,-37.8166
63420,-9.55015,-5.32621,1.93458,-0.191827,9.60819,1.50332,3.686,1.12059,-26.78338,-10.5193,-37.30269
63450,-6.23062,-5.34031,3.69737,1.94399,7.7282,4.61137,7.59396,1.15875,-28.67276,-10.56015,-39.23291
63480,-5.85531,-4.91716,4.90742,3.28742,3.77642,4.62278,4.40608,9.79416,-29.7562,-15.64392,-45.40012
