"median","LCL","UCL","time","compartment.name","study"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.0538948,0.020002025,1.2146385,1,"Blood","AtoB"
0.10873,0.042259345,1.52475,2,"Blood","AtoB"
0.16304,0.06406987,1.7605415,3,"Blood","AtoB"
0.2166345,0.085733185,1.9469085,4,"Blood","AtoB"
0.269499,0.1070854,2.122801,5,"Blood","AtoB"
0.3215375,0.12820795,2.3065925,6,"Blood","AtoB"
0.372756,0.14871995,2.4846315,7,"Blood","AtoB"
0.42322,0.1691656,2.6740025,8,"Blood","AtoB"
0.472995,0.18916195,2.825942,9,"Blood","AtoB"
0.5220825,0.2090809,2.9788375,10,"Blood","AtoB"
0.570623,0.2278645,3.172301,11,"Blood","AtoB"
0.618109,0.24648775,3.319357,12,"Blood","AtoB"
0.665262,0.26516345,3.488294,13,"Blood","AtoB"
0.7117345,0.28398075,3.6382835,14,"Blood","AtoB"
0.75727,0.30228825,3.78696299999999,15,"Blood","AtoB"
0.8021425,0.31912405,3.921781,16,"Blood","AtoB"
0.8466865,0.33679565,4.05929549999999,17,"Blood","AtoB"
0.8903565,0.35313645,4.2066845,18,"Blood","AtoB"
0.9332535,0.3696619,4.330667,19,"Blood","AtoB"
0.975539,0.3860502,4.461498,20,"Blood","AtoB"
1.017445,0.40127985,4.579498,21,"Blood","AtoB"
1.058435,0.41747865,4.688327,22,"Blood","AtoB"
1.099285,0.4321572,4.7966645,23,"Blood","AtoB"
1.1392,0.4480566,4.91471349999999,24,"Blood","AtoB"
1.17814,0.4626228,5.027754,25,"Blood","AtoB"
1.217075,0.4782456,5.1508425,26,"Blood","AtoB"
1.25508,0.4931223,5.2707585,27,"Blood","AtoB"
1.29242,0.50687735,5.388819,28,"Blood","AtoB"
1.328605,0.519802,5.49426649999999,29,"Blood","AtoB"
1.365285,0.53342995,5.60840099999999,30,"Blood","AtoB"
1.40135,0.5472248,5.7207735,31,"Blood","AtoB"
1.436515,0.5604824,5.82180899999999,32,"Blood","AtoB"
1.471335,0.57304325,5.931045,33,"Blood","AtoB"
1.50639,0.5835,6.038918,34,"Blood","AtoB"
1.541005,0.5953186,6.1329185,35,"Blood","AtoB"
1.574335,0.6061852,6.229398,36,"Blood","AtoB"
1.608385,0.61776035,6.326629,37,"Blood","AtoB"
1.64145,0.6278461,6.4287895,38,"Blood","AtoB"
1.67334,0.6388539,6.511046,39,"Blood","AtoB"
1.70586,0.64996025,6.580577,40,"Blood","AtoB"
1.737855,0.66074555,6.65242749999999,41,"Blood","AtoB"
1.76966,0.67016455,6.6982685,42,"Blood","AtoB"
1.800085,0.6792508,6.7728745,43,"Blood","AtoB"
1.83027,0.6875395,6.84549,44,"Blood","AtoB"
1.859825,0.69585545,6.9197245,45,"Blood","AtoB"
1.88984,0.70533045,6.9720385,46,"Blood","AtoB"
1.919575,0.7150225,7.02363449999999,47,"Blood","AtoB"
1.948555,0.7221801,7.09425549999999,48,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
24.66435,0.43988115,324.06305,1,"Cell","AtoB"
26.0491,0.8032785,325.2014,2,"Cell","AtoB"
26.9894,1.151411,325.4272,3,"Cell","AtoB"
27.9032,1.484683,324.7425,4,"Cell","AtoB"
28.7492,1.795113,323.17215,5,"Cell","AtoB"
29.45745,2.101023,321.7148,6,"Cell","AtoB"
30.19505,2.3979175,320.7105,7,"Cell","AtoB"
30.97595,2.67946,319.84225,8,"Cell","AtoB"
31.75975,2.9487295,319.639,9,"Cell","AtoB"
32.4088,3.2221675,318.91355,10,"Cell","AtoB"
32.9893,3.492341,318.23785,11,"Cell","AtoB"
33.5524,3.7639985,317.16015,12,"Cell","AtoB"
34.1529,4.0129885,316.5318,13,"Cell","AtoB"
34.72425,4.2530105,316.3438,14,"Cell","AtoB"
35.23435,4.5026215,316.06465,15,"Cell","AtoB"
35.6886,4.7345485,315.79445,16,"Cell","AtoB"
36.22565,4.9693325,315.70685,17,"Cell","AtoB"
36.67955,5.2085655,314.9682,18,"Cell","AtoB"
37.2513,5.433238,314.0882,19,"Cell","AtoB"
37.7278,5.6526595,313.7966,20,"Cell","AtoB"
38.16585,5.87355,313.56025,21,"Cell","AtoB"
38.6998,6.071004,313.08005,22,"Cell","AtoB"
39.19195,6.277509,312.1051,23,"Cell","AtoB"
39.71715,6.4857205,311.13565,24,"Cell","AtoB"
40.1342,6.695286,311.00945,25,"Cell","AtoB"
40.48095,6.8835195,310.557,26,"Cell","AtoB"
40.9064,7.0664785,309.8585,27,"Cell","AtoB"
41.2643,7.253132,310.4321,28,"Cell","AtoB"
41.62125,7.430393,310.42425,29,"Cell","AtoB"
42.01345,7.5953955,310.08375,30,"Cell","AtoB"
42.40355,7.756671,309.85965,31,"Cell","AtoB"
42.75225,7.9027435,309.8512,32,"Cell","AtoB"
43.163,8.074523,309.1795,33,"Cell","AtoB"
43.5394,8.212642,309.20615,34,"Cell","AtoB"
43.8776,8.378618,309.16975,35,"Cell","AtoB"
44.22805,8.55833,308.685,36,"Cell","AtoB"
44.5204,8.7062345,308.2671,37,"Cell","AtoB"
44.8786,8.856344,307.9358,38,"Cell","AtoB"
45.1859,9.008082,308.14435,39,"Cell","AtoB"
45.4877,9.1620055,308.1917,40,"Cell","AtoB"
45.78375,9.2989305,307.7857,41,"Cell","AtoB"
46.0843,9.44042,307.3253,42,"Cell","AtoB"
46.39315,9.5751715,306.9066,43,"Cell","AtoB"
46.73235,9.68946,307.00405,44,"Cell","AtoB"
47.01955,9.820315,306.7608,45,"Cell","AtoB"
47.3108,9.959717,306.6516,46,"Cell","AtoB"
47.61565,10.0827,306.45495,47,"Cell","AtoB"
47.96215,10.224145,306.2264,48,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
4.98182,4.6632255,4.99213,1,"Lumen","AtoB"
4.966365,4.582983,4.98548,2,"Lumen","AtoB"
4.951495,4.5209055,4.97913,3,"Lumen","AtoB"
4.93691,4.4730185,4.9730405,4,"Lumen","AtoB"
4.92262,4.4243255,4.9670405,5,"Lumen","AtoB"
4.90863,4.3761565,4.9610605,6,"Lumen","AtoB"
4.89484,4.3254545,4.9555105,7,"Lumen","AtoB"
4.881245,4.276812,4.9499105,8,"Lumen","AtoB"
4.867795,4.237573,4.9443105,9,"Lumen","AtoB"
4.854595,4.1900975,4.9390715,10,"Lumen","AtoB"
4.84168,4.145523,4.9338015,11,"Lumen","AtoB"
4.82892,4.1046555,4.92859,12,"Lumen","AtoB"
4.816275,4.0615425,4.9234345,13,"Lumen","AtoB"
4.80406,4.0208685,4.918541,14,"Lumen","AtoB"
4.79184,3.9798525,4.9137225,15,"Lumen","AtoB"
4.77996,3.943481,4.9091415,16,"Lumen","AtoB"
4.768195,3.910206,4.90452,17,"Lumen","AtoB"
4.75667,3.870361,4.900141,18,"Lumen","AtoB"
4.74517,3.833833,4.895784,19,"Lumen","AtoB"
4.7339,3.801595,4.8918035,20,"Lumen","AtoB"
4.72273,3.7693635,4.8874105,21,"Lumen","AtoB"
4.711675,3.7395235,4.883041,22,"Lumen","AtoB"
4.70068,3.7095635,4.8789405,23,"Lumen","AtoB"
4.69002,3.682698,4.87507,24,"Lumen","AtoB"
4.6796,3.6536825,4.871052,25,"Lumen","AtoB"
4.669205,3.6175655,4.8668515,26,"Lumen","AtoB"
4.65892,3.583452,4.862652,27,"Lumen","AtoB"
4.64882,3.550837,4.8587415,28,"Lumen","AtoB"
4.639015,3.523287,4.8549045,29,"Lumen","AtoB"
4.629385,3.491657,4.85151,30,"Lumen","AtoB"
4.61972,3.4667325,4.8477515,31,"Lumen","AtoB"
4.610245,3.436447,4.8444325,32,"Lumen","AtoB"
4.600855,3.410354,4.841024,33,"Lumen","AtoB"
4.59151,3.3834005,4.8378505,34,"Lumen","AtoB"
4.582305,3.3550765,4.834921,35,"Lumen","AtoB"
4.57341,3.328425,4.831713,36,"Lumen","AtoB"
4.564375,3.302658,4.82905,37,"Lumen","AtoB"
4.555675,3.2799895,4.826371,38,"Lumen","AtoB"
4.54707,3.255147,4.823076,39,"Lumen","AtoB"
4.538425,3.231368,4.82016,40,"Lumen","AtoB"
4.52995,3.219129,4.817723,41,"Lumen","AtoB"
4.52168,3.206728,4.814743,42,"Lumen","AtoB"
4.513395,3.187175,4.812202,43,"Lumen","AtoB"
4.50518,3.1651375,4.8100135,44,"Lumen","AtoB"
4.497005,3.145271,4.8076535,45,"Lumen","AtoB"
4.48896,3.1327945,4.805251,46,"Lumen","AtoB"
4.48112,3.1187775,4.803313,47,"Lumen","AtoB"
4.47313,3.0983365,4.8008115,48,"Lumen","AtoB"
5,5,5,0,"Blood","BtoA"
4.945925,2.71656,4.97637,1,"Blood","BtoA"
4.90447,1.87376,4.957742,2,"Blood","BtoA"
4.86369,1.399315,4.94022,3,"Blood","BtoA"
4.823715,1.1489765,4.9232415,4,"Blood","BtoA"
4.784245,0.99122835,4.9070405,5,"Blood","BtoA"
4.74516,0.89167505,4.890721,6,"Blood","BtoA"
4.70653,0.80454005,4.874451,7,"Blood","BtoA"
4.66834,0.7511286,4.8583805,8,"Blood","BtoA"
4.630955,0.7022551,4.8423215,9,"Blood","BtoA"
4.593825,0.6773058,4.8265725,10,"Blood","BtoA"
4.557315,0.64945495,4.8106725,11,"Blood","BtoA"
4.52146,0.6245304,4.795021,12,"Blood","BtoA"
4.48575,0.6034015,4.78027,13,"Blood","BtoA"
4.450485,0.583857,4.765074,14,"Blood","BtoA"
4.415585,0.57370465,4.7499595,15,"Blood","BtoA"
4.38148,0.5600524,4.735291,16,"Blood","BtoA"
4.347775,0.5477535,4.72066,17,"Blood","BtoA"
4.31441,0.54094165,4.7058935,18,"Blood","BtoA"
4.281415,0.5310462,4.691398,19,"Blood","BtoA"
4.248935,0.52410175,4.6774315,20,"Blood","BtoA"
4.216525,0.51794525,4.662945,21,"Blood","BtoA"
4.18492,0.51438205,4.648767,22,"Blood","BtoA"
4.15327,0.50614055,4.6352225,23,"Blood","BtoA"
4.12239,0.5010575,4.621561,24,"Blood","BtoA"
4.09182,0.49678745,4.6076025,25,"Blood","BtoA"
4.061685,0.4934385,4.5935615,26,"Blood","BtoA"
4.0318,0.49009915,4.579535,27,"Blood","BtoA"
4.002585,0.48624515,4.566333,28,"Blood","BtoA"
3.97359,0.48110585,4.552495,29,"Blood","BtoA"
3.944645,0.47893815,4.5403795,30,"Blood","BtoA"
3.91634,0.4766408,4.5276165,31,"Blood","BtoA"
3.888355,0.4728643,4.5142105,32,"Blood","BtoA"
3.86103,0.4689942,4.501481,33,"Blood","BtoA"
3.83392,0.4654155,4.490102,34,"Blood","BtoA"
3.80698,0.46304045,4.4775705,35,"Blood","BtoA"
3.78059,0.4591194,4.466472,36,"Blood","BtoA"
3.75444,0.45593625,4.4551745,37,"Blood","BtoA"
3.72829,0.45165675,4.4428895,38,"Blood","BtoA"
3.702465,0.44968925,4.430181,39,"Blood","BtoA"
3.676735,0.44660395,4.4187735,40,"Blood","BtoA"
3.65151,0.4454429,4.406359,41,"Blood","BtoA"
3.626445,0.4443623,4.394414,42,"Blood","BtoA"
3.601795,0.4431545,4.382848,43,"Blood","BtoA"
3.577275,0.4410748,4.371413,44,"Blood","BtoA"
3.553345,0.43925455,4.359547,45,"Blood","BtoA"
3.529125,0.43775125,4.3477595,46,"Blood","BtoA"
3.505825,0.43726985,4.337122,47,"Blood","BtoA"
3.482345,0.4352877,4.3264285,48,"Blood","BtoA"
1e-15,1e-15,1e-15,0,"Cell","BtoA"
31.32135,0.22987045,203.74175,1,"Cell","BtoA"
31.06215,0.4047911,198.09005,2,"Cell","BtoA"
30.8522,0.5669485,192.72115,3,"Cell","BtoA"
30.58595,0.7183296,188.4664,4,"Cell","BtoA"
30.39125,0.86548635,183.993,5,"Cell","BtoA"
30.1901,0.99926485,180.78955,6,"Cell","BtoA"
30.01635,1.1230755,178.03005,7,"Cell","BtoA"
29.8771,1.2512245,175.2744,8,"Cell","BtoA"
29.7325,1.3747215,172.99415,9,"Cell","BtoA"
29.58385,1.494131,171.10175,10,"Cell","BtoA"
29.4624,1.608304,169.11245,11,"Cell","BtoA"
29.3606,1.709412,166.80495,12,"Cell","BtoA"
29.2729,1.818628,164.5013,13,"Cell","BtoA"
29.13685,1.9238385,162.9335,14,"Cell","BtoA"
29.0429,2.022603,160.7702,15,"Cell","BtoA"
28.95105,2.1273735,159.55745,16,"Cell","BtoA"
28.8527,2.2222585,157.4993,17,"Cell","BtoA"
28.68595,2.320178,156.13495,18,"Cell","BtoA"
28.5651,2.4095865,154.8585,19,"Cell","BtoA"
28.43085,2.4961255,153.47375,20,"Cell","BtoA"
28.35825,2.5767705,151.82885,21,"Cell","BtoA"
28.26895,2.666489,150.605,22,"Cell","BtoA"
28.14565,2.753477,149.43015,23,"Cell","BtoA"
28.0471,2.830968,148.27635,24,"Cell","BtoA"
27.9907,2.9093605,147.30575,25,"Cell","BtoA"
27.9018,2.9765945,146.134,26,"Cell","BtoA"
27.8239,3.051378,145.2443,27,"Cell","BtoA"
27.7619,3.119492,144.21525,28,"Cell","BtoA"
27.68945,3.186607,143.20145,29,"Cell","BtoA"
27.64005,3.253451,141.9216,30,"Cell","BtoA"
27.5613,3.3201875,141.2243,31,"Cell","BtoA"
27.5103,3.3888845,140.4224,32,"Cell","BtoA"
27.4521,3.4443425,139.50135,33,"Cell","BtoA"
27.3811,3.5138685,138.8651,34,"Cell","BtoA"
27.2997,3.5786875,137.99045,35,"Cell","BtoA"
27.24705,3.6309845,137.1854,36,"Cell","BtoA"
27.2058,3.6898425,136.42305,37,"Cell","BtoA"
27.1217,3.7388845,135.8042,38,"Cell","BtoA"
27.08215,3.79922,135.14615,39,"Cell","BtoA"
27.0184,3.860017,134.5356,40,"Cell","BtoA"
26.9572,3.8970585,133.7734,41,"Cell","BtoA"
26.9181,3.9480015,132.98365,42,"Cell","BtoA"
26.84065,3.9988925,132.4558,43,"Cell","BtoA"
26.78055,4.035159,131.64725,44,"Cell","BtoA"
26.7697,4.0721105,130.80325,45,"Cell","BtoA"
26.71025,4.1169995,130.12315,46,"Cell","BtoA"
26.66835,4.168799,129.2572,47,"Cell","BtoA"
26.6002,4.210372,128.6551,48,"Cell","BtoA"
