"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-5.25194929024791,0.242472081617669,4.61034826189314,-10.6851625,-8.2969525,-6.918955,-3.1457675,6.391926,360,1.0058486361702,1,-10.157165,-6.918955,4.271741,0.0410000000000004,0.0568600000000004,0.11934,0.46153,0.885785,0.171592165093765,484,527
"p_2.1.",-2.60300699899322,0.231707504394523,4.33280196665407,-6.23553425,-5.536915,-4.69934,-0.8201335,8.73815475,348,1.00638897477014,1,-6.055756,-4.69934,6.5749755,0.0119050000000001,0.0214050000000001,0.105415,0.482963,0.873755,0.163978806290375,493,525
"p_3.1.",-3.74822022360236,0.160070008571029,3.94571854974105,-6.9455375,-6.023165,-5.305675,-3.3782675,8.15872375,583,1.00318655614793,1,-6.7141495,-5.305675,5.395776,0.0155349999999999,0.0219049999999998,0.0502400000000001,0.25392,0.65004,0.113240964235707,818,886
"p_4.1.",-5.95519598775434,0.152288388265742,3.78827527045588,-9.90082025,-8.0368025,-7.10853,-5.5701525,5.37493375,592,1.0025885763913,1,-9.4761785,-7.10853,2.759017,0.0325150000000001,0.0407999999999999,0.04183,0.20289,0.702225,0.107734949048755,858,886
"GSD_error_C1_blood.1.",3.82161090613673,0.0112245059123415,1.91869900599489,1.74418125,2.3856475,3.17341,4.709985,8.90349975,29208,0.999972327127862,1,1.8529025,3.17341,8.098712,0.00405,0.00639499999999993,0.0116850000000002,0.0233750000000001,0.0319500000000001,0.00793700357392911,29523,30920
"GSD_error_C1_cell.1.",4.10784484314461,0.0177551327622626,2.45983620037011,1.16860525,1.998305,3.449185,5.8376125,9.4653785,19120,1.00003754544001,1,1.242108,3.449185,8.9707985,0.00254999999999994,0.0135599999999999,0.0241750000000001,0.0332400000000002,0.0173900000000007,0.0125549655982434,18494,28769
"GSD_error_C2_cell.1.",4.08129035589301,0.0188081722505405,2.43928539818432,1.16863375,1.9853725,3.436525,5.78381,9.433157,16785,1.00027486457758,1,1.24048,3.436525,8.9132345,0.00242500000000001,0.012765,0.0240250000000002,0.0344249999999997,0.0172299999999996,0.0132996165644079,16509,26793
"GSD_error_C2_lumen.1.",2.53507733377078,0.00891142199825029,1.45429767812249,1.3694715,1.6605175,2.00615,2.7706675,7.154644,26626,1.00028457800537,1,1.417603,2.00615,5.7599705,0.00186500000000001,0.00262000000000007,0.00516000000000005,0.0130600000000001,0.06345,0.00630139584936461,28746,27738
"LnPrior",-27.0756559367579,0.029346945945512,1.25109577515893,-29.74190875,-27.846915,-27.009785,-26.21028,-24.83734,1775,1.00327360266312,1,-29.2301705,-27.009785,-25.149757,0.108285,0.0302499999999988,0.0253599999999992,0.0206900000000001,0.0183199999999992,0.0210812995676118,2015,2123
"LnData",9.27877756185696,0.0164669173029685,2.04829018933072,4.72445305,8.03655725,9.483893,10.6940875,12.8071565,15500,1.00037292515001,1,5.59691495,9.483893,12.272927,0.047342,0.0184059999999997,0.0191540000000003,0.0193899999999996,0.0351150000000002,0.0121782322800683,14401,18350
"LnPosterior",-17.7968783555806,0.041370049465279,2.9583926112244,-24.0729315,-19.660595,-17.6276,-15.7760875,-12.384642,5043,1.00138168241879,1,-22.978373,-17.6276,-13.2229665,0.0643050000000009,0.0488849999999985,0.0406050000000011,0.0412599999999994,0.0536250000000003,0.0292547111079685,5071,14089
