"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-8.52724,-5.79168,-0.773803,-3.21937,3.65243,2.0551,3.51698,1.41332,-26.02095,10.72128,-15.29966
60060,-7.78742,-5.80458,-1.80035,-3.26493,3.6119,1.10557,5.68761,3.10439,-26.60552,10.98488,-15.62063
60090,-6.54816,-5.46933,-4.09075,-4.73866,3.04561,2.42602,4.00424,4.55981,-27.15441,7.580491,-19.57392
60120,-9.89224,-5.18035,-2.73212,-5.64762,9.17762,9.76945,4.17913,1.76941,-28.80724,7.250461,-21.55678
60150,-7.31321,-4.96803,-4.84517,-6.22118,9.7521,7.33892,1.436,2.07949,-27.59114,8.41238,-19.17876
60180,-7.37978,-5.19654,-4.84006,-6.83114,3.57744,1.49145,1.50646,2.1292,-25.06178,13.02168,-12.04011
60210,-8.19941,-4.43235,-5.82217,-9.5991,3.94813,4.52967,7.41803,3.00825,-28.24419,8.007187,-20.237
60240,-7.84583,-5.34316,-6.00116,-7.47399,1.8605,3.52849,2.07626,1.52628,-25.24582,10.57936,-14.66647
60270,-8.69022,-5.12787,-3.95465,-6.98595,9.59461,5.87231,2.78906,2.11464,-28.05674,8.230423,-19.82632
60300,-7.80644,-5.77026,-4.67455,-6.91839,3.82059,2.0306,2.18453,2.37983,-25.91775,10.82492,-15.09283
60330,-7.41517,-5.26158,-5.69776,-7.2657,2.43253,1.4327,1.10097,2.25149,-24.36732,14.64935,-9.717972
60360,-7.57749,-5.67511,-5.41066,-7.48424,2.32992,1.50352,1.17938,1.68664,-24.15234,12.96553,-11.18681
60390,-7.31565,-5.44823,-5.21553,-7.54368,2.52541,2.45744,2.34805,1.81041,-25.48749,10.99284,-14.49465
60420,-7.47715,-5.41284,-4.58358,-6.63892,5.83646,1.71859,4.1294,2.78319,-26.9715,9.717422,-17.25408
60450,-5.38215,-3.4676,-5.39682,-7.3496,2.85758,1.76421,3.57233,2.83216,-26.18855,9.734533,-16.45401
60480,-5.84604,-3.80863,-5.91011,-7.29496,4.00612,3.53829,1.4157,2.61473,-26.1989,10.65363,-15.54527
60510,-6.54972,-4.45475,-5.77657,-6.73114,4.42507,8.41877,3.21052,1.94387,-27.67083,9.452638,-18.21819
60540,-6.65129,-3.8386,-5.2391,-6.86664,5.66116,5.82596,9.33044,4.48457,-29.47001,6.062998,-23.40701
60570,-7.61179,-3.34961,-6.09386,-9.55785,2.34378,3.75283,8.21642,3.76485,-27.87858,8.418463,-19.46011
60600,-3.96169,-0.797384,-5.8597,-8.53647,3.09966,1.17347,4.96989,2.60762,-26.23467,11.53764,-14.69703
60630,-3.61185,-0.865928,-5.93969,-8.67184,3.35175,2.90133,6.1044,1.72652,-27.01756,11.12435,-15.89322
60660,-2.16828,-0.646613,-5.81586,-6.86188,5.40614,6.85704,4.77767,1.51122,-28.02064,8.469755,-19.55089
60690,-1.5492,0.285277,-5.71354,-7.8798,3.69237,3.55309,4.64055,1.99074,-27.3037,10.01616,-17.28754
60720,-1.85209,0.336834,-6.49273,-8.3791,2.25911,9.60082,1.55753,2.10119,-26.75949,9.796803,-16.96268
60750,-2.05037,-0.468018,-6.10065,-7.05073,3.33349,5.756,1.20108,1.80599,-26.1704,12.47091,-13.69949
60780,-1.47327,0.184559,-5.86406,-7.40837,2.11405,3.31193,1.57541,2.35367,-25.75668,11.11568,-14.641
60810,-0.609108,2.69991,-6.30661,-9.21414,2.11201,3.02995,4.42864,4.53848,-27.57,8.720184,-18.84982
60840,1.34104,3.33618,-6.75076,-7.75963,3.02887,5.24413,6.93691,1.92845,-28.20807,10.02371,-18.18436
60870,2.18539,4.53203,-5.72276,-7.79175,3.75011,3.41046,2.10036,2.22247,-27.09702,10.12057,-16.97645
60900,3.5873,5.80989,-5.82988,-8.03018,2.2246,2.32707,4.00132,2.60173,-27.21558,10.14968,-17.0659
60930,4.00043,6.91111,-6.01017,-8.24327,2.32181,2.32191,5.75163,2.74974,-27.81854,10.06643,-17.75211
60960,3.14959,4.12258,-7.31761,-6.72295,3.85152,7.16667,1.68726,1.42804,-27.23245,8.954336,-18.27811
60990,2.18948,3.30625,-5.64819,-7.30684,4.67426,8.58607,5.1677,1.60986,-28.71694,8.49367,-20.22327
61020,1.60621,3.26226,-5.99768,-7.63851,2.72137,8.24489,3.56359,1.38586,-27.57039,10.3865,-17.18389
61050,0.537327,3.64183,-6.48688,-8.54634,6.42947,3.01408,3.61233,2.39991,-27.95753,8.562294,-19.39523
61080,1.5812,3.65743,-5.07624,-8.55053,4.36498,1.40725,4.89674,2.44799,-27.20867,8.432936,-18.77573
61110,1.47083,4.00971,-5.943,-8.36674,1.79091,2.15654,3.2285,1.53117,-25.8691,11.40142,-14.46768
61140,2.36244,4.82479,-8.23365,-8.36674,5.00766,3.27126,2.33161,1.39686,-27.02887,4.460152,-22.56872
