"median","LCL","UCL","time","compartment.name","study"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.006407985,0.0021699075,0.02072941,1,"Blood","AtoB"
0.0131024,0.004614408,0.041770755,2,"Blood","AtoB"
0.0197817,0.007046628,0.06259862,3,"Blood","AtoB"
0.0264061,0.009482819,0.08319366,4,"Blood","AtoB"
0.03302085,0.01187316,0.10364525,5,"Blood","AtoB"
0.0395699,0.014272875,0.12392315,6,"Blood","AtoB"
0.0460991,0.016639475,0.1439977,7,"Blood","AtoB"
0.05258095,0.018985845,0.1638289,8,"Blood","AtoB"
0.059044,0.021339485,0.18345365,9,"Blood","AtoB"
0.06544555,0.02367277,0.20292635,10,"Blood","AtoB"
0.0717707,0.02598016,0.22226105,11,"Blood","AtoB"
0.0780361,0.02827865,0.2413281,12,"Blood","AtoB"
0.0842738,0.030568265,0.26036725,13,"Blood","AtoB"
0.0904932,0.0328504,0.2791517,14,"Blood","AtoB"
0.0966821,0.03507851,0.29787515,15,"Blood","AtoB"
0.102831,0.03730964,0.31633745,16,"Blood","AtoB"
0.1089255,0.03951462,0.33461935,17,"Blood","AtoB"
0.1149405,0.041713315,0.3527923,18,"Blood","AtoB"
0.120898,0.043935115,0.37080805,19,"Blood","AtoB"
0.1268305,0.04611775,0.3887364,20,"Blood","AtoB"
0.1327955,0.048310975,0.40645185,21,"Blood","AtoB"
0.138639,0.050492,0.4241712,22,"Blood","AtoB"
0.144487,0.052655045,0.44165585,23,"Blood","AtoB"
0.1502885,0.0547332,0.4592264,24,"Blood","AtoB"
0.1560565,0.056785865,0.476326,25,"Blood","AtoB"
0.161792,0.058874485,0.4935944,26,"Blood","AtoB"
0.167511,0.06091806,0.5100813,27,"Blood","AtoB"
0.173121,0.062980195,0.5269073,28,"Blood","AtoB"
0.1786275,0.06501128,0.54362885,29,"Blood","AtoB"
0.184224,0.066995795,0.560323,30,"Blood","AtoB"
0.1898195,0.069021875,0.57635485,31,"Blood","AtoB"
0.195334,0.07105629,0.59246835,32,"Blood","AtoB"
0.2007285,0.07300587,0.608693,33,"Blood","AtoB"
0.206099,0.0749542,0.6239615,34,"Blood","AtoB"
0.211529,0.076893225,0.6399205,35,"Blood","AtoB"
0.216844,0.07888853,0.65565855,36,"Blood","AtoB"
0.2222445,0.080833845,0.670932,37,"Blood","AtoB"
0.2274385,0.08275952,0.6864042,38,"Blood","AtoB"
0.2327455,0.08470264,0.7017578,39,"Blood","AtoB"
0.2378515,0.08666938,0.7169711,40,"Blood","AtoB"
0.2429645,0.08853011,0.7319502,41,"Blood","AtoB"
0.2481345,0.0903806,0.74676215,42,"Blood","AtoB"
