"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-3.76319613328003,0.201912678494008,4.87981189382545,-9.80438,-7.327795,-5.299305,-1.0545375,8.4785595,581,1.00278876768134,1,-9.2831695,-5.299305,5.91641799999999,0.0369649999999995,0.0696699999999999,0.205045,0.3438135,0.59697,0.142845179464787,694,928
"p_2.1.",-1.22521723287967,0.197898676702948,4.78954842578428,-6.0067365,-5.0678325,-2.922005,1.390135,10.8890175,582,1.00293605395488,1,-5.779927,-2.922005,8.414462,0.0186950000000001,0.0587150000000003,0.23079,0.33411,0.5911,0.14000523598247,704,965
"p_3.1.",-2.61679372381915,0.194676028005514,4.08644088196805,-5.95586825,-5.16163,-4.489895,-1.545825,9.08619975,438,1.00446852814965,1,-5.6549225,-4.489895,6.50618399999999,0.0162150000000003,0.0136849999999997,0.0614400000000002,0.466265,0.73154,0.137747963526585,682,641
"p_4.1.",-5.40154260330496,0.189911938137204,4.05341712435939,-9.58541575,-7.8307375,-6.925945,-4.34406,6.11649775,453,1.00422244808407,1,-9.118644,-6.925945,3.61714249999999,0.036975,0.0337499999999999,0.05342,0.40281,0.70179,0.134374090947632,694,641
"GSD_error_C1_blood.1.",2.66109082020997,0.0161051874677337,2.02180271649273,1.11494075,1.290275,1.75594,3.2008925,8.6323075,15722,1.0008078231899,1,1.129713,1.75594,7.5352475,0.000404999999999989,0.00317000000000001,0.011665,0.0350299999999999,0.0492400000000002,0.0113882978930778,13994,25101
"GSD_error_C1_cell.1.",3.87610982752156,0.0169235565845022,2.3855407400125,1.16279225,1.87919,3.16707,5.399185,9.370708,19815,1.00008579123968,1,1.221976,3.16707,8.784148,0.00235999999999992,0.011945,0.02512,0.0368900000000001,0.0176099999999995,0.0119669372902154,18591,29904
"GSD_error_C2_cell.1.",3.86110970222472,0.0162410312209547,2.38232376983588,1.15874375,1.8730475,3.13837,5.3900375,9.3367315,21489,1.00003570183638,1,1.2258315,3.13837,8.750258,0.00215500000000002,0.01086,0.0197100000000001,0.037115,0.0190299999999999,0.0114842990054981,21083,27313
"GSD_error_C2_lumen.1.",2.73134027434071,0.0233275947353803,2.07103384170989,1.11072225,1.272635,1.782895,3.43585,8.624402,7991,1.00076873215366,1,1.122496,1.782895,7.6020095,0.000504999999999978,0.00371999999999995,0.01644,0.0548549999999999,0.0505749999999994,0.0164957108064639,8334,20489
"LnPrior",-26.6088404505687,0.0411602430691177,1.50091898591087,-29.8776905,-27.525205,-26.48188,-25.5434725,-24.048935,1312,1.00409260888312,1,-29.2285965,-26.48188,-24.3819295,0.117469999999999,0.0475000000000012,0.0336649999999992,0.0277700000000003,0.0228000000000002,0.0295103213790154,1466,2180
"LnData",-8.8856317484177,0.0439934378201373,3.00065975248651,-14.62245575,-11.0376075,-8.8165245,-6.74125275,-3.255469775,4662,1.00230790097026,1,-13.8005275,-8.8165245,-4.0234069,0.0412549999999996,0.061445,0.0481205000000005,0.0333595000000004,0.043787,0.0321543889183864,4695,11948
"LnPosterior",-35.4944721834771,0.0819116994974576,4.18564301776894,-43.817951,-38.36953,-35.33914,-32.4709825,-27.87309525,2607,1.00339147304966,1,-42.576975,-35.33914,-28.893578,0.113160000000001,0.097999999999999,0.0821550000000002,0.0659899999999993,0.0776800000000009,0.0590715939659485,2652,4300
