"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-7.94006,-4.73491,-3.7761,-7.07103,3.66304,3.0845,3.13132,1.78309,-26.39725,-10.38964,-36.78689
60060,-6.95455,-4.58585,-4.99091,-7.49998,1.54521,1.27917,1.40763,1.32099,-23.53103,-3.460788,-26.99182
60090,-6.79956,-3.551,-6.07589,-8.26483,5.88268,1.33029,5.10156,1.3887,-26.26127,-11.03521,-37.29648
60120,-6.53627,-3.97183,-5.09903,-8.11301,1.36454,3.45675,1.74372,1.11263,-24.4586,-4.360642,-28.81924
60150,-6.39621,-4.67143,-5.3079,-7.58318,1.93622,2.05795,2.99283,1.55783,-25.14703,-8.518697,-33.66573
60180,-7.28908,-4.34401,-3.89157,-6.26365,1.15008,5.80103,1.3628,2.10965,-25.209,-6.228624,-31.43762
60210,-7.13998,-4.79099,-3.89126,-6.32126,1.18636,6.33305,3.35804,2.15227,-26.24112,-7.275768,-33.51689
60240,-8.21656,-5.47049,-3.08003,-5.93067,1.31548,6.91887,4.68684,1.21385,-26.21398,-5.526789,-31.74077
60270,-8.56134,-5.72526,-2.18204,-5.75655,1.75594,2.64596,1.39179,1.16822,-24.32079,-6.825737,-31.14652
60300,-7.33529,-6.08461,-3.69304,-6.38186,2.73484,1.8358,9.01502,1.94928,-26.71702,-10.70522,-37.42224
60330,-7.23026,-5.04177,-4.31054,-6.675,1.34648,3.56795,3.61151,1.35229,-25.38843,-5.448494,-30.83692
60360,-6.38205,-4.32102,-4.87478,-7.27418,2.01915,9.62432,6.02873,1.45703,-27.37613,-8.294724,-35.67086
60390,-8.07512,-5.1777,-5.52354,-8.61722,1.77687,1.86779,2.25263,1.25004,-24.46341,-11.96782,-36.43124
60420,-4.99449,-3.07964,-3.68036,-6.51031,5.49152,1.44132,1.67658,2.27081,-25.70848,-9.618869,-35.32735
60450,-3.53518,-1.72993,-5.20018,-7.53359,1.8869,6.97612,2.71935,2.03858,-26.64043,-8.780667,-35.4211
60480,-4.88923,-3.30059,-5.24087,-7.23798,1.15268,6.62127,1.60396,1.55662,-25.21656,-4.447563,-29.66412
60510,-5.6038,-4.60618,-5.23694,-6.21009,5.77199,7.92995,3.71999,1.25937,-27.6006,-9.401022,-37.00162
60540,-5.69099,-4.59123,-4.62297,-5.77332,1.16918,5.41005,4.14633,1.27954,-25.7575,-5.859479,-31.61698
60570,-6.3087,-4.97878,-4.22339,-5.85287,1.13451,1.58111,9.44119,1.14471,-25.20518,-4.510933,-29.71611
60600,-6.43282,-5.35856,-4.3325,-5.85287,1.13153,9.76139,2.21356,1.13717,-25.55811,-5.486086,-31.0442
60630,-7.30072,-5.4219,-4.39117,-6.27666,1.32011,3.95602,5.59504,1.10804,-25.70557,-6.65406,-32.35963
60660,-7.68184,-5.32623,-3.3775,-5.75072,1.29205,1.43192,2.14313,1.74821,-24.1937,-5.981957,-30.17566
60690,-7.45267,-4.68367,-3.82422,-6.19318,1.10716,2.16393,7.6143,5.15239,-26.79463,-8.88115,-35.67578
60720,-8.69534,-5.60862,-2.71312,-6.19318,1.28951,3.42527,6.25712,2.0483,-26.31673,-7.68877,-34.0055
60750,-8.23406,-5.50056,-3.27771,-6.19421,1.20388,4.31208,5.65591,1.19589,-25.81814,-4.692439,-30.51058
60780,-8.14101,-6.18576,-3.36971,-6.29497,1.11863,3.03437,5.17573,1.60662,-25.5904,-7.220848,-32.81125
60810,-7.18002,-5.01474,-5.70271,-7.32827,4.41889,1.69695,1.36093,1.1933,-24.7134,-7.386637,-32.10003
60840,-6.91603,-3.89399,-4.63993,-7.26462,1.11101,1.49346,1.6803,2.06782,-23.99982,-4.811863,-28.81169
60870,-6.9312,-5.708,-5.36417,-6.64158,8.95924,3.71192,1.80822,1.45651,-26.68115,-13.40752,-40.08867
60900,-5.80339,-4.6002,-3.49761,-6.54257,3.26909,3.78804,3.62059,1.54881,-26.50338,-10.23482,-36.7382
60930,-6.59317,-3.58703,-4.52786,-7.28184,2.61611,5.79523,2.48279,7.05275,-27.83923,-11.68617,-39.5254
60960,-4.87281,-2.64109,-5.33753,-6.79948,4.28149,4.51462,1.48652,2.22285,-26.44433,-10.53996,-36.9843
60990,-2.87468,-2.69961,-5.05171,-5.17477,1.16527,6.22103,6.45258,1.70876,-26.72746,-8.226617,-34.95408
61020,-3.08464,-1.72081,-5.45675,-6.8298,1.43936,5.02657,3.83464,7.75395,-27.72965,-10.67107,-38.40072
61050,-3.52787,-2.10223,-5.22593,-6.78523,1.19984,3.46708,1.18062,1.11027,-24.03092,-6.779628,-30.81054
61080,-3.03707,-1.75962,-5.3225,-6.78523,1.38433,9.18392,9.76769,1.10182,-27.27859,-5.686479,-32.96507
61110,-3.58917,-2.20372,-5.2187,-8.38243,1.12987,3.1158,4.72913,2.09265,-25.88858,-10.79529,-36.68387
61140,-6.36743,-4.33446,-5.16631,-7.45604,1.31159,1.78976,1.30923,1.78895,-23.93689,-4.965979,-28.90287
61170,-6.4998,-4.90757,-4.83878,-8.21829,1.72224,1.50247,1.29571,4.21677,-24.88106,-7.792698,-32.67375
61200,-8.46869,-5.24167,-4.42236,-7.47935,1.5513,9.13776,4.72256,1.62398,-26.92678,-8.835242,-35.76202
61230,-9.28756,-5.31179,-3.92634,-8.50107,4.56281,5.8103,2.0623,1.14423,-26.40404,-9.841678,-36.24572
61260,-7.01629,-5.13538,-5.19094,-8.70429,5.33234,6.90896,1.45642,3.80881,-27.54894,-11.98677,-39.53571
61290,-3.21136,-4.51066,-2.10439,-2.21212,4.25756,8.88988,6.77933,1.81932,-28.58322,-14.75552,-43.33874
61320,-2.40306,-2.60292,-4.22716,-5.5494,3.9896,5.99531,5.84587,2.39611,-28.18861,-12.80777,-40.99638
61350,-4.00783,-2.3468,-5.36889,-7.40657,1.30203,7.08108,4.62359,1.69669,-26.59511,-7.156852,-33.75197
61380,-3.58414,-1.98044,-4.86205,-7.06727,1.83298,3.4718,1.11693,3.55254,-25.57184,-8.146947,-33.71879
61410,-3.7799,-1.649,-4.50548,-7.7286,1.81513,2.17045,3.21344,1.18969,-25.0715,-6.440672,-31.51217
61440,-3.78265,-1.6485,-4.81464,-7.7286,2.52502,1.36629,1.45998,1.14997,-24.1106,-5.061972,-29.17257
61470,-3.79588,-1.54546,-5.05644,-7.69793,1.82946,4.33212,2.43001,1.10258,-25.40975,-6.428859,-31.83861
61500,-3.74466,-1.55752,-4.01536,-7.54134,7.97555,9.81906,2.84198,1.11843,-27.88977,-9.345476,-37.23525
61530,-4.69363,-0.431085,-5.2624,-7.39889,4.32261,1.76813,1.84791,6.63647,-26.92211,-11.64729,-38.5694
61560,-1.35883,3.0137,-4.77501,-8.20609,3.14508,3.63161,8.55396,3.82517,-28.62834,-13.07371,-41.70205
61590,-0.841252,2.01014,-4.96618,-7.79091,1.59406,1.90059,1.7759,1.62581,-24.81859,-8.492135,-33.31073
61620,-3.19804,-0.561301,-5.30309,-7.45697,1.14675,4.42637,6.35502,1.33628,-26.17219,-10.94957,-37.12175
61650,-4.95471,-3.24757,-4.36877,-7.31071,2.93891,3.84713,4.48543,2.80223,-27.24031,-10.97257,-38.21288
61680,-3.25069,-0.983915,-5.01735,-6.93973,1.34368,3.53758,1.14051,2.98769,-25.17499,-7.247623,-32.42261
61710,-6.11213,-2.48895,-4.99435,-8.36138,1.43204,4.47803,7.09224,1.58935,-26.57228,-9.49061,-36.06289
61740,-6.52082,-4.46185,-4.68143,-7.49444,2.0644,2.29535,1.88099,1.28435,-24.67474,-5.917343,-30.59209
61770,-6.03354,-3.72446,-4.9466,-7.68979,5.28308,1.63438,3.49274,1.20476,-25.8445,-6.954478,-32.79898
61800,-6.64677,-4.82756,-3.67407,-5.85879,2.96861,1.18331,7.8818,1.35832,-25.88124,-7.852828,-33.73406
61830,-7.21153,-3.41327,-4.00793,-6.65458,1.25405,3.24242,1.88419,5.85935,-26.07645,-8.932177,-35.00863
61860,-7.02341,-4.98341,-2.35593,-5.85523,6.35492,8.20381,8.95995,2.64505,-29.40948,-12.88724,-42.29672
61890,-6.6907,-5.76819,-0.377038,-2.27116,6.63747,1.4075,6.34015,2.94195,-27.60142,-11.47716,-39.07858
61920,-6.86855,-7.03041,1.11013,-0.74523,1.53354,1.29015,9.332,6.4792,-27.36405,-11.18709,-38.55114
61950,-6.55939,-4.57316,1.16157,-0.51721,1.35267,1.97569,7.14852,3.85822,-26.91465,-9.340201,-36.25485
61980,-6.92067,-4.0399,1.934,-0.119711,1.14638,1.38324,8.84479,8.32239,-27.4534,-7.314718,-34.76811
62010,-8.76347,-4.06726,3.21534,-0.568655,2.18876,2.28472,3.74945,7.48274,-27.71921,-13.40602,-41.12523
62040,-4.56244,-5.77825,2.08794,1.10355,4.87636,4.36699,7.65919,1.65763,-28.36654,-13.41266,-41.77919
62070,-6.97747,-5.8248,0.598983,-1.05731,1.2211,3.93247,8.16313,4.11958,-27.62436,-9.007503,-36.63187
62100,-7.07248,-6.07067,0.782758,-1.05731,1.17732,6.53239,5.00729,2.14038,-26.9607,-8.627685,-35.58839
62130,-7.23848,-5.3024,0.998025,-1.05731,1.368,7.10548,4.27151,1.75676,-26.85851,-8.184507,-35.04302
62160,-6.51052,-5.86394,0.565489,-1.05731,2.49391,2.05283,3.23781,1.85914,-25.96642,-11.42283,-37.38925
62190,-9.23672,-5.62591,2.19938,-1.64612,1.27638,8.72273,2.35813,1.25785,-26.13504,-5.072504,-31.20754
62220,-9.2663,-5.24521,1.43699,-1.54863,3.97878,4.76325,2.47059,3.31627,-27.64147,-12.11674,-39.75822
62250,-8.09508,-5.34823,1.46626,-1.93994,2.57485,5.18682,3.07627,1.77491,-26.85533,-9.809275,-36.66461
62280,-9.95143,-5.61887,3.79807,-0.513712,3.46669,6.37437,2.706,1.13439,-27.03868,-7.421134,-34.45981
62310,-7.87011,-5.81702,2.48266,-0.158923,1.36105,1.58735,5.40783,1.16524,-25.31736,-5.984075,-31.30144
62340,-11.5782,-6.08001,3.46392,-1.72777,2.00528,8.41848,8.38685,1.39197,-28.06931,-13.04492,-41.11423
62370,-7.05981,-5.53182,0.242977,-2.96764,5.9019,1.79007,2.29574,1.24185,-25.8577,-9.437855,-35.29556
62400,-9.00617,-5.38483,1.81732,-2.52985,4.97307,6.13804,1.6262,1.35323,-26.78595,-9.466639,-36.25259
62430,-6.93273,-5.27121,1.62202,-1.37164,2.63741,5.32846,3.06348,1.3452,-26.65297,-10.17644,-36.82941
62460,-7.97631,-5.4427,1.42061,-1.40499,1.58387,2.09637,2.02362,1.13882,-24.61708,-6.941628,-31.55871
62490,-7.79789,-6.3722,0.818944,-1.30935,1.4022,1.26697,8.23823,4.72368,-26.7774,-9.700521,-36.47792
62520,-7.75755,-5.62072,0.640556,-1.30935,1.24244,2.21894,2.31062,2.56291,-25.32874,-14.82103,-40.14977
62550,-8.91248,-5.3741,3.65935,0.0248188,2.0921,2.0568,2.7121,1.21654,-25.47345,-9.375666,-34.84911
62580,-9.49694,-5.75365,4.59689,0.107074,1.27568,3.0132,4.81853,1.21342,-26.02146,-8.234928,-34.25639
62610,-9.43271,-6.0078,3.91209,-0.366735,1.67668,4.95022,1.37401,1.29449,-25.51605,-8.034334,-33.55039
62640,-10.3776,-6.62572,4.15223,-0.74819,1.38487,4.96883,2.1928,2.67592,-26.54237,-10.24898,-36.79135
62670,-9.71627,-5.75656,3.05569,-0.390073,8.29636,3.5279,2.98486,1.19364,-27.41039,-9.347146,-36.75754
62700,-9.83438,-5.77315,0.469622,-3.13718,3.927,6.56441,1.64125,1.55036,-26.67343,-10.09789,-36.77132
62730,-10.8899,-6.57176,1.14118,-4.39501,3.67376,9.98503,4.53095,6.49274,-29.50621,-13.98756,-43.49376
62760,-8.32052,-5.1299,2.7147,-0.372898,4.61521,2.87564,3.92817,1.95435,-27.34752,-11.00124,-38.34876
62790,-8.27148,-5.16403,3.93947,1.18742,5.90697,4.31956,5.72599,2.29044,-28.71642,-11.79994,-40.51636
62820,-7.089,-3.77747,3.35791,1.12677,1.23552,1.21221,3.88655,5.6052,-26.35712,-8.073497,-34.43062
62850,-8.42071,-3.85982,4.03562,1.36042,2.35364,3.70065,5.63631,7.38517,-28.84033,-13.10217,-41.9425
62880,-2.79001,1.87911,5.61819,2.36642,5.65166,1.8255,3.91377,7.9002,-29.23055,-14.93209,-44.16265
62910,-3.02082,1.00207,3.20227,1.58834,9.52482,1.26053,2.1103,9.36594,-28.61405,-13.77739,-42.39143
62940,-6.70442,-0.969789,4.64057,1.09034,2.54635,8.06223,2.76858,9.62678,-29.37612,-13.77188,-43.148
62970,-6.17973,-1.08448,3.24264,-0.282394,1.58693,9.81444,2.65828,9.29527,-28.83084,-11.97192,-40.80276
