"median","LCL","UCL","time","compartment.name","study"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.0449112,0.017020585,0.93688315,1,"Blood","AtoB"
0.0905012,0.03586093,1.195804,2,"Blood","AtoB"
0.135689,0.05428061,1.365084,3,"Blood","AtoB"
0.1804945,0.07254147,1.513443,4,"Blood","AtoB"
0.2246825,0.090570375,1.661847,5,"Blood","AtoB"
0.268426,0.1084907,1.818281,6,"Blood","AtoB"
0.311812,0.12632435,1.966327,7,"Blood","AtoB"
0.354515,0.1435228,2.1013225,8,"Blood","AtoB"
0.3968515,0.1605641,2.2592745,9,"Blood","AtoB"
0.438657,0.1770891,2.425244,10,"Blood","AtoB"
0.479666,0.19352575,2.5818785,11,"Blood","AtoB"
0.520385,0.20982975,2.7335315,12,"Blood","AtoB"
0.5604095,0.2252267,2.889309,13,"Blood","AtoB"
0.6000545,0.24045065,3.038081,14,"Blood","AtoB"
0.639041,0.25617165,3.170473,15,"Blood","AtoB"
0.6776025,0.27039825,3.303013,16,"Blood","AtoB"
0.7155845,0.2852905,3.4374605,17,"Blood","AtoB"
0.753056,0.30002175,3.5678625,18,"Blood","AtoB"
0.789743,0.31438385,3.711603,19,"Blood","AtoB"
0.825823,0.3290827,3.83831,20,"Blood","AtoB"
0.861296,0.341668,3.957795,21,"Blood","AtoB"
0.8964905,0.3550037,4.0736735,22,"Blood","AtoB"
0.9313465,0.36830475,4.194177,23,"Blood","AtoB"
0.9663155,0.3821287,4.3089775,24,"Blood","AtoB"
0.9995575,0.39583225,4.4323095,25,"Blood","AtoB"
1.032585,0.40861075,4.547954,26,"Blood","AtoB"
1.064875,0.42233125,4.645943,27,"Blood","AtoB"
1.097245,0.4339779,4.7504815,28,"Blood","AtoB"
1.12968,0.4464843,4.847701,29,"Blood","AtoB"
1.16076,0.45872665,4.969378,30,"Blood","AtoB"
1.19197,0.4706246,5.081634,31,"Blood","AtoB"
1.22195,0.4813213,5.183757,32,"Blood","AtoB"
1.25258,0.4915643,5.278803,33,"Blood","AtoB"
1.28264,0.50226455,5.3815485,34,"Blood","AtoB"
1.31159,0.51358705,5.4769965,35,"Blood","AtoB"
1.34113,0.524707,5.5712705,36,"Blood","AtoB"
1.370415,0.53444055,5.65905599999999,37,"Blood","AtoB"
1.39912,0.5442589,5.7461455,38,"Blood","AtoB"
1.42805,0.55327935,5.8487965,39,"Blood","AtoB"
1.456325,0.56287215,5.9423675,40,"Blood","AtoB"
1.48456,0.5729819,6.01498,41,"Blood","AtoB"
1.51256,0.5831863,6.1012235,42,"Blood","AtoB"
1.53942,0.59295805,6.1898145,43,"Blood","AtoB"
1.567015,0.6017,6.267002,44,"Blood","AtoB"
1.59374,0.6117667,6.349642,45,"Blood","AtoB"
1.62099,0.6208534,6.4344195,46,"Blood","AtoB"
1.64798,0.6290498,6.502996,47,"Blood","AtoB"
1.674485,0.6373557,6.5834665,48,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
14.5784,0.251495,262.4,1,"Cell","AtoB"
15.66165,0.46533165,262.67695,2,"Cell","AtoB"
16.5036,0.6677002,261.8848,3,"Cell","AtoB"
17.28295,0.8588316,260.632,4,"Cell","AtoB"
17.9431,1.048998,259.29065,5,"Cell","AtoB"
18.62575,1.232095,258.4536,6,"Cell","AtoB"
19.2115,1.4114375,257.52345,7,"Cell","AtoB"
19.7936,1.585553,256.67335,8,"Cell","AtoB"
20.3911,1.757568,256.0311,9,"Cell","AtoB"
20.9607,1.930925,254.8555,10,"Cell","AtoB"
21.50195,2.0930625,255.01125,11,"Cell","AtoB"
22.02835,2.248297,254.1101,12,"Cell","AtoB"
22.5686,2.405634,252.71855,13,"Cell","AtoB"
23.0507,2.5604575,252.15425,14,"Cell","AtoB"
23.55545,2.7153565,251.70625,15,"Cell","AtoB"
23.97085,2.8630475,251.6035,16,"Cell","AtoB"
24.3829,3.0175595,250.9058,17,"Cell","AtoB"
24.7822,3.1636875,250.37325,18,"Cell","AtoB"
25.17375,3.307908,249.7882,19,"Cell","AtoB"
25.55325,3.441819,249.5878,20,"Cell","AtoB"
25.92315,3.576886,249.0937,21,"Cell","AtoB"
26.31135,3.708249,248.9925,22,"Cell","AtoB"
26.6954,3.8396985,248.9186,23,"Cell","AtoB"
27.06445,3.9690965,248.61195,24,"Cell","AtoB"
27.36635,4.105572,247.7155,25,"Cell","AtoB"
27.70645,4.2349635,247.29545,26,"Cell","AtoB"
28.04215,4.3635825,246.9315,27,"Cell","AtoB"
28.32145,4.469306,246.3226,28,"Cell","AtoB"
28.6631,4.595029,245.86305,29,"Cell","AtoB"
28.95085,4.714551,245.9211,30,"Cell","AtoB"
29.25545,4.8406515,245.31285,31,"Cell","AtoB"
29.54475,4.9608105,244.9592,32,"Cell","AtoB"
29.84665,5.075451,244.91245,33,"Cell","AtoB"
30.1417,5.1839745,244.94025,34,"Cell","AtoB"
30.4776,5.302231,245.0231,35,"Cell","AtoB"
30.7193,5.4130665,244.5222,36,"Cell","AtoB"
31.02945,5.520935,244.30785,37,"Cell","AtoB"
31.2998,5.6228735,244.31035,38,"Cell","AtoB"
31.5443,5.7330975,244.3497,39,"Cell","AtoB"
31.77245,5.824039,244.247,40,"Cell","AtoB"
32.0069,5.934676,243.83765,41,"Cell","AtoB"
32.2184,6.03149,243.73835,42,"Cell","AtoB"
