"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-4.47349299040961,0.496698729805117,5.06582513214212,-10.0662925,-8.1233375,-6.349605,-1.9273775,8.47174,111,1.03505841453997,1,-9.65533,-6.349605,6.14683349999999,0.0464500000000001,0.11746,0.39029,0.86619,1.004635,0.352208578582923,132,196
"p_2.1.",-1.35233140173756,0.490239149215749,4.98188042511226,-5.69721725,-5.21849,-3.4597,1.0893225,11.520965,110,1.03367055083967,1,-5.5878645,-3.4597,9.239427,0.0129799999999998,0.05579,0.43758,0.8590005,1.0672,0.347635226090071,134,198
"p_3.1.",-2.0058601641837,0.292624597616437,4.26110384864842,-5.14736875,-4.60582,-4.081125,-0.99473025,9.96609125,212,1.02128100490297,1,-4.990239,-4.081125,7.397258,0.01153,0.021925,0.106545,0.761975,0.940795,0.207202122826522,239,439
"p_4.1.",-5.92859201603909,0.289572130940104,4.23459112885755,-9.81281125,-8.4641,-7.66344,-4.96775,5.99347,213,1.02135262960495,1,-9.484996,-7.66344,3.387646,0.0418649999999996,0.0527500000000005,0.0956549999999998,0.672495,0.882855,0.20503833499351,244,425
"GSD_error_C1_blood.1.",2.32703463504562,0.0103568719175464,1.4544470914925,1.27553975,1.49785,1.784825,2.4541625,7.15109075,19710,1.00007522698133,1,1.312566,1.784825,5.613557,0.00165999999999999,0.00193499999999991,0.00494000000000006,0.0147750000000002,0.0706250000000002,0.0073235227807056,22971,23087
"GSD_error_C1_cell.1.",3.80203003249594,0.0171282702124366,2.37237862168013,1.1597075,1.84021,3.063295,5.28873,9.36156275,19099,1.0002311902792,1,1.22119,3.063295,8.722944,0.00193500000000002,0.01195,0.0208550000000001,0.0407549999999999,0.0206650000000002,0.0121117000953627,18394,27958
"GSD_error_C2_cell.1.",3.79939264623172,0.017586558681591,2.36635502989782,1.1624305,1.843,3.04134,5.29148,9.329568,17853,1.00032450828035,1,1.227382,3.04134,8.692951,0.00224000000000002,0.0111199999999999,0.02138,0.031755,0.0253399999999999,0.0124357752150321,17647,27833
"GSD_error_C2_lumen.1.",1.80751936257968,0.00703031669120036,1.05438768606974,1.16262575,1.3014,1.466625,1.8213375,5.12647275,22278,1.00009238508326,1,1.187393,1.466625,3.700138,0.00145000000000006,0.00159999999999993,0.00258000000000003,0.00736000000000003,0.0943550000000002,0.00497124904149469,21945,23564
"LnPrior",-26.2665273887639,0.0531821952080704,1.26107468055145,-29.007977,-27.0306775,-26.167275,-25.382075,-24.1312045,583,1.00988645425818,1,-28.4624205,-26.167275,-24.390965,0.19209,0.0549999999999997,0.041780000000001,0.0312099999999997,0.0194700000000001,0.038113784991496,645,786
"LnData",5.00398377160858,0.0169316820424611,2.45637596464036,-0.5339907425,3.51377275,5.3053015,6.78748275,8.9457849,21017,1.00036202813569,1,0.5355651,5.3053015,8.48770085,0.0576993,0.0230195,0.0195365000000001,0.0198149999999999,0.0201539999999998,0.0124668529305207,20032,26954
"LnPosterior",-21.2625436154856,0.0510024355746738,3.28945458602533,-28.46135325,-23.308025,-20.971255,-18.907115,-15.7113115,4174,1.00190805439488,1,-27.1408455,-20.971255,-16.4015765,0.0767700000000016,0.0522950000000009,0.0505249999999986,0.0485800000000012,0.0369950000000001,0.0360666970801482,4081,14806
