"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-9.82699,-5.72023,3.01329,-2.36151,1.65228,2.99282,8.5383,1.62471,-26.90883,3.714745,-23.19409
60060,-10.7534,-5.5485,3.27166,-2.75996,1.37435,6.36669,2.09553,1.26435,-25.8558,6.563708,-19.2921
60090,-8.28348,-4.9937,1.55914,-2.08306,1.76535,5.31262,2.40387,1.75909,-26.25335,4.768624,-21.48472
60120,-8.29444,-5.5022,-0.101041,-3.7907,1.54216,2.4647,2.20741,2.76964,-25.56577,3.967447,-21.59832
60150,-7.6291,-5.35133,0.0522614,-3.249,2.23683,7.28959,3.52374,1.78396,-27.06804,3.5528,-23.51524
60180,-6.6868,-5.26071,0.813288,-3.13255,5.00557,3.14526,2.68141,1.65256,-26.72802,0.6165081,-26.11151
60210,-8.28992,-5.21896,-1.16349,-5.36035,5.53122,3.40886,1.88382,1.72709,-26.46184,2.454388,-24.00745
60240,-8.10924,-4.61247,-3.89802,-7.71707,1.27776,1.87599,1.81001,2.02207,-24.42751,5.592713,-18.83479
60270,-8.38859,-4.75053,-4.53687,-8.66022,1.81755,3.83562,1.2994,1.3845,-24.78152,3.21925,-21.56227
60300,-7.34251,-3.52776,-4.84619,-9.65697,5.99309,1.78251,4.85877,1.87688,-26.86122,0.5838037,-26.27742
60330,-8.93892,-4.15636,-5.48041,-9.30031,8.9961,3.84933,3.55546,1.99901,-27.77307,-1.555638,-29.32871
60360,-8.15776,-5.12976,-4.18438,-7.46128,2.30913,2.03639,5.53568,1.37541,-25.81881,5.269863,-20.54895
60390,-8.23462,-5.03387,-4.06858,-7.63626,3.70113,2.45787,2.62762,1.34596,-25.71726,5.047199,-20.67006
60420,-7.17767,-4.67022,-3.52821,-7.37608,2.25503,8.28141,1.35698,1.20668,-25.67722,6.079116,-19.59811
60450,-6.47362,-4.80618,-3.98954,-6.44133,3.1669,2.74478,3.9498,1.48756,-26.17741,3.882623,-22.29479
60480,-8.02275,-5.39555,-2.73732,-6.04529,1.51585,4.23071,2.47089,1.3292,-25.32308,7.415064,-17.90801
60510,-9.31708,-5.4771,-0.630491,-5.26435,1.34535,9.09037,1.6109,1.19017,-25.53705,8.326794,-17.21026
60540,-9.07501,-5.30774,-0.757434,-5.44931,1.31665,7.12809,1.30375,2.0444,-25.59142,4.828959,-20.76246
60570,-9.19489,-5.46441,-0.161684,-4.85418,1.331,6.07358,2.04818,1.14179,-25.34845,6.268943,-19.07951
60600,-7.74967,-5.3368,-1.4209,-5.46599,4.16939,3.30177,2.42338,1.19542,-26.01312,4.991647,-21.02148
60630,-8.82089,-5.54203,-0.403807,-4.39943,1.31033,3.11348,7.65886,1.24547,-26.05938,7.184184,-18.8752
60660,-7.6861,-5.34124,-0.724603,-4.34586,1.60615,1.33019,5.50754,3.08113,-25.96494,1.782811,-24.18213
60690,-8.24678,-5.5162,-1.00878,-4.30437,1.60051,5.77471,2.63281,1.25179,-25.78118,6.399875,-19.38131
60720,-8.23718,-5.39629,-2.91033,-6.16927,2.79246,1.88507,6.4557,1.41671,-26.14565,5.402404,-20.74325
60750,-9.27012,-5.67752,-1.90229,-6.64863,1.34084,2.33252,2.23484,2.01732,-24.96155,4.433837,-20.52772
60780,-7.55615,-4.7653,-2.57034,-6.92186,2.87909,1.92875,1.16241,1.35782,-24.45443,5.379663,-19.07477
60810,-8.14888,-4.52136,-4.32003,-7.80836,2.20756,1.39394,1.18926,2.80038,-24.57656,4.614183,-19.96238
60840,-7.18625,-4.76979,-4.67512,-6.80139,2.21743,4.6183,2.47858,1.45317,-25.83804,2.671555,-23.16648
60870,-8.06419,-4.99345,-2.98196,-6.93911,1.93229,1.60911,1.42789,1.34728,-24.05953,7.913665,-16.14586
60900,-7.41284,-4.43543,-3.60057,-6.73964,1.4212,1.32812,5.08072,8.93774,-26.71023,2.784017,-23.92621
60930,-7.64224,-4.66109,-2.64771,-5.87322,1.34052,1.32284,2.50514,1.58129,-24.23683,6.258758,-17.97807
60960,-8.36627,-5.25216,-2.52271,-6.16337,2.85204,4.22762,3.47806,1.16686,-26.17729,3.974602,-22.20269
60990,-8.2181,-5.04729,-3.54255,-7.08988,2.48863,1.19319,3.87411,1.45449,-25.07356,6.825897,-18.24766
61020,-9.72285,-5.31731,-3.07899,-7.69221,2.72549,8.93972,1.54583,1.3677,-26.23275,4.749614,-21.48313
61050,-8.60659,-5.32572,-1.07411,-5.84926,1.69386,5.7495,1.26911,1.28305,-25.11045,5.62636,-19.48409
61080,-9.10891,-5.30985,-1.01693,-5.65148,2.4503,4.0669,1.22559,1.15434,-25.00465,5.943038,-19.06161
61110,-9.42857,-5.54581,-0.837717,-4.96709,2.05644,2.73542,2.45635,1.22344,-25.20561,5.235849,-19.96976
61140,-7.71207,-5.08995,-0.602237,-5.04174,4.62671,3.32674,5.15408,1.5729,-27.19841,1.858745,-25.33967
61170,-7.96269,-5.44641,-0.470428,-3.67067,1.3263,2.76985,9.89378,1.20892,-26.18476,7.920882,-18.26388
61200,-8.91923,-5.54601,-1.48508,-5.48559,2.98832,1.8923,3.49604,1.26956,-25.55746,5.091239,-20.46622
61230,-8.44281,-5.39205,-0.922813,-4.49429,1.90033,6.50215,5.13199,1.29614,-26.77753,6.591062,-20.18647
61260,-8.23725,-5.27693,-1.30554,-4.96698,2.35453,2.37192,6.47291,1.29614,-26.1902,6.185497,-20.0047
61290,-8.62475,-5.6134,-0.286947,-3.8281,1.45974,1.66504,9.9339,1.71706,-26.13709,4.986561,-21.15053
61320,-8.70925,-5.90137,-0.284756,-4.30246,1.38423,1.60965,5.06355,1.56073,-25.26936,4.734116,-20.53524
61350,-8.50549,-5.32915,-0.178684,-4.28668,1.53721,2.00789,1.34427,1.30486,-24.0986,6.171299,-17.92731
