"median","LCL","UCL","time","compartment.name","study"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.03064825,0.016554585,0.0897031999999999,1,"Blood","AtoB"
0.0621003,0.034705635,0.17951115,2,"Blood","AtoB"
0.09322775,0.05255538,0.2676312,3,"Blood","AtoB"
0.1239795,0.0700532,0.35393865,4,"Blood","AtoB"
0.1543215,0.08747867,0.43900915,5,"Blood","AtoB"
0.1842655,0.10463895,0.52223335,6,"Blood","AtoB"
0.213871,0.1216155,0.60378335,7,"Blood","AtoB"
0.24306,0.13853215,0.68414485,8,"Blood","AtoB"
0.2718395,0.155212,0.76278005,9,"Blood","AtoB"
0.3002525,0.17171105,0.839571199999999,10,"Blood","AtoB"
0.328308,0.1878835,0.914822449999999,11,"Blood","AtoB"
0.35605,0.20403185,0.989173,12,"Blood","AtoB"
0.383258,0.21998395,1.062209,13,"Blood","AtoB"
0.4101205,0.2357899,1.1333885,14,"Blood","AtoB"
0.436629,0.2514523,1.203401,15,"Blood","AtoB"
0.4627485,0.26703895,1.270877,16,"Blood","AtoB"
0.488523,0.2824112,1.336801,17,"Blood","AtoB"
0.5140495,0.29757125,1.4012745,18,"Blood","AtoB"
0.5393225,0.31263805,1.465842,19,"Blood","AtoB"
0.564104,0.32765505,1.5291135,20,"Blood","AtoB"
0.588652,0.3425237,1.5900465,21,"Blood","AtoB"
0.613053,0.35723595,1.6501305,22,"Blood","AtoB"
0.637031,0.3716838,1.7081235,23,"Blood","AtoB"
0.6608715,0.38598575,1.7655145,24,"Blood","AtoB"
0.6840205,0.40014295,1.822503,25,"Blood","AtoB"
0.7071855,0.4141146,1.878959,26,"Blood","AtoB"
0.7299395,0.427925,1.934047,27,"Blood","AtoB"
0.7525415,0.44177255,1.988494,28,"Blood","AtoB"
0.7748645,0.45463275,2.042365,29,"Blood","AtoB"
0.797141,0.46764305,2.094515,30,"Blood","AtoB"
0.8190605,0.47978585,2.1450065,31,"Blood","AtoB"
0.840754,0.49260325,2.194908,32,"Blood","AtoB"
0.862287,0.5054598,2.2436565,33,"Blood","AtoB"
0.8834285,0.51798265,2.2910225,34,"Blood","AtoB"
0.904271,0.5304886,2.335862,35,"Blood","AtoB"
0.9250755,0.5420779,2.3778165,36,"Blood","AtoB"
0.9453775,0.553536,2.4215335,37,"Blood","AtoB"
0.9653765,0.56460175,2.466702,38,"Blood","AtoB"
0.985349,0.57690585,2.508175,39,"Blood","AtoB"
1.005195,0.5885579,2.5501235,40,"Blood","AtoB"
1.02469,0.599899,2.591502,41,"Blood","AtoB"
1.044135,0.61091345,2.6310695,42,"Blood","AtoB"
1.06273,0.62102425,2.668916,43,"Blood","AtoB"
1.081755,0.63158125,2.708418,44,"Blood","AtoB"
1.100275,0.64103655,2.7472775,45,"Blood","AtoB"
1.118535,0.6515932,2.7853715,46,"Blood","AtoB"
1.136275,0.66196565,2.822698,47,"Blood","AtoB"
1.153985,0.67186895,2.8593535,48,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
13.2658,0.3724345,291.66765,1,"Cell","AtoB"
14.37455,0.69058115,291.1512,2,"Cell","AtoB"
15.4451,0.99643035,289.69025,3,"Cell","AtoB"
16.5258,1.2896275,288.16705,4,"Cell","AtoB"
17.5049,1.576152,286.6783,5,"Cell","AtoB"
18.4314,1.8362155,285.235,6,"Cell","AtoB"
19.4095,2.0998605,284.0179,7,"Cell","AtoB"
20.42495,2.3598695,282.87495,8,"Cell","AtoB"
21.41665,2.6190155,281.58575,9,"Cell","AtoB"
22.36215,2.8698435,280.1339,10,"Cell","AtoB"
23.20985,3.1160425,279.1262,11,"Cell","AtoB"
24.063,3.351121,278.04395,12,"Cell","AtoB"
24.8497,3.590179,276.40745,13,"Cell","AtoB"
25.66795,3.8242165,275.3313,14,"Cell","AtoB"
26.39375,4.0332395,273.99775,15,"Cell","AtoB"
27.03145,4.2521175,272.6415,16,"Cell","AtoB"
27.7453,4.468244,271.7092,17,"Cell","AtoB"
28.4689,4.6730375,270.89705,18,"Cell","AtoB"
29.11985,4.874235,270.02005,19,"Cell","AtoB"
29.76555,5.075684,268.69235,20,"Cell","AtoB"
30.4035,5.2731315,267.3577,21,"Cell","AtoB"
30.94215,5.460877,266.70815,22,"Cell","AtoB"
31.48595,5.6561575,265.6562,23,"Cell","AtoB"
32.04645,5.853861,264.8465,24,"Cell","AtoB"
32.5346,6.034519,264.3842,25,"Cell","AtoB"
33.01025,6.202152,263.3792,26,"Cell","AtoB"
33.4636,6.38022,262.3459,27,"Cell","AtoB"
33.94835,6.547064,261.7422,28,"Cell","AtoB"
34.45605,6.7170755,260.98895,29,"Cell","AtoB"
34.97675,6.8888305,260.05225,30,"Cell","AtoB"
35.4191,7.0631935,259.1333,31,"Cell","AtoB"
35.8622,7.222444,258.47575,32,"Cell","AtoB"
36.27635,7.366695,257.72405,33,"Cell","AtoB"
36.73065,7.534334,256.9726,34,"Cell","AtoB"
37.19065,7.6994615,256.6949,35,"Cell","AtoB"
37.5883,7.858832,256.33605,36,"Cell","AtoB"
37.9892,8.0037135,255.79745,37,"Cell","AtoB"
38.35535,8.136039,255.1042,38,"Cell","AtoB"
38.73275,8.2806595,254.904,39,"Cell","AtoB"
39.0972,8.436233,254.2194,40,"Cell","AtoB"
39.4456,8.5783765,253.71155,41,"Cell","AtoB"
39.8393,8.6905035,253.4269,42,"Cell","AtoB"
40.1724,8.8390755,253.14535,43,"Cell","AtoB"
40.52865,8.9835805,252.7684,44,"Cell","AtoB"
40.8425,9.108969,252.1012,45,"Cell","AtoB"
41.16425,9.230777,251.62415,46,"Cell","AtoB"
41.51405,9.3566,251.3266,47,"Cell","AtoB"
41.83065,9.483029,250.7408,48,"Cell","AtoB"
2,2,2,0,"Lumen","AtoB"
1.98925,1.95946,1.9943605,1,"Lumen","AtoB"
1.98015,1.9377695,1.98906,2,"Lumen","AtoB"
1.97138,1.91557,1.98396,3,"Lumen","AtoB"
1.96277,1.8938985,1.97899,4,"Lumen","AtoB"
1.95449,1.8723675,1.97408,5,"Lumen","AtoB"
1.94635,1.8510285,1.9692505,6,"Lumen","AtoB"
1.93836,1.8298625,1.964551,7,"Lumen","AtoB"
1.93049,1.8083745,1.9599005,8,"Lumen","AtoB"
1.92271,1.78774,1.9553005,9,"Lumen","AtoB"
1.91505,1.7672595,1.9507705,10,"Lumen","AtoB"
1.907485,1.747598,1.9463405,11,"Lumen","AtoB"
1.900055,1.7278225,1.9418605,12,"Lumen","AtoB"
1.8927,1.7090875,1.9374705,13,"Lumen","AtoB"
1.88544,1.690237,1.93312,14,"Lumen","AtoB"
1.87834,1.671596,1.9289305,15,"Lumen","AtoB"
1.87134,1.6536995,1.92475,16,"Lumen","AtoB"
1.86437,1.6359155,1.9206305,17,"Lumen","AtoB"
1.8575,1.6183245,1.91655,18,"Lumen","AtoB"
1.850755,1.601705,1.9124605,19,"Lumen","AtoB"
1.84402,1.5851815,1.90841,20,"Lumen","AtoB"
1.837415,1.568889,1.90447,21,"Lumen","AtoB"
1.83091,1.552688,1.90058,22,"Lumen","AtoB"
1.824545,1.537149,1.8967205,23,"Lumen","AtoB"
1.818265,1.521968,1.89301,24,"Lumen","AtoB"
1.81201,1.506967,1.8892205,25,"Lumen","AtoB"
1.80576,1.4926385,1.88545,26,"Lumen","AtoB"
1.799655,1.4778695,1.8817925,27,"Lumen","AtoB"
1.79357,1.463289,1.878224,28,"Lumen","AtoB"
1.78763,1.448848,1.874641,29,"Lumen","AtoB"
1.78173,1.4351165,1.871072,30,"Lumen","AtoB"
1.775815,1.4214335,1.86761,31,"Lumen","AtoB"
1.770015,1.4084995,1.864181,32,"Lumen","AtoB"
1.764225,1.3955235,1.8608905,33,"Lumen","AtoB"
1.758535,1.383449,1.857471,34,"Lumen","AtoB"
1.75293,1.371968,1.8540425,35,"Lumen","AtoB"
1.74741,1.360108,1.85097,36,"Lumen","AtoB"
1.741975,1.347836,1.847601,37,"Lumen","AtoB"
1.736645,1.336575,1.844302,38,"Lumen","AtoB"
1.73135,1.3251185,1.841332,39,"Lumen","AtoB"
1.72609,1.314155,1.8382405,40,"Lumen","AtoB"
1.72094,1.3033355,1.8353215,41,"Lumen","AtoB"
1.715735,1.291792,1.832413,42,"Lumen","AtoB"
1.7107,1.2812035,1.8295905,43,"Lumen","AtoB"
1.705725,1.271351,1.8269215,44,"Lumen","AtoB"
1.700775,1.261365,1.824121,45,"Lumen","AtoB"
1.69597,1.2514675,1.82144,46,"Lumen","AtoB"
1.69116,1.242253,1.8186,47,"Lumen","AtoB"
1.68633,1.232599,1.8159515,48,"Lumen","AtoB"
2,2,2,0,"Blood","BtoA"
1.9794,1.942909,1.9883405,1,"Blood","BtoA"
1.9642,1.91738,1.9775,2,"Blood","BtoA"
1.94941,1.891569,1.9671,3,"Blood","BtoA"
1.935095,1.8658785,1.95714,4,"Blood","BtoA"
1.92093,1.839737,1.94736,5,"Blood","BtoA"
1.906945,1.814125,1.9375205,6,"Blood","BtoA"
1.89318,1.790096,1.9279505,7,"Blood","BtoA"
1.87968,1.7654875,1.9185605,8,"Blood","BtoA"
1.86639,1.740906,1.9095005,9,"Blood","BtoA"
1.853275,1.71696,1.9003605,10,"Blood","BtoA"
1.84039,1.6936075,1.8913705,11,"Blood","BtoA"
1.82766,1.6701065,1.882432,12,"Blood","BtoA"
1.81513,1.647898,1.8735615,13,"Blood","BtoA"
1.802795,1.6258465,1.8648805,14,"Blood","BtoA"
1.79055,1.603569,1.856301,15,"Blood","BtoA"
1.778505,1.582182,1.8476805,16,"Blood","BtoA"
1.76667,1.561116,1.839192,17,"Blood","BtoA"
1.754965,1.54064,1.830981,18,"Blood","BtoA"
1.743445,1.52027,1.822801,19,"Blood","BtoA"
1.73195,1.5004795,1.814561,20,"Blood","BtoA"
1.72064,1.4806765,1.8064415,21,"Blood","BtoA"
1.709525,1.4611475,1.79838,22,"Blood","BtoA"
1.698365,1.4427265,1.79044,23,"Blood","BtoA"
1.68739,1.424184,1.7826405,24,"Blood","BtoA"
1.676665,1.4052775,1.77489,25,"Blood","BtoA"
1.666055,1.3876335,1.76724,26,"Blood","BtoA"
1.65554,1.3699665,1.7596425,27,"Blood","BtoA"
1.64513,1.3527445,1.752124,28,"Blood","BtoA"
1.634825,1.3357795,1.7447905,29,"Blood","BtoA"
1.62464,1.319478,1.737531,30,"Blood","BtoA"
1.61459,1.303243,1.7304015,31,"Blood","BtoA"
1.60471,1.2872245,1.7232615,32,"Blood","BtoA"
1.594925,1.2719165,1.7162735,33,"Blood","BtoA"
1.58519,1.25703,1.709481,34,"Blood","BtoA"
1.575665,1.2420415,1.702731,35,"Blood","BtoA"
1.566235,1.2271595,1.695833,36,"Blood","BtoA"
1.5569,1.2127015,1.6893905,37,"Blood","BtoA"
1.54772,1.1991625,1.6830315,38,"Blood","BtoA"
1.538585,1.18513,1.67682,39,"Blood","BtoA"
1.52957,1.1718455,1.6708015,40,"Blood","BtoA"
1.5207,1.15866,1.6649895,41,"Blood","BtoA"
1.511845,1.1457125,1.659255,42,"Blood","BtoA"
1.503065,1.1331835,1.6533125,43,"Blood","BtoA"
1.49448,1.120432,1.64764,44,"Blood","BtoA"
1.485985,1.1083725,1.6419855,45,"Blood","BtoA"
1.477495,1.096445,1.636571,46,"Blood","BtoA"
1.469145,1.084192,1.6309835,47,"Blood","BtoA"
1.460995,1.072664,1.6258905,48,"Blood","BtoA"
1e-15,1e-15,1e-15,0,"Cell","BtoA"
20.1797,0.14099815,113.5476,1,"Cell","BtoA"
20.34415,0.25740765,112.8931,2,"Cell","BtoA"
20.2627,0.36619765,111.9526,3,"Cell","BtoA"
20.20175,0.47092525,110.57475,4,"Cell","BtoA"
20.1215,0.5726332,109.6637,5,"Cell","BtoA"
20.04965,0.67165285,108.8609,6,"Cell","BtoA"
20.0128,0.769158,107.9254,7,"Cell","BtoA"
19.9503,0.8608357,106.94285,8,"Cell","BtoA"
19.92235,0.9492078,106.0737,9,"Cell","BtoA"
19.8847,1.032318,105.37885,10,"Cell","BtoA"
19.8538,1.11682,104.31155,11,"Cell","BtoA"
19.8191,1.201591,103.54375,12,"Cell","BtoA"
19.82515,1.2818905,102.49825,13,"Cell","BtoA"
19.78045,1.3624065,101.75795,14,"Cell","BtoA"
19.73665,1.441249,100.89905,15,"Cell","BtoA"
19.7025,1.5152655,100.18415,16,"Cell","BtoA"
19.64325,1.5806655,99.471425,17,"Cell","BtoA"
19.60525,1.6522635,98.70016,18,"Cell","BtoA"
19.5888,1.721106,98.05915,19,"Cell","BtoA"
19.56415,1.7897435,97.46103,20,"Cell","BtoA"
19.5528,1.861916,96.819915,21,"Cell","BtoA"
19.52255,1.925638,96.1405049999999,22,"Cell","BtoA"
19.4679,1.9901565,95.560465,23,"Cell","BtoA"
19.4558,2.055403,94.87796,24,"Cell","BtoA"
19.44465,2.114977,94.282995,25,"Cell","BtoA"
19.4139,2.17365,93.75548,26,"Cell","BtoA"
19.4074,2.2395805,92.97762,27,"Cell","BtoA"
