"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-6.05588409214433,0.323348324740154,4.2761485969717,-10.31982,-8.6891425,-7.69691,-4.785935,5.94599874999999,179,1.01559948905742,1,-9.9657425,-7.69691,3.0968475,0.0471500000000002,0.0829950000000004,0.130415,0.62139,1.260925,0.229024190373258,205,298
"p_2.1.",-2.99442580408949,0.315574677091748,4.15927098684697,-6.11899575,-5.6102975,-4.93307,-1.912,9.05388575,177,1.01504075082177,1,-5.9854865,-4.93307,6.15594999999999,0.0134400000000001,0.0354000000000001,0.131945,0.664965,1.158465,0.223520735426325,195,302
"p_3.1.",-1.3592015820569,0.462642290220909,4.95007510924426,-5.283697,-4.833875,-3.892385,0.893961,11.7586025,116,1.02532225280273,1,-5.1683495,-3.892385,9.263663,0.0107849999999998,0.0358700000000001,0.255,1.125904,1.47258,0.327974597137182,144,186
"p_4.1.",-5.0626993427865,0.455803248963475,4.93076946694396,-10.0614775,-8.3363925,-7.18918,-2.90799,7.85687775,118,1.02309736685145,1,-9.6875615,-7.18918,5.499765,0.0363999999999995,0.0915249999999999,0.20588,1.127765,1.42865,0.323108291759791,153,189
"GSD_error_C1_blood.1.",1.76476225221847,0.00706154112844312,0.9561629537621,1.16030225,1.3067175,1.465595,1.79856,4.5959555,18320,1.00003240574521,1,1.1870345,1.465595,3.3693655,0.00141000000000002,0.00166500000000003,0.00275999999999998,0.00651500000000005,0.0802099999999997,0.00499334307900638,16077,21965
"GSD_error_C1_cell.1.",3.93311794869391,0.0188010033359201,2.38774732065847,1.16276375,1.93251,3.239955,5.4998025,9.3606765,16106,1.00039375411699,1,1.232376,3.239955,8.794584,0.00304499999999996,0.0136000000000001,0.0272600000000001,0.0322849999999999,0.0207949999999997,0.0132945572591956,15376,26067
"GSD_error_C2_cell.1.",3.99224498906387,0.019118435434626,2.41318346573602,1.164393,1.9644075,3.297805,5.60094,9.38967675,15856,1.00018344833055,1,1.2363785,3.297805,8.878906,0.0028149999999999,0.01368,0.023665,0.0361699999999998,0.0164,0.013519022747105,14521,26226
"GSD_error_C2_lumen.1.",2.15134393825772,0.0105639496773128,1.37312706230166,1.2203345,1.408675,1.648215,2.224885,6.66887425,16839,1.00009849446522,1,1.2518715,1.648215,5.143295,0.00234000000000001,0.00259500000000001,0.00427,0.0126249999999999,0.0804800000000001,0.00746996938104842,10687,14747
"LnPrior",-26.2179442794651,0.0558629378536969,1.24528211253106,-28.957325,-26.9701025,-26.127205,-25.353545,-24.0578775,492,1.00761229054496,1,-28.3997665,-26.127205,-24.3497615,0.210464999999999,0.0619200000000006,0.0456900000000005,0.0338699999999985,0.0246650000000006,0.0402413673523323,573,551
"LnData",-1.17404975063554,0.0213291907612489,2.48747823297796,-6.8584492,-2.63743075,-0.85336225,0.624955425,2.8236348,13563,1.00009782245987,1,-5.72882355,-0.85336225,2.2829685,0.0680244999999999,0.027423,0.0212576,0.0219472,0.0423610000000001,0.0150823387662165,12375,16477
"LnPosterior",-27.3919940513686,0.0700700037698508,3.32385207685518,-34.661245,-29.42654,-27.08439,-25.0647725,-21.65533425,2221,1.00184007119486,1,-33.3457525,-27.08439,-22.5224905,0.0910599999999988,0.0737199999999998,0.07057,0.0626549999999995,0.0701499999999999,0.0495533984574437,2211,7495
