"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-8.62856,-5.86872,-0.342352,-3.93343,1.46467,2.59087,2.92917,2.08622,-25.54876,-0.2388283,-25.78759
60060,-7.57767,-5.63053,-1.15436,-3.80671,1.51005,8.94283,4.41002,1.34804,-26.74836,0.09524986,-26.65311
60090,-8.19082,-5.63906,-0.663201,-3.83778,1.47515,2.27406,5.42956,1.44347,-25.65801,1.537748,-24.12026
60120,-8.071,-5.51345,-1.2066,-4.3592,1.26153,6.54742,5.81072,1.3741,-26.5423,0.9834016,-25.5589
60150,-7.87382,-5.59978,-1.27076,-4.444,1.62923,1.23347,7.99412,1.49793,-25.52732,1.47934,-24.04798
60180,-7.66364,-5.07994,-1.52463,-4.12314,1.45503,2.65847,4.5065,2.16366,-25.97726,-1.823426,-27.80069
60210,-7.35054,-6.06172,-1.12542,-4.42149,2.90442,1.11377,7.27568,1.53516,-25.93388,-3.140211,-29.0741
60240,-8.18933,-5.63077,-0.256195,-3.41012,1.29526,1.24243,5.59421,1.99056,-25.30516,2.072433,-23.23273
60270,-8.14749,-5.71232,-0.629571,-3.62362,1.25419,1.24163,5.38723,1.27182,-24.76179,2.541474,-22.22032
60300,-7.88086,-5.49466,-1.71943,-4.6915,1.47433,1.40184,2.39575,1.34444,-24.22068,1.293715,-22.92697
60330,-8.45266,-7.43539,-1.71943,-4.98899,1.24835,1.14253,9.3378,6.16258,-26.72696,-6.057116,-32.78408
60360,-6.94289,-3.44785,-1.52042,-3.98382,1.1602,2.22779,2.37367,3.52881,-25.45574,-4.440386,-29.89613
60390,-8.03902,-5.80396,-0.689177,-3.91425,1.6288,1.38332,1.94939,1.2527,-24.08808,0.03333961,-24.05474
60420,-8.3502,-5.88358,-1.18491,-4.43599,1.62064,1.99624,4.19208,1.38535,-25.28548,0.9731572,-24.31232
60450,-8.38354,-6.09352,-1.9819,-5.23181,1.2969,1.20558,3.43723,1.41073,-24.33239,0.5510882,-23.78131
60480,-8.14494,-5.29327,-2.8721,-6.16181,1.34463,6.51289,9.20974,2.07313,-27.39221,-0.5680996,-27.96031
60510,-8.43517,-5.74582,-2.43034,-6.11395,1.20711,1.28417,1.67681,3.16958,-24.39457,-2.913649,-27.30822
60540,-8.59307,-5.56209,-2.70689,-6.54651,1.23947,1.48841,1.8829,1.28602,-23.77521,2.602085,-21.17313
60570,-7.5116,-4.74366,-3.53475,-6.3322,1.65585,1.56309,4.77584,2.28391,-25.59748,-2.03065,-27.62813
60600,-7.12514,-5.14186,-3.95302,-6.5606,1.33044,3.21023,4.63387,2.08585,-25.95959,0.1402086,-25.81938
60630,-5.60663,-5.56193,-3.60554,-4.95994,1.60524,3.26651,6.31945,2.55701,-26.70198,-5.33095,-32.03293
60660,-8.38725,-5.39638,-2.75483,-6.12462,1.2028,1.20053,1.81303,1.4261,-23.59545,1.670727,-21.92472
60690,-8.65673,-5.05268,-3.22638,-7.72398,2.32832,7.30755,2.43994,1.58153,-26.45642,-2.668372,-29.12479
60720,-8.90088,-5.62594,-3.01652,-6.85566,2.0026,1.39954,5.25095,1.32791,-25.24476,-0.6157729,-25.86054
60750,-7.80406,-4.57433,-4.64885,-8.29774,1.44752,1.11941,2.13091,1.84041,-24.09314,2.583924,-21.50922
60780,-6.72667,-3.92568,-4.65175,-8.00802,1.77642,2.03961,2.08596,1.73586,-24.82537,0.05093758,-24.77443
60810,-7.6244,-4.93603,-4.23433,-8.01322,1.76543,3.62411,1.31951,1.15497,-24.51935,-1.344824,-25.86417
60840,-7.89396,-5.09367,-4.08914,-7.17461,2.74831,1.32829,1.22663,2.43511,-24.6293,-1.752315,-26.38161
60870,-5.2318,-2.55805,-5.56616,-8.28577,2.7971,3.1163,2.87226,1.1814,-25.67679,-5.10089,-30.77768
60900,-4.18747,-1.31416,-4.82421,-8.55884,1.62553,2.63944,2.90453,1.40389,-25.22836,1.028025,-24.20034
60930,-4.47838,-2.39142,-4.69798,-7.62109,1.34622,5.75759,1.3436,1.45678,-25.03279,1.597682,-23.43511
60960,-4.64077,-2.37343,-5.45997,-8.01844,2.09053,4.01161,7.9008,1.52277,-26.91745,-2.647565,-29.56502
60990,-4.58398,-1.20822,-5.3256,-8.92152,3.05903,2.81074,2.16963,1.89093,-25.92466,-4.158499,-30.08316
61020,-3.41779,-0.0663868,-5.10885,-9.43182,1.23696,5.94803,9.40696,1.6208,-27.17267,-0.5010678,-27.67374
61050,-2.95428,0.305795,-4.54053,-9.10139,5.82661,3.34097,1.94832,1.37245,-26.44064,-4.628773,-31.06942
61080,-1.82237,2.37175,-5.06816,-9.50305,1.23602,2.36905,6.17483,1.61825,-26.03061,-0.1411196,-26.17173
61110,-1.48631,2.17732,-4.7801,-9.60416,3.60845,8.64604,2.13152,1.44074,-27.22295,-5.039333,-32.26228
61140,-0.533705,2.36013,-4.78036,-8.21542,1.84544,5.47841,8.68788,2.47883,-28.07789,-3.528222,-31.60611
61170,-0.759792,1.92285,-4.99769,-8.83877,1.44157,3.79533,2.00006,1.93862,-25.71307,-0.3126467,-26.02572
61200,-1.60422,1.93089,-4.98586,-9.38105,1.60072,1.1868,2.27075,1.25734,-24.32247,0.9588357,-23.36363
61230,-1.53174,2.19229,-5.14522,-9.56237,1.28888,1.42099,2.7267,1.31252,-24.53372,2.023339,-22.51038
61260,-1.15554,1.51845,-4.84267,-8.3533,1.44505,4.08294,4.39054,1.45353,-26.23887,1.068496,-25.17037
61290,-1.19013,0.543625,-5.00419,-7.78807,1.20471,2.74838,2.08582,1.49732,-24.87929,-0.0958866,-24.97518
61320,-4.3141,-0.687188,-4.75365,-7.3318,1.1638,4.45111,3.27678,5.14518,-26.85313,-2.241479,-29.09461
61350,-3.85861,-0.315224,-4.84167,-8.64066,2.34059,3.98743,4.6926,1.79197,-26.78314,-4.548961,-31.3321
61380,-3.08771,-0.37791,-4.80148,-9.19174,1.27979,1.75152,2.46799,2.03276,-24.86613,-2.899349,-27.76548
61410,-2.43903,0.701604,-4.98207,-8.24623,1.27396,6.36659,1.64814,2.19529,-25.88749,-1.022216,-26.90971
61440,-0.815577,2.26337,-5.04265,-8.14762,1.30574,2.34438,2.62222,1.62943,-25.24109,-1.532234,-26.77332
61470,-0.786954,1.34031,-5.05366,-7.72099,1.72304,7.63932,1.27956,2.62211,-26.39515,-1.071822,-27.46697
61500,-0.86828,0.987821,-5.09357,-7.81137,1.33226,8.19579,1.17894,1.76229,-25.70382,1.546244,-24.15757
61530,-1.67773,0.439804,-5.11996,-8.11912,1.34782,3.73211,1.61888,1.3576,-24.92119,1.355071,-23.56612
61560,-2.98302,-1.2695,-5.02793,-7.21299,1.36664,4.29427,1.80892,1.32344,-25.02815,0.3099519,-24.7182
61590,-2.12109,0.155019,-5.03489,-8.01594,1.28905,3.3485,1.14401,1.23159,-24.29157,2.719471,-21.5721
61620,-2.49273,-0.161215,-5.25345,-8.30319,1.31676,2.34839,2.36878,1.5895,-24.91144,-0.9558901,-25.86733
61650,-2.34103,1.45907,-5.02285,-9.43697,1.77235,1.18785,2.42025,1.98212,-24.8866,-0.2974974,-25.1841
61680,-3.09144,0.531244,-4.57676,-9.35286,1.60524,1.99023,3.15337,1.32274,-25.09028,-0.2511338,-25.34142
61710,-1.67415,0.575372,-5.42815,-8.15353,3.37267,3.42123,4.06271,1.35461,-26.67358,-3.559439,-30.23302
