"median","LCL","UCL","time","compartment.name","study"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.05404585,0.02987944,0.08483108,1,"Blood","AtoB"
0.110411,0.066981935,0.1717161,2,"Blood","AtoB"
0.1664375,0.1034004,0.25811705,3,"Blood","AtoB"
0.2220185,0.1390489,0.34306875,4,"Blood","AtoB"
0.2772275,0.17408705,0.4274013,5,"Blood","AtoB"
0.331968,0.2091419,0.511948,6,"Blood","AtoB"
0.386083,0.24382515,0.59479395,7,"Blood","AtoB"
0.4394495,0.2782484,0.6763818,8,"Blood","AtoB"
0.492242,0.31239415,0.7572366,9,"Blood","AtoB"
0.5445515,0.3464519,0.83730335,10,"Blood","AtoB"
0.596262,0.37972875,0.9164752,11,"Blood","AtoB"
0.647517,0.41304515,0.9958024,12,"Blood","AtoB"
0.698192,0.44620985,1.073034,13,"Blood","AtoB"
0.748273,0.47899485,1.1496155,14,"Blood","AtoB"
0.797658,0.5116582,1.2254495,15,"Blood","AtoB"
0.846796,0.5440934,1.3005005,16,"Blood","AtoB"
0.894912,0.57611915,1.376102,17,"Blood","AtoB"
0.942975,0.607595,1.4497125,18,"Blood","AtoB"
0.9900055,0.6392983,1.5231915,19,"Blood","AtoB"
1.036565,0.67088785,1.5958905,20,"Blood","AtoB"
1.08275,0.701539,1.6680325,21,"Blood","AtoB"
1.128635,0.73247515,1.7387835,22,"Blood","AtoB"
1.174005,0.76282695,1.8085945,23,"Blood","AtoB"
1.218875,0.79273865,1.877776,24,"Blood","AtoB"
1.263365,0.82239865,1.947669,25,"Blood","AtoB"
1.307655,0.85180405,2.0154515,26,"Blood","AtoB"
1.351405,0.88093165,2.0827365,27,"Blood","AtoB"
1.39511,0.9099296,2.1500665,28,"Blood","AtoB"
1.438355,0.9386097,2.2155815,29,"Blood","AtoB"
1.480925,0.96698215,2.279714,30,"Blood","AtoB"
1.52336,0.99532155,2.3436415,31,"Blood","AtoB"
1.56545,1.0229395,2.4060315,32,"Blood","AtoB"
1.60718,1.0507195,2.4699055,33,"Blood","AtoB"
1.64855,1.0780005,2.5314395,34,"Blood","AtoB"
1.68943,1.1054315,2.5949535,35,"Blood","AtoB"
1.730285,1.1323595,2.655727,36,"Blood","AtoB"
1.77061,1.157943,2.7179215,37,"Blood","AtoB"
1.810745,1.1839985,2.7780345,38,"Blood","AtoB"
1.850135,1.2098085,2.8368295,39,"Blood","AtoB"
1.889045,1.234156,2.895399,40,"Blood","AtoB"
1.9279,1.257005,2.9552925,41,"Blood","AtoB"
1.96659,1.280039,3.013045,42,"Blood","AtoB"
2.005005,1.3043065,3.0706685,43,"Blood","AtoB"
2.04284,1.3280605,3.1272515,44,"Blood","AtoB"
2.0801,1.3509965,3.183021,45,"Blood","AtoB"
2.117875,1.3725575,3.2387235,46,"Blood","AtoB"
2.154715,1.393549,3.2940845,47,"Blood","AtoB"
2.191035,1.4143825,3.348372,48,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
78.68925,0.6633317,671.61705,1,"Cell","AtoB"
80.541,1.2044765,679.91245,2,"Cell","AtoB"
80.89505,1.70979,682.7658,3,"Cell","AtoB"
81.3323,2.1715795,682.48755,4,"Cell","AtoB"
81.7483,2.640053,680.8261,5,"Cell","AtoB"
82.09005,3.080709,679.9251,6,"Cell","AtoB"
82.3717,3.519873,678.26185,7,"Cell","AtoB"
82.7486,3.936894,677.1348,8,"Cell","AtoB"
83.21145,4.3377305,675.8346,9,"Cell","AtoB"
83.75685,4.736353,674.2765,10,"Cell","AtoB"
84.1859,5.132365,672.3485,11,"Cell","AtoB"
84.4475,5.536984,670.44405,12,"Cell","AtoB"
85.02015,5.9008905,668.7842,13,"Cell","AtoB"
85.46585,6.2586645,666.83635,14,"Cell","AtoB"
85.82515,6.614622,665.2147,15,"Cell","AtoB"
86.23735,6.9871765,663.29375,16,"Cell","AtoB"
86.6946,7.3312755,661.98075,17,"Cell","AtoB"
87.2248,7.7023525,661.13855,18,"Cell","AtoB"
87.6567,8.0458965,659.5224,19,"Cell","AtoB"
88.0506,8.3753785,659.13905,20,"Cell","AtoB"
88.4175,8.677035,657.65265,21,"Cell","AtoB"
88.7998,8.989173,655.6519,22,"Cell","AtoB"
89.3419,9.2916175,654.1884,23,"Cell","AtoB"
89.7089,9.5797205,653.1523,24,"Cell","AtoB"
90.1639,9.906201,651.7833,25,"Cell","AtoB"
90.56445,10.21546,650.3701,26,"Cell","AtoB"
90.90175,10.4967,648.856,27,"Cell","AtoB"
91.2777,10.78179,647.38465,28,"Cell","AtoB"
91.7914,11.09191,646.2108,29,"Cell","AtoB"
92.23605,11.403405,645.49425,30,"Cell","AtoB"
92.6222,11.69562,643.76235,31,"Cell","AtoB"
92.97515,11.98006,642.49195,32,"Cell","AtoB"
93.31275,12.24234,641.3212,33,"Cell","AtoB"
93.7842,12.50354,640.0718,34,"Cell","AtoB"
94.2019,12.78459,638.8126,35,"Cell","AtoB"
94.6865,13.02,637.37965,36,"Cell","AtoB"
94.998,13.284595,639.12565,37,"Cell","AtoB"
95.45165,13.53392,637.93635,38,"Cell","AtoB"
95.81025,13.773035,637.48945,39,"Cell","AtoB"
96.26475,14.007725,636.7196,40,"Cell","AtoB"
96.63575,14.274795,635.41995,41,"Cell","AtoB"
97.0364,14.50724,634.9541,42,"Cell","AtoB"
97.4688,14.766885,633.7392,43,"Cell","AtoB"
97.8451,14.953825,632.69775,44,"Cell","AtoB"
98.3518,15.148605,631.30415,45,"Cell","AtoB"
98.8168,15.397545,630.66605,46,"Cell","AtoB"
99.10665,15.63998,629.10395,47,"Cell","AtoB"
99.44895,15.86579,628.26125,48,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
4.97928,4.9322595,4.98821,1,"Lumen","AtoB"
4.962975,4.9127995,4.9772605,2,"Lumen","AtoB"
4.94723,4.8933285,4.96676,3,"Lumen","AtoB"
4.93175,4.872459,4.9565705,4,"Lumen","AtoB"
4.91661,4.8521685,4.9465505,5,"Lumen","AtoB"
4.90157,4.8310695,4.93675,6,"Lumen","AtoB"
4.886865,4.810458,4.92713,7,"Lumen","AtoB"
4.8723,4.7893585,4.9176515,8,"Lumen","AtoB"
4.858065,4.768827,4.908281,9,"Lumen","AtoB"
4.84389,4.748597,4.8988615,10,"Lumen","AtoB"
4.829935,4.7276445,4.889751,11,"Lumen","AtoB"
4.81615,4.7068775,4.880601,12,"Lumen","AtoB"
4.8025,4.6866655,4.87149,13,"Lumen","AtoB"
4.789065,4.666829,4.86244,14,"Lumen","AtoB"
4.77575,4.64674,4.8534825,15,"Lumen","AtoB"
4.76255,4.626739,4.844932,16,"Lumen","AtoB"
4.749615,4.606723,4.8362825,17,"Lumen","AtoB"
4.736755,4.587504,4.827682,18,"Lumen","AtoB"
4.72414,4.568296,4.8191905,19,"Lumen","AtoB"
4.71154,4.5495205,4.8105405,20,"Lumen","AtoB"
4.69912,4.5308565,4.802231,21,"Lumen","AtoB"
4.68672,4.511849,4.794061,22,"Lumen","AtoB"
4.67447,4.4930995,4.7857005,23,"Lumen","AtoB"
4.662335,4.474659,4.777572,24,"Lumen","AtoB"
4.6503,4.4567225,4.76968,25,"Lumen","AtoB"
4.63846,4.439131,4.76154,26,"Lumen","AtoB"
4.62668,4.422076,4.7537335,27,"Lumen","AtoB"
4.61495,4.404559,4.746162,28,"Lumen","AtoB"
4.60337,4.387307,4.7386015,29,"Lumen","AtoB"
4.592,4.370525,4.730731,30,"Lumen","AtoB"
4.580605,4.3535385,4.723172,31,"Lumen","AtoB"
4.569315,4.3368255,4.7154005,32,"Lumen","AtoB"
4.558215,4.319909,4.7079,33,"Lumen","AtoB"
4.54703,4.3039575,4.700331,34,"Lumen","AtoB"
4.536045,4.2873535,4.6933515,35,"Lumen","AtoB"
4.525185,4.2712685,4.686181,36,"Lumen","AtoB"
4.514485,4.2550895,4.6791705,37,"Lumen","AtoB"
4.50384,4.2388175,4.6723705,38,"Lumen","AtoB"
4.49319,4.2232925,4.6656305,39,"Lumen","AtoB"
4.4827,4.2076785,4.6589205,40,"Lumen","AtoB"
4.47233,4.1917365,4.6527925,41,"Lumen","AtoB"
4.462085,4.1764015,4.646045,42,"Lumen","AtoB"
4.45192,4.1611795,4.6396465,43,"Lumen","AtoB"
4.44171,4.145757,4.634234,44,"Lumen","AtoB"
4.431535,4.131383,4.62814,45,"Lumen","AtoB"
4.42157,4.11675,4.62227,46,"Lumen","AtoB"
4.411555,4.1023555,4.6166135,47,"Lumen","AtoB"
4.401705,4.088143,4.611231,48,"Lumen","AtoB"
5,5,5,0,"Blood","BtoA"
4.96412,4.8645785,4.98036,1,"Blood","BtoA"
4.934495,4.787068,4.9618705,2,"Blood","BtoA"
4.906,4.7104695,4.94415,3,"Blood","BtoA"
4.878185,4.6354315,4.92658,4,"Blood","BtoA"
4.850935,4.5629395,4.9092515,5,"Blood","BtoA"
4.823975,4.487815,4.89238,6,"Blood","BtoA"
4.79733,4.419107,4.8756405,7,"Blood","BtoA"
4.77098,4.346515,4.8590405,8,"Blood","BtoA"
4.745135,4.2780595,4.84269,9,"Blood","BtoA"
4.719345,4.210895,4.8263905,10,"Blood","BtoA"
4.694055,4.1451195,4.8103905,11,"Blood","BtoA"
4.66888,4.0805815,4.794801,12,"Blood","BtoA"
4.644,4.0154885,4.778772,13,"Blood","BtoA"
4.619235,3.9530835,4.76298,14,"Blood","BtoA"
4.5948,3.890106,4.747301,15,"Blood","BtoA"
4.570515,3.827902,4.731932,16,"Blood","BtoA"
4.546345,3.7668195,4.7165015,17,"Blood","BtoA"
4.522445,3.709125,4.7013005,18,"Blood","BtoA"
4.498745,3.650333,4.686162,19,"Blood","BtoA"
4.47543,3.5933485,4.6712425,20,"Blood","BtoA"
4.45217,3.536914,4.656366,21,"Blood","BtoA"
4.429305,3.4822075,4.6416735,22,"Blood","BtoA"
4.40649,3.428712,4.627071,23,"Blood","BtoA"
4.38388,3.375734,4.612603,24,"Blood","BtoA"
4.361455,3.324983,4.5981775,25,"Blood","BtoA"
4.339225,3.274844,4.5838745,26,"Blood","BtoA"
4.31714,3.2254145,4.569466,27,"Blood","BtoA"
