"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-3.7903344289207,0.423990078399784,4.81273115034599,-9.698587,-7.4101675,-5.27106,-0.9900815,7.98593649999999,133,1.02398879277912,1,-9.2372585,-5.27106,5.605391,0.0478500000000004,0.119415,0.406675,0.749428,1.282515,0.30048755511093,167,191
"p_2.1.",-0.971430984704918,0.421569977098479,4.73237969120189,-5.55209625,-4.9715225,-2.550835,1.750055,10.7544475,130,1.02486864823698,1,-5.442849,-2.550835,8.37234699999999,0.0118749999999999,0.0858699999999999,0.43478,0.747358,1.294395,0.298787680271609,163,191
"p_3.1.",-2.20275136247213,0.231505786190096,4.00847461359705,-5.15556175,-4.4213825,-3.91845,-2.0432125,10.0677,274,1.01297109857092,1,-4.948846,-3.91845,6.9554065,0.0111800000000004,0.0203449999999998,0.05487,0.49047,1.07929,0.163858833049233,390,496
"p_4.1.",-5.97518026752943,0.232629937019244,3.98796053844781,-9.44301775,-8.1430425,-7.549655,-5.6831425,6.15428775,267,1.01310959522231,1,-9.07031,-7.549655,3.0746805,0.0354349999999997,0.0311149999999998,0.06324,0.443015,0.98259,0.164657737797436,380,492
"GSD_error_C1_blood.1.",3.04851677102862,0.0106795218243991,1.70934719931604,1.46515825,1.895465,2.420305,3.556005,8.16058725,25603,1.00013467570672,1,1.53729,2.420305,6.9849675,0.00312500000000004,0.00411499999999998,0.00971499999999992,0.0212050000000001,0.0517200000000004,0.00755164849813959,26410,28581
"GSD_error_C1_cell.1.",3.70511428633921,0.0210454357180699,2.37039503503672,1.148276,1.7471825,2.90596,5.1514425,9.317233,12545,1.00073942671913,1,1.2034735,2.90596,8.6782155,0.00179499999999999,0.01184,0.0266949999999999,0.0386700000000002,0.0298999999999996,0.0148817124729002,11797,29178
"GSD_error_C2_cell.1.",3.70050542525934,0.0200687044826434,2.36650333919381,1.155232,1.7561825,2.89788,5.14734,9.291547,13816,1.00049941501497,1,1.2092815,2.89788,8.6444655,0.002355,0.0108,0.0247550000000001,0.0413099999999997,0.0255999999999998,0.0141910146691277,13286,27508
"GSD_error_C2_lumen.1.",1.76023382577178,0.00783779898506699,1.03367587541358,1.14928075,1.278945,1.426815,1.75899,5.06487825,17382,1.0000524729829,1,1.17221,1.426815,3.574406,0.00108999999999992,0.00125500000000001,0.00236999999999998,0.00671999999999995,0.117265,0.00554225383858625,21357,19272
"LnPrior",-26.4371290991751,0.0422769065554779,1.27589782880923,-29.18052925,-27.2433825,-26.35546,-25.52809,-24.2366885,860,1.00445667406811,1,-28.6292245,-26.35546,-24.497953,0.142455,0.0450800000000005,0.033315,0.0280100000000001,0.0164049999999989,0.0303542956067795,1017,1126
"LnData",3.1969401342463,0.0256913865036199,2.44254514494258,-2.268598425,1.7610675,3.4796635,4.898632,7.353295025,9001,1.00062935165891,1,-1.25991585,3.4796635,6.7642748,0.0532075000000001,0.024165,0.0295639999999999,0.0262544999999998,0.0245865000000003,0.021539061801276,8133,16607
"LnPosterior",-23.2401889873141,0.049872591782489,3.32728791647117,-30.38750075,-25.309105,-23.03587,-20.949275,-17.24194375,4385,1.00136663575318,1,-29.0762555,-23.03587,-18.1587155,0.0708950000000002,0.0545650000000002,0.0443649999999991,0.04941,0.0560500000000008,0.0352675589524928,4431,16192
