"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,2.84235,5.52898,-4.67252,-7.98219,8.63083,6.66151,3.66261,1.28043,-28.75617,2.302855,-26.45331
60060,2.93189,5.28116,-3.48107,-7.66609,4.35964,7.34318,4.08329,1.28534,-28.29006,3.605848,-24.68421
60090,2.63345,5.28776,-3.69851,-7.88515,7.77768,1.2071,7.01751,1.32652,-27.61119,3.814668,-23.79652
60120,2.71001,4.805,-2.90023,-7.22691,3.43161,1.12343,1.40803,1.13988,-24.94378,6.082758,-18.86102
60150,2.71678,4.59356,-2.22195,-6.70079,4.63735,1.20977,6.86859,1.68184,-27.29667,-0.01887433,-27.31554
60180,3.84661,6.74458,-4.47831,-8.18642,2.07782,7.96793,2.18099,2.50746,-27.86744,2.405848,-25.46159
60210,4.34803,7.04626,-4.28897,-7.79564,3.66109,2.97999,1.11539,1.34937,-26.23363,5.939037,-20.2946
60240,3.0873,5.86764,-4.81687,-7.9886,1.59036,3.70028,2.13894,1.68698,-26.26288,4.149823,-22.11306
60270,4.35823,6.18846,-4.62703,-6.86399,2.20385,4.97579,1.58797,1.28858,-26.45001,1.910634,-24.53938
60300,4.08703,5.45194,-4.37382,-6.7769,1.77556,4.09166,2.2522,1.26124,-26.27746,5.0782,-21.19926
60330,3.83861,5.24242,-3.03049,-6.45499,5.48111,3.88738,2.50224,1.34505,-27.5165,1.970238,-25.54626
60360,3.40773,5.03221,-4.62681,-6.84276,1.73948,3.39689,8.04325,1.17032,-27.17122,3.198335,-23.97289
60390,3.44089,4.7209,-4.74611,-6.44727,2.66241,2.4039,5.93299,1.34872,-27.06236,1.422343,-25.64002
60420,2.70305,4.51576,-4.95673,-7.67187,3.41667,6.07429,4.42635,2.5431,-28.50479,-0.6737423,-29.17853
60450,3.66242,5.38378,-4.24701,-6.96223,1.67855,9.74432,1.85055,1.49106,-27.02152,4.116792,-22.90473
60480,3.40557,5.97389,-4.04186,-7.668,1.85186,1.85199,7.69341,1.49896,-26.93178,4.439507,-22.49227
60510,2.7027,5.68792,-5.51444,-8.19738,2.36995,6.586,8.79385,1.44981,-28.44762,1.064886,-27.38273
60540,2.89623,5.41515,-3.58886,-7.79666,2.92618,3.26626,5.50131,1.17543,-27.29775,5.025488,-22.27226
60570,1.43453,5.27651,-4.09353,-8.23446,6.46877,3.39164,1.72376,1.82934,-27.28966,-2.943399,-30.23306
60600,1.60419,4.24705,-4.65997,-7.74974,2.25442,1.92928,1.72158,1.62284,-25.45572,5.076655,-20.37906
60630,1.2981,3.66319,-4.04646,-7.94063,1.5089,1.13587,3.38582,1.28824,-24.91593,1.845925,-23.07001
60660,4.66604,6.60244,-3.98947,-6.80932,3.02225,8.08076,3.78215,1.7861,-28.52565,1.088205,-27.43745
60690,4.60711,6.35852,-4.37728,-7.03553,2.00761,3.66059,8.14722,1.40192,-27.81221,4.726274,-23.08593
60720,4.02548,5.75618,-2.96943,-6.69766,3.84387,2.99312,8.26082,3.4797,-29.10967,-2.83228,-31.94195
60750,1.72956,5.08669,-4.65639,-8.92273,3.74781,1.23621,4.79677,1.8986,-26.79468,3.142695,-23.65199
60780,2.58166,4.53673,-3.41621,-7.30709,3.18907,4.79944,3.70033,1.33749,-27.40163,3.487559,-23.91407
60810,0.827944,3.958,-4.82846,-8.7489,2.63657,8.05642,8.30136,2.73304,-29.07182,0.114342,-28.95748
