"median","LCL","UCL","time","compartment.name","study"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.0403219,0.01712493,0.1396114,1,"Blood","AtoB"
0.08119365,0.0354236,0.2773627,2,"Blood","AtoB"
0.121517,0.053406765,0.4120054,3,"Blood","AtoB"
0.161264,0.07118839,0.5431446,4,"Blood","AtoB"
0.2003105,0.088736825,0.6702946,5,"Blood","AtoB"
0.238806,0.1060821,0.793692,6,"Blood","AtoB"
0.2768455,0.1233322,0.913989899999999,7,"Blood","AtoB"
0.3139235,0.1401025,1.030646,8,"Blood","AtoB"
0.3506665,0.1569359,1.1443415,9,"Blood","AtoB"
0.386751,0.17352515,1.254743,10,"Blood","AtoB"
0.422203,0.18989785,1.361708,11,"Blood","AtoB"
0.4570545,0.20618825,1.4660935,12,"Blood","AtoB"
0.491459,0.222236,1.567219,13,"Blood","AtoB"
0.525401,0.23811775,1.6655705,14,"Blood","AtoB"
0.5588855,0.2539056,1.7597815,15,"Blood","AtoB"
0.5919495,0.26947315,1.85167,16,"Blood","AtoB"
0.624736,0.28494475,1.942544,17,"Blood","AtoB"
0.6566635,0.29983915,2.028592,18,"Blood","AtoB"
0.6882765,0.3146914,2.114291,19,"Blood","AtoB"
0.719386,0.3293885,2.1991305,20,"Blood","AtoB"
0.750052,0.34404375,2.2805235,21,"Blood","AtoB"
0.7801235,0.3583153,2.357327,22,"Blood","AtoB"
0.8098255,0.3725292,2.434203,23,"Blood","AtoB"
0.8395375,0.3865903,2.507582,24,"Blood","AtoB"
0.868645,0.4006341,2.580047,25,"Blood","AtoB"
0.897311,0.4141128,2.648905,26,"Blood","AtoB"
0.9255265,0.42731295,2.716267,27,"Blood","AtoB"
0.9533405,0.4406301,2.782012,28,"Blood","AtoB"
0.9809225,0.4540511,2.847442,29,"Blood","AtoB"
1.007935,0.46671445,2.910606,30,"Blood","AtoB"
1.034755,0.47954475,2.9706445,31,"Blood","AtoB"
1.06137,0.49155285,3.0287615,32,"Blood","AtoB"
1.08768,0.5032461,3.085167,33,"Blood","AtoB"
1.11345,0.51488065,3.142211,34,"Blood","AtoB"
1.138985,0.52630345,3.196481,35,"Blood","AtoB"
1.164065,0.5378209,3.246992,36,"Blood","AtoB"
1.18902,0.549047,3.299072,37,"Blood","AtoB"
1.21351,0.55889825,3.348911,38,"Blood","AtoB"
1.23716,0.56939715,3.3974245,39,"Blood","AtoB"
1.26057,0.57928925,3.4443295,40,"Blood","AtoB"
1.283685,0.58988415,3.4900155,41,"Blood","AtoB"
1.30628,0.5996116,3.5349315,42,"Blood","AtoB"
1.32918,0.60981355,3.577559,43,"Blood","AtoB"
1.351375,0.6200901,3.6195295,44,"Blood","AtoB"
1.37363,0.63046365,3.6604985,45,"Blood","AtoB"
1.395625,0.6399169,3.6999785,46,"Blood","AtoB"
1.41705,0.64904225,3.7373485,47,"Blood","AtoB"
1.437755,0.65879895,3.7745515,48,"Blood","AtoB"
