"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-5.85048609117495,0.355914804054045,4.43419222124749,-10.4098,-8.6994575,-7.66514,-4.2738525,6.36031374999999,153,1.01761005181674,1,-10.01677,-7.66514,4.122988,0.0339999999999998,0.0822449999999995,0.156965,0.764935,1.10856,0.25214420430945,199,251
"p_2.1.",-2.49522960085021,0.348982884891478,4.31019774407152,-5.8181085,-5.3836825,-4.582555,-1.004695,9.62650274999999,150,1.01734973468342,1,-5.707666,-4.582555,7.2519005,0.01173,0.0310800000000002,0.17425,0.8020835,1.16774,0.247241542469772,192,252
"p_3.1.",-2.30425776478025,0.306837735144052,4.03493118711925,-5.423857,-4.8750125,-4.17909,-1.1841925,9.2737845,171,1.01686959166818,1,-5.272554,-4.17909,7.00027399999999,0.0150000000000001,0.03199,0.14391,0.6376785,0.992635,0.217334052178988,215,247
"p_4.1.",-6.10537525707287,0.29730675776663,3.9766313915749,-10.166485,-8.513405,-7.571695,-5.121745,5.211868,177,1.01334929035192,1,-9.7939255,-7.571695,2.9937645,0.0438999999999998,0.0747599999999995,0.0973349999999997,0.58555,0.93756,0.210571312511253,240,239
"GSD_error_C1_blood.1.",2.06016972222222,0.0073325566518396,1.16423352761038,1.217403,1.4398875,1.673885,2.150345,5.76472875,25184,1.00018242755884,1,1.263299,1.673885,4.3424975,0.00390000000000001,0.00224000000000002,0.00365499999999996,0.00879499999999989,0.0666250000000002,0.00518496051262945,21103,16792
"GSD_error_C1_cell.1.",3.88389463692039,0.0182791950941927,2.39399828869043,1.1674845,1.8853975,3.169445,5.4249725,9.40028475,17111,1.00006103865343,1,1.2333675,3.169445,8.8126545,0.00254999999999994,0.0115999999999999,0.025685,0.0356050000000003,0.0221049999999998,0.0129255626252187,15823,26305
"GSD_error_C2_cell.1.",3.90218653449569,0.0189771809752686,2.40543638370411,1.1625715,1.8968175,3.174855,5.468025,9.38589675,15993,1.00023944182291,1,1.2282915,3.174855,8.815764,0.00202500000000005,0.012885,0.0233599999999998,0.0404949999999999,0.018205,0.0134191371378898,15309,26802
"GSD_error_C2_lumen.1.",1.85074931946007,0.0103445093264965,1.21635530299325,1.1629845,1.2880075,1.43936,1.7994525,6.01335275,13814,1.00023773267323,1,1.1835545,1.43936,4.2253025,0.000854999999999939,0.00156999999999996,0.00275500000000006,0.00847999999999993,0.0939450000000002,0.00731482696398002,16514,15134
"LnPrior",-26.0914223097113,0.0479548880104415,1.18806311158359,-28.62715675,-26.85529,-26.017575,-25.24908,-24.00730125,622,1.00226279353962,1,-28.1609335,-26.017575,-24.2688015,0.11439,0.0519449999999999,0.0415599999999987,0.0346200000000003,0.0201700000000002,0.0342726971884639,659,967
"LnData",-2.00858773155752,0.0232135691878495,2.54398954253689,-7.7533064,-3.55378125,-1.703428,-0.164008875,2.119038175,11885,1.0002577766598,1,-6.607381,-1.703428,1.5497453,0.0506329999999999,0.0285839999999999,0.023383,0.0214005,0.029423,0.0164148709347919,10586,13250
"LnPosterior",-28.1000100665542,0.0674731862324549,3.37169282984933,-35.43672875,-30.181825,-27.795625,-25.73378,-22.3160335,2502,1.00083634987929,1,-34.1508465,-27.795625,-23.1250625,0.0787349999999982,0.0554000000000006,0.0642150000000008,0.0646850000000008,0.0566849999999999,0.0477163214051409,2361,7407
