"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-2.20851,-0.879756,-4.83846,-6.68326,1.55718,7.74051,5.71145,1.33961,-26.95476,-1.57248,-28.52724
60060,-2.34049,-2.04361,-4.5729,-5.87724,1.72875,6.39285,2.90535,1.13989,-25.98641,-5.793486,-31.7799
60090,-3.3191,-3.3941,-4.5276,-5.60185,1.7629,4.71307,7.84877,1.29312,-26.75151,-5.395642,-32.14715
60120,-3.41614,-3.49013,-4.9603,-5.61313,1.35195,4.13826,6.32801,1.34398,-26.16697,-4.505918,-30.67288
60150,-3.98413,-2.86053,-5.14806,-6.4736,1.62176,8.17208,5.71185,1.18567,-26.79736,-2.612281,-29.40964
60180,-6.86544,-4.88706,-3.43986,-6.1004,2.14001,3.8151,2.65376,9.87083,-27.62241,-8.772949,-36.39536
60210,-7.66279,-4.64667,-4.47228,-8.31736,2.05686,1.20832,1.20214,1.56291,-23.78622,0.2168702,-23.56935
60240,-7.79801,-4.55389,-4.51851,-7.9801,1.61938,1.28637,1.25576,1.26952,-23.44385,2.351011,-21.09284
60270,-6.91037,-3.9874,-4.24362,-8.24267,2.49948,1.47841,3.11648,1.32284,-24.98304,-0.2423527,-25.2254
60300,-7.27362,-4.26099,-4.2999,-7.84209,3.12365,2.552,1.64687,2.8877,-25.88494,-4.886985,-30.77192
60330,-6.97309,-4.08603,-5.47775,-8.1476,2.24303,3.69005,1.3783,1.37371,-24.98924,-1.607804,-26.59704
60360,-7.70617,-3.80149,-4.45241,-8.72289,1.86763,5.76554,3.61089,1.28828,-26.18165,-3.585412,-29.76706
60390,-7.42742,-3.32192,-4.90889,-9.35167,1.46348,3.18548,5.29226,3.15371,-26.63521,-3.942763,-30.57798
60420,-7.78675,-3.7698,-4.99745,-9.15703,1.41716,1.2212,3.08183,1.17939,-24.10576,1.062015,-23.04374
60450,-7.63319,-2.95742,-5.51941,-9.55877,2.24658,6.74361,4.63813,1.48158,-26.9339,-6.491434,-33.42534
60480,-7.21787,-4.15657,-4.6607,-8.65831,1.65172,6.46998,9.11876,1.55125,-27.27174,-2.044648,-29.31639
60510,-7.06852,-4.25817,-5.04513,-8.28709,1.86725,4.47739,1.26522,1.29825,-24.86046,0.0817381,-24.77872
60540,-8.54226,-5.35012,-3.20289,-6.77859,1.45655,1.39856,3.33373,1.32711,-24.46353,2.49339,-21.97014
60570,-8.5576,-4.79555,-4.57089,-9.10649,1.70256,2.44875,5.54564,2.58567,-26.35048,-4.153264,-30.50375
60600,-6.28092,-3.2807,-4.61766,-8.49591,2.99008,2.16,1.85183,1.20366,-24.9412,-0.9030711,-25.84427
60630,-5.11475,-1.59234,-5.14753,-9.11109,1.86978,1.40887,3.49958,1.21846,-24.76139,-0.0686695,-24.83006
60660,-4.91934,-2.64491,-5.10477,-7.53321,1.48409,3.46896,2.32111,1.36925,-25.08601,-0.5777481,-25.66375
60690,-5.29192,-2.87518,-4.84966,-7.83754,2.07252,2.24973,1.27916,1.1843,-24.23921,0.3179515,-23.92126
60720,-4.83045,-2.25146,-4.6358,-8.17306,2.75391,2.49981,1.39234,1.20807,-24.76666,-0.7217628,-25.48843
60750,-4.18467,-1.19821,-4.68428,-8.21526,1.34719,9.26554,3.61784,3.1689,-27.33347,-5.371031,-32.7045
60780,-5.89414,-3.67482,-4.70736,-8.87905,1.58248,2.18519,1.3622,8.57346,-25.96854,-6.481102,-32.44964
60810,-4.69671,-4.04003,-4.46516,-8.89277,1.69573,8.80535,3.34993,7.10996,-28.15459,-13.80821,-41.9628
60840,-7.54973,-3.89634,-5.04021,-9.02149,1.64599,1.43487,5.63097,1.17356,-25.00736,1.431577,-23.57578
60870,-7.01064,-4.45629,-4.77703,-8.36314,2.82887,1.89383,1.23838,8.16101,-26.23332,-6.624217,-32.85753
60900,-7.37935,-3.44188,-4.82584,-9.61742,1.6566,1.45219,3.18237,2.30386,-25.15409,-2.573001,-27.72709
60930,-7.53172,-3.84748,-3.98942,-9.04345,1.84913,2.23677,3.04101,1.31941,-25.08909,-2.899034,-27.98813
60960,-7.66641,-3.91444,-4.87049,-9.04365,1.29129,2.05432,3.27258,1.23234,-24.63276,1.075336,-23.55742
60990,-7.45152,-4.03418,-4.31872,-8.97717,2.34916,1.52045,3.11959,1.44604,-25.04714,-1.961604,-27.00874
61020,-7.632,-4.00628,-5.12239,-8.7495,1.40094,1.84756,3.53337,1.41217,-24.81079,-2.072003,-26.88279
61050,-7.64121,-4.82439,-3.59579,-7.69135,3.05279,3.37017,1.27103,1.1732,-24.98652,-0.5045081,-25.49102
61080,-7.78991,-4.79569,-3.73224,-7.84063,2.08985,6.33938,1.36032,1.27356,-25.38833,0.06433482,-25.324
61110,-8.94763,-5.34991,-2.80053,-7.0911,1.41497,5.85757,4.20948,1.28173,-26.08284,0.7017283,-25.38112
61140,-9.46293,-5.19075,-2.58871,-7.06927,1.58513,6.52761,1.77112,1.25455,-25.43515,-0.3482919,-25.78344
61170,-8.72455,-5.01686,-3.98872,-8.15039,1.64227,1.5537,6.06216,1.24129,-25.21268,1.494833,-23.71785
61200,-9.51874,-5.31642,-3.38539,-8.19252,1.98686,4.62409,2.45749,1.18477,-25.56866,0.1405725,-25.42809
61230,-8.43697,-5.65865,-3.40975,-6.97111,1.52746,1.5595,1.92288,1.39922,-24.11243,0.217332,-23.89509
61260,-8.55931,-5.34982,-3.40632,-7.2332,1.84204,1.37524,2.88484,1.19922,-24.43058,1.752748,-22.67783
61290,-8.04191,-4.39567,-4.46331,-8.31871,1.7934,1.97648,3.85071,1.29996,-25.12857,-0.330461,-25.45903
61320,-7.25526,-3.54017,-5.0451,-9.08863,1.88591,6.74325,8.75442,1.10812,-27.08329,-2.658621,-29.74191
61350,-6.39581,-3.34365,-4.24246,-8.15353,7.81128,2.37458,2.54674,1.39949,-26.46671,-4.942434,-31.40915
61380,-7.84593,-3.7236,-3.43171,-6.82165,1.14143,1.3706,1.37349,3.33794,-24.25126,-0.4425355,-24.6938
61410,-7.73174,-2.87365,-3.2598,-6.87485,1.17419,2.88762,2.60105,5.60862,-26.20923,-3.182284,-29.39151
61440,-7.51224,-3.48181,-3.34583,-6.51957,1.29919,2.32532,1.37704,6.27867,-25.55061,-2.279091,-27.82971
61470,-7.22627,-3.15732,-3.56458,-6.32523,1.16047,1.29009,6.5531,6.53405,-26.45123,-4.088781,-30.54001
61500,-6.75055,-2.30788,-3.44879,-6.34046,1.30288,1.3612,6.11355,5.74783,-26.45237,-5.930793,-32.38316
61530,-7.6253,-3.46142,-3.21801,-6.39876,1.28175,2.37061,4.88291,5.00677,-26.60083,-3.286629,-29.88745
61560,-8.24577,-5.6636,-2.46273,-5.67284,1.37638,2.14842,2.47916,1.97627,-24.96004,-1.558183,-26.51822
61590,-8.68051,-5.50161,-2.34379,-6.34461,1.73987,2.64792,2.01052,1.31336,-24.79149,0.8082324,-23.98326
61620,-8.90141,-4.44606,-1.38255,-5.61373,2.13568,5.92049,2.70921,2.14866,-26.65187,-6.587458,-33.23933
61650,-8.44162,-4.73611,-0.784935,-4.05488,1.34817,1.28619,4.36744,1.73526,-24.96839,-2.822796,-27.79118
61680,-8.02749,-5.61626,-1.07044,-5.10269,2.7494,3.04649,4.25734,1.30372,-26.18493,-3.816563,-30.00149
61710,-7.48311,-5.36399,-2.17233,-5.17875,2.10275,2.82794,6.91272,1.23253,-26.22517,-1.541158,-27.76633
61740,-8.77021,-5.5573,-0.529058,-4.20829,8.41305,5.32119,4.87117,1.27444,-28.02211,-4.573788,-32.59589
61770,-6.74103,-5.57635,1.00788,-0.973541,1.29729,1.76189,4.28373,1.22606,-25.05512,-4.422849,-29.47797
61800,-9.21106,-5.62519,2.32969,-2.07712,1.53478,1.75165,1.34251,1.4309,-24.27176,-0.7156211,-24.98738
61830,-9.2712,-5.92878,2.8051,-1.51356,1.53962,4.58819,1.75543,1.44733,-25.57162,-1.851776,-27.42339
61860,-8.8853,-5.52997,3.6544,-0.146208,1.48744,1.25876,2.25242,1.28253,-24.49707,0.449957,-24.04711
61890,-9.81313,-5.62045,2.71652,-2.08281,1.29319,3.39187,1.54195,1.18429,-24.74985,1.531876,-23.21798
61920,-9.37872,-5.31861,2.22686,-2.3858,1.43358,7.85661,1.80344,1.29949,-25.89149,-0.4124668,-26.30396
61950,-9.51646,-5.62676,1.74328,-2.7282,1.65404,5.83231,1.59537,1.59828,-25.77659,-0.2110285,-25.98762
61980,-9.84041,-5.33143,2.20865,-2.85129,1.36716,8.6483,2.83917,1.54384,-26.55912,-1.329844,-27.88896
62010,-9.9842,-5.62482,3.49708,-1.35178,2.12541,4.5022,4.18822,1.82782,-27.05451,-3.167447,-30.22196
62040,-8.97003,-5.58726,2.49722,-1.781,2.73535,3.02671,1.6833,1.22923,-25.49015,-1.235555,-26.72571
62070,-10.4964,-5.8691,2.67654,-2.64611,1.57902,6.27668,3.94657,1.90514,-26.97256,-2.827913,-29.80048
