"median","LCL","UCL","time","compartment.name","study"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.0513121,0.02612183,0.093539505,1,"Blood","AtoB"
0.1060345,0.05872068,0.19008855,2,"Blood","AtoB"
0.160603,0.0906087,0.285463,3,"Blood","AtoB"
0.2146215,0.12179015,0.38039285,4,"Blood","AtoB"
0.267994,0.15288235,0.47479955,5,"Blood","AtoB"
0.320753,0.1836159,0.5672168,6,"Blood","AtoB"
0.372951,0.21368535,0.6584181,7,"Blood","AtoB"
0.424504,0.24373675,0.7484648,8,"Blood","AtoB"
0.4754955,0.27362915,0.83681125,9,"Blood","AtoB"
0.526005,0.3032275,0.9244372,10,"Blood","AtoB"
0.575793,0.33232275,1.011365,11,"Blood","AtoB"
0.6249015,0.36134665,1.0965615,12,"Blood","AtoB"
0.6733325,0.3900401,1.181238,13,"Blood","AtoB"
0.7210345,0.4184351,1.2639695,14,"Blood","AtoB"
0.768044,0.44649625,1.346411,15,"Blood","AtoB"
0.8143705,0.474426,1.426923,16,"Blood","AtoB"
0.8601175,0.5020787,1.5075195,17,"Blood","AtoB"
0.905184,0.5296722,1.586811,18,"Blood","AtoB"
0.949716,0.55670735,1.6656235,19,"Blood","AtoB"
0.9938385,0.58351015,1.742699,20,"Blood","AtoB"
1.03769,0.61006175,1.818726,21,"Blood","AtoB"
1.0813,0.6367358,1.8943935,22,"Blood","AtoB"
1.124295,0.66320875,1.9693305,23,"Blood","AtoB"
1.166875,0.6886133,2.0443,24,"Blood","AtoB"
1.209375,0.71396665,2.1175545,25,"Blood","AtoB"
1.251285,0.7391872,2.1896105,26,"Blood","AtoB"
1.29285,0.764369,2.262259,27,"Blood","AtoB"
1.333835,0.7894452,2.333196,28,"Blood","AtoB"
1.374665,0.8142399,2.4034165,29,"Blood","AtoB"
1.41499,0.83862825,2.471702,30,"Blood","AtoB"
1.454505,0.8621709,2.540916,31,"Blood","AtoB"
1.494375,0.88609635,2.60795,32,"Blood","AtoB"
1.53364,0.9092438,2.674236,33,"Blood","AtoB"
1.57259,0.93227335,2.7384155,34,"Blood","AtoB"
1.6111,0.95450755,2.803219,35,"Blood","AtoB"
1.649185,0.97702075,2.866695,36,"Blood","AtoB"
1.68665,0.9998154,2.9280085,37,"Blood","AtoB"
1.723905,1.021188,2.9900825,38,"Blood","AtoB"
1.76116,1.0414485,3.052492,39,"Blood","AtoB"
1.797705,1.0625685,3.1132555,40,"Blood","AtoB"
1.83396,1.083906,3.1724595,41,"Blood","AtoB"
1.870465,1.1046425,3.2308225,42,"Blood","AtoB"
1.905385,1.123153,3.288903,43,"Blood","AtoB"
1.940685,1.140038,3.3471275,44,"Blood","AtoB"
1.97577,1.1593595,3.4045985,45,"Blood","AtoB"
2.01024,1.175735,3.4616545,46,"Blood","AtoB"
2.0445,1.1915995,3.5190315,47,"Blood","AtoB"
2.07804,1.2085525,3.57408,48,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
74.30215,0.7373389,679.9874,1,"Cell","AtoB"
77.21695,1.3629575,685.1546,2,"Cell","AtoB"
78.0684,1.946659,685.9685,3,"Cell","AtoB"
78.99165,2.509167,684.23975,4,"Cell","AtoB"
80.1722,3.0512855,682.34465,5,"Cell","AtoB"
81.33915,3.5747095,680.78325,6,"Cell","AtoB"
82.41065,4.0777875,679.0636,7,"Cell","AtoB"
83.4493,4.5920425,676.94455,8,"Cell","AtoB"
84.5559,5.082414,674.87685,9,"Cell","AtoB"
85.4735,5.5802095,673.75495,10,"Cell","AtoB"
86.3927,6.0583055,672.81335,11,"Cell","AtoB"
87.196,6.4975275,671.7536,12,"Cell","AtoB"
88.47205,6.9582135,669.9916,13,"Cell","AtoB"
89.4898,7.374391,668.3178,14,"Cell","AtoB"
90.2953,7.813879,666.5323,15,"Cell","AtoB"
91.19825,8.2645005,665.0948,16,"Cell","AtoB"
92.10745,8.686262,663.55205,17,"Cell","AtoB"
92.95,9.098657,662.5749,18,"Cell","AtoB"
93.92305,9.5094835,660.9881,19,"Cell","AtoB"
94.82135,9.898174,659.7549,20,"Cell","AtoB"
95.69575,10.28786,657.87835,21,"Cell","AtoB"
96.3795,10.70459,656.545949999999,22,"Cell","AtoB"
97.08065,11.09458,655.2485,23,"Cell","AtoB"
97.7555,11.473375,654.2622,24,"Cell","AtoB"
98.63385,11.834125,653.00865,25,"Cell","AtoB"
99.59625,12.192665,652.2012,26,"Cell","AtoB"
100.5315,12.52959,650.8864,27,"Cell","AtoB"
101.2535,12.88362,649.58925,28,"Cell","AtoB"
102.1535,13.230925,648.78085,29,"Cell","AtoB"
103.0625,13.58823,647.70955,30,"Cell","AtoB"
103.7055,13.93236,647.0719,31,"Cell","AtoB"
104.5225,14.23387,647.47115,32,"Cell","AtoB"
105.2905,14.536045,646.31335,33,"Cell","AtoB"
106.0515,14.83895,645.4176,34,"Cell","AtoB"
106.909,15.15537,644.36925,35,"Cell","AtoB"
107.5835,15.47826,643.13815,36,"Cell","AtoB"
108.2555,15.75505,642.17185,37,"Cell","AtoB"
109.0855,16.072835,641.35525,38,"Cell","AtoB"
109.7595,16.388375,641.0807,39,"Cell","AtoB"
110.514,16.68997,641.03565,40,"Cell","AtoB"
111.2055,16.966935,640.45785,41,"Cell","AtoB"
111.7955,17.24192,640.18385,42,"Cell","AtoB"
112.432,17.524975,639.0935,43,"Cell","AtoB"
112.9955,17.817795,637.64005,44,"Cell","AtoB"
113.745,18.08125,637.0577,45,"Cell","AtoB"
114.362,18.36985,636.5906,46,"Cell","AtoB"
114.9975,18.64445,636.2303,47,"Cell","AtoB"
115.608,18.921375,635.5724,48,"Cell","AtoB"
5,5,5,0,"Lumen","AtoB"
4.97965,4.930689,4.98941,1,"Lumen","AtoB"
4.963515,4.9100095,4.9796,2,"Lumen","AtoB"
4.948025,4.8870095,4.9701505,3,"Lumen","AtoB"
4.93291,4.8647485,4.96102,4,"Lumen","AtoB"
4.91808,4.8417185,4.952051,5,"Lumen","AtoB"
4.90361,4.818387,4.9433005,6,"Lumen","AtoB"
4.88936,4.7950895,4.934841,7,"Lumen","AtoB"
4.875405,4.77152,4.9263905,8,"Lumen","AtoB"
4.861565,4.7491385,4.9180815,9,"Lumen","AtoB"
