"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-9.39022452482568,0.378085430206746,5.76248499754614,-15.0746925,-13.708925,-11.9419,-6.13196,4.85554625,226,1.02118626907183,1,-14.7639,-11.9419,2.3171145,0.02285,0.0782500000000006,0.35725,0.692625,0.81834,0.267683168973909,257,753
"p_2.1.",-1.19949698664389,0.394588849988952,5.93643016541514,-7.266417,-6.0368075,-3.21965,2.19678,13.5183525,221,1.02178289848742,1,-7.0564135,-3.21965,10.6665,0.0147849999999998,0.088155,0.328985,0.688345,0.86085,0.279376790096734,246,754
"p_3.1.",1.40253616367913,0.396572192680786,5.78068653832951,-5.13665,-3.3003575,-0.400346,4.9246325,15.54704,207,1.02155589475807,1,-4.822701,-0.400346,13.03083,0.025055,0.20912,0.6495295,0.654895,0.810049999999999,0.280804717838661,230,420
"p_4.1.",-9.31252595333365,0.413361906718622,5.99827063434802,-15.4234625,-14.417175,-11.52705,-5.43213,5.213203,206,1.0214205848691,1,-15.248085,-11.52705,2.5815825,0.0177500000000004,0.11485,0.884449999999999,0.577235,0.781565,0.292696831447862,230,457
"GSD_error_C1_blood.1.",4.42934891419823,0.0151978239649996,2.12348326485824,1.8793845,2.7185375,3.78574,5.76608,9.37422625,19509,1.00020603826451,1,2.0166735,3.78574,8.8371515,0.00528000000000006,0.00818500000000011,0.0172350000000001,0.0298699999999998,0.0204649999999997,0.0107794772363171,20733,26730
"GSD_error_C1_cell.1.",4.32660577052868,0.0169059540269792,2.39687971200186,1.210565,2.3277675,3.765475,6.0174125,9.482207,20070,1.00023996969002,1,1.33804,3.765475,8.9823645,0.00401499999999999,0.0162899999999999,0.0255850000000002,0.0317400000000001,0.0203249999999997,0.0119544884013343,18846,25765
"GSD_error_C2_cell.1.",4.68788762123485,0.0233441312780605,2.46557059758449,1.221949,2.5911,4.30018,6.572765,9.58332475,11106,1.00032822389648,1,1.3448665,4.30018,9.1967855,0.00514000000000003,0.0244,0.0335749999999999,0.0338600000000002,0.0104000000000006,0.0165072252215478,10233,18905
"GSD_error_C2_lumen.1.",2.27550273153356,0.0134709111784204,1.46762601705445,1.12369,1.398925,1.753885,2.5000075,6.98940225,11832,1.00053541311895,1,1.148493,1.753885,5.496016,0.00182000000000004,0.00720499999999991,0.00858999999999999,0.0183949999999999,0.0880350000000001,0.00952560666249473,6278,5942
"LnPrior",-27.8961391632296,0.031263667184983,1.21738314527044,-30.659859,-28.6066625,-27.806555,-27.063055,-25.8007475,1549,1.00433078659724,1,-30.0225355,-27.806555,-26.071303,0.12006,0.0349400000000006,0.0218549999999986,0.0175199999999993,0.0185100000000009,0.022504013311392,1805,1592
"LnData",0.568579345804391,0.027733646209105,2.4376627009076,-4.356351425,-0.9361768,0.6187678,2.00434425,5.61755565,7685,1.00058491105367,1,-3.4268238,0.6187678,4.70287665,0.0496799999999999,0.02655615,0.0229768,0.0325930000000001,0.102865,0.0247438020160107,8005,4669
"LnPosterior",-27.327559835958,0.0445817543820885,2.98420900430371,-33.66807325,-29.1871425,-27.17556,-25.356565,-21.61401875,4477,1.00110358155025,1,-32.441632,-27.17556,-22.6169905,0.0966249999999995,0.0387799999999991,0.0405650000000009,0.0406300000000002,0.120890000000001,0.0315261130773267,4395,4527
