"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-6.01375,4.88324,-2.56536,-15.2056,2.5231,3.09574,8.08968,1.19714,-27.3782,3.706256,-23.67195
60060,-9.28279,1.42944,-2.12725,-15.1264,6.68243,2.53744,6.75206,1.28464,-27.8093,3.135253,-24.67404
60090,-10.7799,0.0160724,-2.26422,-15.0971,3.72218,6.14922,8.50656,1.20609,-28.22442,3.604095,-24.62033
60120,-9.48424,-1.52756,-4.32236,-13.9185,2.34345,1.77179,7.2082,2.78933,-26.96333,0.9034408,-26.05989
60150,-10.4535,-3.37851,-3.53405,-12.3003,5.21755,1.62259,3.54308,4.86874,-27.42477,-1.839586,-29.26435
60180,-14.3486,-6.0324,2.21383,-7.6973,1.99638,2.61429,1.24801,1.951,-25.26402,2.986458,-22.27757
60210,-14.336,-6.69045,2.28856,-7.69686,1.98645,5.02701,2.49558,3.79893,-27.27395,-0.02983815,-27.30379
60240,-14.4851,-5.85349,1.99115,-8.32794,2.8286,2.60053,2.79031,2.80171,-26.77284,0.827866,-25.94497
60270,-12.0123,-5.17626,-1.68013,-9.97531,6.6453,1.10729,8.5735,3.10137,-27.71837,-1.326612,-29.04498
60300,-12.9473,-6.73467,-1.60699,-9.05409,5.31208,5.70738,2.34912,2.55516,-27.65882,-2.949011,-30.60783
60330,-13.2459,-6.27648,0.908765,-9.88214,3.25584,5.6467,1.95833,1.87816,-26.82464,-0.7268089,-27.55145
60360,-14.7008,-6.16797,1.34007,-8.89559,2.70864,4.315,5.59807,1.86626,-27.50143,1.466916,-26.03451
60390,-13.0205,-7.20071,1.34069,-6.75463,4.45516,1.22633,3.63202,3.51691,-26.83732,0.6137436,-26.22358
60420,-13.1822,-5.69421,-0.363553,-11.1433,2.42485,4.41084,6.07546,5.56245,-28.46726,-1.98818,-30.45544
60450,-13.5686,-6.47624,-1.52306,-9.58492,3.32772,1.13889,9.29676,2.76775,-27.07836,0.8452276,-26.23314
60480,-13.9055,-6.47525,0.333512,-10.2999,2.36962,6.40085,4.27561,4.35119,-28.26301,-0.8010566,-29.06407
60510,-13.7499,-3.84745,0.0268723,-12.3892,4.1822,3.54401,7.63044,1.68588,-27.95104,0.4108323,-27.54021
60540,-12.661,-3.68014,1.91616,-11.0412,6.59001,2.57294,6.12172,1.56508,-27.80655,-0.103592,-27.91014
60570,-13.9728,-3.53945,1.77692,-11.0528,3.60492,7.25403,5.53775,1.24058,-27.96528,4.797769,-23.16751
60600,-14.5303,-4.96564,0.979236,-10.4344,3.62322,3.91886,6.9259,1.77369,-27.87031,1.147768,-26.72255
60630,-14.1828,-4.73144,1.01375,-10.3327,3.37369,3.82845,5.32387,2.30549,-27.75828,0.3729601,-27.38532
60660,-12.5437,-6.86758,1.79382,-6.28919,2.26808,2.00641,6.39632,1.60351,-26.44393,1.796686,-24.64724
60690,-13.2185,-5.83359,6.1483,-5.19552,4.30847,3.2312,6.99221,2.51567,-28.50327,-1.578523,-30.08179
60720,-15.2529,-6.63625,2.78479,-7.30874,8.39457,4.45472,3.4728,2.3973,-28.55266,-1.00376,-29.55642
60750,-13.8485,-4.66804,7.26262,-5.1788,2.80239,4.41848,2.90677,1.98919,-27.43427,-0.04853367,-27.4828
60780,-14.442,-3.62973,6.50617,-6.30134,2.80733,7.82938,5.30188,1.17726,-28.05002,5.064134,-22.98588
60810,-13.5486,-2.49511,7.10392,-6.43962,4.01735,3.14391,6.19686,1.46663,-27.91817,1.109312,-26.80886
