"median","LCL","UCL","time","compartment.name","study"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.02212745,0.005098291,0.2046748,1,"Blood","AtoB"
0.04844045,0.01342845,0.45141755,2,"Blood","AtoB"
0.0751812,0.022098855,0.6909681,3,"Blood","AtoB"
0.101786,0.03048638,0.92188215,4,"Blood","AtoB"
0.128316,0.03865385,1.142949,5,"Blood","AtoB"
0.1543915,0.04671579,1.355865,6,"Blood","AtoB"
0.1798935,0.054669625,1.559863,7,"Blood","AtoB"
0.2047455,0.062195515,1.748992,8,"Blood","AtoB"
0.2288245,0.069754455,1.9272205,9,"Blood","AtoB"
0.2523215,0.07733061,2.0996345,10,"Blood","AtoB"
0.275596,0.0844869,2.2676595,11,"Blood","AtoB"
0.298233,0.09170249,2.4264135,12,"Blood","AtoB"
0.320794,0.098465395,2.579217,13,"Blood","AtoB"
0.3426025,0.10516125,2.7199725,14,"Blood","AtoB"
0.363847,0.11174105,2.857497,15,"Blood","AtoB"
0.3843725,0.1184665,2.985557,16,"Blood","AtoB"
0.404509,0.1246529,3.108399,17,"Blood","AtoB"
0.424146,0.1304889,3.2334625,18,"Blood","AtoB"
0.443752,0.13638115,3.3471785,19,"Blood","AtoB"
0.4631895,0.1416763,3.45784,20,"Blood","AtoB"
0.4818125,0.14732095,3.5557835,21,"Blood","AtoB"
0.500345,0.1526949,3.652641,22,"Blood","AtoB"
0.518897,0.1578808,3.7485415,23,"Blood","AtoB"
0.5367925,0.1629327,3.827222,24,"Blood","AtoB"
0.554044,0.16769735,3.9060245,25,"Blood","AtoB"
0.5708865,0.17236795,3.9762695,26,"Blood","AtoB"
0.588119,0.1769556,4.0575735,27,"Blood","AtoB"
0.6041585,0.180814,4.1301115,28,"Blood","AtoB"
0.620771,0.18538965,4.202108,29,"Blood","AtoB"
0.637007,0.1898123,4.2648625,30,"Blood","AtoB"
0.652377,0.1938371,4.3336935,31,"Blood","AtoB"
0.6682015,0.1985564,4.3966515,32,"Blood","AtoB"
0.683974,0.2021738,4.4592345,33,"Blood","AtoB"
0.6996725,0.205291,4.530234,34,"Blood","AtoB"
0.714761,0.20861425,4.5850905,35,"Blood","AtoB"
0.7296075,0.21184635,4.640395,36,"Blood","AtoB"
0.7452915,0.2150299,4.6933695,37,"Blood","AtoB"
0.7590125,0.21736915,4.7480835,38,"Blood","AtoB"
0.7734605,0.22042125,4.7899225,39,"Blood","AtoB"
0.7879585,0.22279885,4.839541,40,"Blood","AtoB"
0.8018885,0.2254099,4.8792265,41,"Blood","AtoB"
0.815952,0.2286408,4.92612,42,"Blood","AtoB"
0.8299045,0.23108045,4.9661375,43,"Blood","AtoB"
0.8441815,0.23303475,4.999496,44,"Blood","AtoB"
0.8586395,0.2353378,5.0404325,45,"Blood","AtoB"
0.8728945,0.23746785,5.075916,46,"Blood","AtoB"
0.887072,0.2404734,5.109146,47,"Blood","AtoB"
0.901161,0.24253815,5.1405965,48,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
4091.98,20.80751,25027.515,1,"Cell","AtoB"
5354.62,37.97476,24959.405,2,"Cell","AtoB"
6147.535,54.420625,24891.9,3,"Cell","AtoB"
6830.905,69.728695,24828.03,4,"Cell","AtoB"
7418.845,84.441635,24764.3,5,"Cell","AtoB"
7952.22,99.037475,24708.64,6,"Cell","AtoB"
8418.005,113.2372,24651.31,7,"Cell","AtoB"
8817.875,127.32665,24599.51,8,"Cell","AtoB"
9146.815,142.2238,24546.13,9,"Cell","AtoB"
9425.5,155.8287,24499.1,10,"Cell","AtoB"
9630.23,169.73775,24459.82,11,"Cell","AtoB"
9799.305,182.41715,24420,12,"Cell","AtoB"
9903.905,195.3763,24385.045,13,"Cell","AtoB"
