"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-8.88291238419404,0.582118892566219,5.99170297099428,-14.8098925,-13.9257,-11.7483,-4.72341,5.19043025,101,1.0100952332132,1,-14.60957,-11.7483,2.728787,0.0215999999999994,0.0952500000000001,1.531095,0.765615,0.77968,0.412758762247151,122,396
"p_2.1.",-1.23836141652043,0.591857440566446,6.12269229624118,-7.57262175,-6.3804125,-3.630165,3.043005,12.9515875,103,1.00945415445027,1,-7.381972,-3.630165,10.58333,0.0148649999999999,0.0915650000000001,1.46142,0.774655,0.76085,0.419652349809875,124,384
"p_3.1.",0.543762673318335,0.481205847474108,5.68412311459489,-5.2391325,-4.2912725,-1.36154,4.227555,13.867695,138,1.01006576150424,1,-5.065387,-1.36154,11.441605,0.0192200000000002,0.0917100000000004,1.4211155,0.58446,0.86955,0.340977737464215,146,589
"p_4.1.",-9.64524712059252,0.494505306924236,5.82994306498842,-15.7274775,-14.690575,-11.6222,-5.7223475,3.812654,138,1.00975355379295,1,-15.54977,-11.6222,1.333583,0.01755,0.14335,1.63439,0.589125,0.9018,0.38160286165369,152,580
"GSD_error_C1_blood.1.",2.53267633670791,0.00996675428627902,1.53009259324968,1.3333,1.60928,1.962415,2.758505,7.54486975,23544,1.00003250112592,1,1.3771015,1.962415,5.998455,0.00182499999999997,0.00309500000000007,0.00609499999999996,0.0154299999999998,0.072365,0.00704764666606361,24589,25817
"GSD_error_C1_cell.1.",4.40890735376828,0.0169884457439589,2.40711371507773,1.2173175,2.3881525,3.890295,6.1479075,9.49413,20085,1.00022433281143,1,1.33798,3.890295,9.025692,0.00505,0.019055,0.02664,0.0337149999999999,0.0189050000000002,0.0120128199430524,19208,24833
"GSD_error_C2_cell.1.",4.50821109673791,0.0186145919140832,2.46861393021479,1.19972225,2.3903325,4.026065,6.3671775,9.54015375,17518,1.00006819828659,1,1.3144665,4.026065,9.11737,0.00304499999999996,0.0196349999999998,0.0272549999999998,0.0306299999999999,0.0158200000000006,0.0131627225250094,15932,23566
"GSD_error_C2_lumen.1.",2.46925390169979,0.0120693048567598,1.49609766154607,1.29458075,1.5722175,1.91942,2.68635,7.30934999999999,15360,1.00012622141371,1,1.339029,1.91942,5.83617799999999,0.00246500000000005,0.00358999999999998,0.00741000000000003,0.0189699999999999,0.0946749999999996,0.00853444927008009,11996,23520
"LnPrior",-27.345805275903,0.0319998113450648,1.16449034338819,-29.93388825,-28.0414075,-27.254165,-26.5283075,-25.37622675,1336,1.00276000669071,1,-29.3933925,-27.254165,-25.628516,0.117940000000001,0.0356500000000004,0.0227749999999993,0.0162049999999994,0.0120699999999996,0.0230062859177882,1567,1439
"LnData",-5.63637913081427,0.0179688861922556,2.27992546347127,-10.685834,-7.0816885,-5.37728,-3.9268975,-2.0192149,16080,1.00020848259531,1,-9.77359555,-5.37728,-2.41991515,0.0424950000000006,0.0272220000000001,0.0185119999999999,0.0168685000000002,0.0247415000000001,0.0127061513209108,15954,26345
"LnPosterior",-32.9821843947632,0.0260212392384037,2.96326514940855,-39.4687655,-34.8574925,-32.68786,-30.8320475,-27.9980345,12945,1.00015066625233,1,-38.312698,-32.68786,-28.6319705,0.0596149999999973,0.0334900000000005,0.0300949999999993,0.0237400000000001,0.0318750000000012,0.0184002085120005,13037,25743
