"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-12.0621,-7.01614,9.37791,-0.00493131,5.30498,1.77821,9.46905,1.3954,-28.29979,-6.582369,-34.88216
60060,-13.2906,-7.27782,8.37534,0.439565,1.68129,7.79244,9.83005,1.69046,-28.81593,-4.618156,-33.43408
60090,-13.7323,-6.72063,9.55324,0.470978,1.55563,6.38381,3.44131,2.04577,-27.84446,-3.65387,-31.49833
60120,-14.1274,-6.5795,10.2294,0.128009,1.40848,3.33581,2.69395,1.49195,-26.62376,-1.689957,-28.31371
60150,-14.4649,-6.37535,9.00072,-1.64365,1.42129,5.91113,2.49218,1.47284,-26.89831,-2.120083,-29.01839
60180,-14.2209,-6.24554,9.20033,-1.72398,2.1865,9.4136,1.42181,1.59036,-27.31774,-2.706992,-30.02474
60210,-14.4962,-6.32045,8.97488,-1.70161,4.14099,2.94846,7.94364,1.68437,-28.56217,-6.008838,-34.571
60240,-14.5439,-6.6153,9.82054,-0.394897,1.56779,9.10758,1.54695,1.50101,-27.13094,-2.143507,-29.27445
60270,-13.5343,-5.67184,8.32972,-0.750605,3.88473,4.78833,1.15274,4.47044,-27.94696,-7.669974,-35.61693
60300,-13.9821,-6.42512,8.26606,-1.19214,2.6599,3.2269,3.53931,1.93416,-27.44869,-5.520576,-32.96926
60330,-13.7207,-6.6006,9.84939,-0.301489,5.63396,5.89053,2.43029,4.92338,-29.57733,-9.288418,-38.86575
60360,-14.3854,-5.28724,8.84736,-2.60264,1.88501,4.45352,3.9247,1.79856,-27.50285,-3.484186,-30.98704
60390,-13.6624,-4.98923,8.53034,0.192941,2.90929,3.14009,1.83345,6.88842,-28.21729,-10.34328,-38.56057
60420,-12.1454,-7.57114,7.42051,-0.292464,1.9174,1.57092,7.1957,1.62001,-26.79705,-4.056455,-30.85351
60450,-12.9629,-7.10358,8.55984,0.633505,1.66548,2.44572,3.21552,2.44761,-26.91687,-4.710556,-31.62743
60480,-12.5985,-7.53013,7.08294,-0.376125,8.36145,2.38937,4.623,1.61272,-28.2204,-7.81634,-36.03674
60510,-13.2723,-7.15915,6.6595,-1.5781,2.83955,4.82712,3.27724,2.53067,-27.88177,-6.773668,-34.65544
60540,-14.8701,-4.65802,9.10803,-3.72228,2.25141,5.33413,3.49261,1.8862,-27.82886,-6.358249,-34.18711
60570,-13.3838,-7.29773,5.10389,-3.37736,3.04214,1.61015,2.92108,1.45736,-25.98136,-4.429251,-30.41061
60600,-12.4889,-7.22894,2.13918,-5.25987,2.22276,2.2592,5.20316,1.51391,-26.30845,-4.897608,-31.20605
60630,-12.8197,-7.49797,2.9454,-4.93613,1.79458,1.87228,8.85672,1.32589,-26.38309,-2.761181,-29.14427
60660,-14.3464,-7.07762,4.43552,-4.88913,5.87965,3.618,2.7464,2.10555,-27.71571,-7.208244,-34.92395
60690,-12.563,-6.41455,4.50449,-5.06111,7.44006,5.69683,7.08421,2.45038,-29.42046,-9.435808,-38.85627
60720,-12.2742,-7.41367,2.48121,-5.65191,2.95866,1.61125,7.99061,1.48438,-26.67693,-4.383273,-31.06021
60750,-12.925,-7.12612,1.76415,-6.51852,1.63066,2.2857,7.10438,1.28566,-26.14249,-5.393471,-31.53596
60780,-13.7546,-6.64238,1.94353,-7.90527,1.5761,2.82251,5.65478,5.83814,-27.65973,-6.898336,-34.55807
60810,-12.9845,-7.60915,1.89327,-5.65965,2.12194,2.88131,4.29916,3.82435,-27.24344,-7.949232,-35.19267
60840,-12.4649,-7.57252,0.710306,-6.95039,2.07435,1.5636,5.937,2.76717,-26.5066,-5.103706,-31.6103
60870,-12.7955,-7.59107,2.46825,-5.42188,1.39321,2.30026,6.04961,2.39735,-26.50531,-4.151318,-30.65662
60900,-12.7868,-6.88923,2.34196,-5.63854,2.2163,1.8884,2.9117,1.7365,-25.70522,-5.580776,-31.286
60930,-13.6481,-6.6752,3.20072,-5.47356,1.49629,2.83348,1.94495,1.61874,-25.35001,-5.825343,-31.17536
60960,-15.6052,-5.89849,3.31916,-7.43496,3.90387,3.78108,1.96206,1.63075,-26.73363,-6.707166,-33.4408
60990,-13.7529,-6.68662,1.89034,-7.2171,1.93308,2.12417,3.30177,1.58737,-25.73216,-4.025189,-29.75735
61020,-14.122,-6.37741,1.29096,-9.10401,1.57167,1.6873,2.83277,2.39176,-25.55154,-5.219971,-30.77151
61050,-13.1453,-5.39024,-0.439185,-9.77506,1.82866,6.62315,4.74924,4.73692,-28.14567,-7.595093,-35.74077
61080,-14.0232,-4.12765,1.41345,-11.5125,1.29044,2.0107,6.89568,1.34646,-25.93701,-8.253641,-34.19065
61110,-14.6543,-5.81541,1.13419,-8.3881,2.95826,6.43337,2.68719,8.68391,-28.773,-10.09296,-38.86596
61140,-13.9838,-6.11368,0.35117,-9.66733,1.5713,3.49883,1.93468,5.19457,-26.62449,-4.612827,-31.23731
61170,-10.8314,-4.82186,-2.58211,-11.1979,2.73236,5.82777,1.8863,3.39705,-27.03367,-9.666624,-36.70029
61200,-10.2718,-3.23485,-3.78005,-14.2766,1.76373,7.17056,3.09153,3.31289,-27.39305,-7.739576,-35.13263
61230,-7.909,-1.70432,-5.22702,-13.6112,2.01353,4.26783,4.4309,2.02728,-26.82622,-5.20726,-32.03348
61260,-8.38951,-1.00571,-4.67297,-14.7449,1.31994,6.59807,8.53094,1.76805,-27.462,-3.422448,-30.88445
61290,-8.6716,-0.446401,-4.19173,-14.8385,1.38291,1.3638,4.10935,3.59526,-25.9555,-3.330646,-29.28615
61320,-8.75877,-1.31356,-4.19173,-14.6697,1.92374,1.70728,3.32423,1.91091,-25.61791,-3.802745,-29.42065
61350,-8.15145,-2.23937,-4.93525,-14.0832,1.52135,7.29842,1.46755,3.14249,-26.42665,-4.204857,-30.63151
61380,-8.92658,-0.404145,-4.49562,-15.3916,2.16414,3.2058,3.93993,1.79378,-26.5547,-4.851631,-31.40633
61410,-6.47337,1.43327,-3.9995,-14.9469,2.74775,2.68487,5.4521,1.46921,-26.81183,-3.877268,-30.6891
61440,-6.2013,4.14519,-3.25182,-15.475,1.53352,4.61668,5.63545,1.28638,-26.92202,-5.403818,-32.32583
61470,-4.98849,4.1161,-4.05805,-15.2035,1.62838,5.20288,9.87935,1.92095,-28.03647,-3.895524,-31.93199
61500,-7.04343,1.10456,-4.05805,-15.1642,1.65744,3.26493,7.89594,1.76514,-27.04695,-3.441159,-30.48811
61530,-9.0735,-0.75005,-4.11654,-15.1292,1.58996,2.53625,6.45201,3.03388,-27.00756,-3.922724,-30.93028
61560,-9.89919,0.706329,-2.59012,-15.3041,2.1687,4.41569,4.55526,1.47578,-26.94731,-3.829176,-30.77649
