"median","LCL","UCL","time","compartment.name","study"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.0463055,0.01663787,0.1279207,1,"Blood","AtoB"
0.09710425,0.046028735,0.2658073,2,"Blood","AtoB"
0.1496945,0.07555418,0.4076446,3,"Blood","AtoB"
0.2027825,0.1041246,0.54754075,4,"Blood","AtoB"
0.2563135,0.13221735,0.6874976,5,"Blood","AtoB"
0.309234,0.159177,0.82670735,6,"Blood","AtoB"
0.3617565,0.1864032,0.96679135,7,"Blood","AtoB"
0.4132155,0.21313565,1.1044145,8,"Blood","AtoB"
0.4646585,0.23949435,1.23635,9,"Blood","AtoB"
0.515448,0.2655889,1.368811,10,"Blood","AtoB"
0.5657855,0.2915527,1.5020075,11,"Blood","AtoB"
0.6157105,0.3173108,1.632609,12,"Blood","AtoB"
0.66502,0.3432653,1.758314,13,"Blood","AtoB"
0.7139255,0.36854005,1.882721,14,"Blood","AtoB"
0.762711,0.3939059,2.009943,15,"Blood","AtoB"
0.8105005,0.4188568,2.1320745,16,"Blood","AtoB"
0.8582495,0.44323885,2.2542535,17,"Blood","AtoB"
0.905785,0.46744475,2.3743245,18,"Blood","AtoB"
0.952554,0.4918485,2.4918605,19,"Blood","AtoB"
0.998353,0.51498875,2.6052395,20,"Blood","AtoB"
1.04403,0.5376617,2.7218675,21,"Blood","AtoB"
1.08947,0.5604042,2.8366805,22,"Blood","AtoB"
1.13489,0.58262995,2.9491215,23,"Blood","AtoB"
1.179325,0.60455605,3.062377,24,"Blood","AtoB"
1.22367,0.62579435,3.174012,25,"Blood","AtoB"
1.268115,0.64757065,3.284865,26,"Blood","AtoB"
1.311515,0.66874545,3.3921895,27,"Blood","AtoB"
1.35489,0.6892359,3.4982335,28,"Blood","AtoB"
1.39805,0.70926315,3.6048375,29,"Blood","AtoB"
1.440555,0.72895625,3.706833,30,"Blood","AtoB"
1.482675,0.74957665,3.8062875,31,"Blood","AtoB"
1.52432,0.769697,3.905574,32,"Blood","AtoB"
1.565695,0.788728,4.005915,33,"Blood","AtoB"
1.606865,0.8071806,4.1088595,34,"Blood","AtoB"
1.64668,0.82774615,4.2054015,35,"Blood","AtoB"
1.688365,0.8455545,4.305252,36,"Blood","AtoB"
1.728965,0.8635964,4.405405,37,"Blood","AtoB"
1.7688,0.8825428,4.500254,38,"Blood","AtoB"
1.80869,0.9003795,4.598189,39,"Blood","AtoB"
1.847585,0.91805915,4.6922945,40,"Blood","AtoB"
1.88728,0.93532715,4.782736,41,"Blood","AtoB"
1.92637,0.95250005,4.8793405,42,"Blood","AtoB"
1.964245,0.96802535,4.961474,43,"Blood","AtoB"
2.00327,0.9852096,5.0531795,44,"Blood","AtoB"
2.041925,0.99929715,5.133295,45,"Blood","AtoB"
2.080405,1.0144505,5.2129275,46,"Blood","AtoB"
2.117525,1.0296535,5.296161,47,"Blood","AtoB"
