"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-10.9946715183127,0.277626399083824,5.65548559445147,-16.3902775,-15.207125,-13.7179,-7.9242775,3.55293849999999,414,1.00963141378336,1,-16.1029,-13.7179,0.845765799999991,0.0208499999999994,0.0418000000000003,0.2664,0.514445,0.493625,0.20291819498472,468,1224
"p_2.1.",-2.45421320990207,0.289648744729887,6.00738147995157,-8.9909485,-7.01391,-4.737285,0.9903465,12.461745,428,1.00883866535235,1,-8.625545,-4.737285,9.8557055,0.0229600000000003,0.0482049999999998,0.47009,0.5222555,0.49715,0.20495162476671,492,1214
"p_3.1.",1.24581631301387,0.307804154430476,6.29582866840959,-6.05779475,-4.3467275,-0.137608,5.3221925,15.8251875,413,1.01177843181897,1,-5.75845,-0.137608,13.03858,0.0305750000000002,0.11092,0.439043,0.431775,0.815200000000001,0.217802321675867,421,1330
"p_4.1.",-10.5083301812155,0.316740984142843,6.34162973642769,-17.7007625,-16.1893,-11.6183,-6.4519225,4.23675275,396,1.01137638795223,1,-17.419385,-11.6183,1.361812,0.0200999999999993,0.14695,0.5175,0.42688,0.778545,0.232502714938374,408,1274
"GSD_error_C1_blood.1.",4.03532849175103,0.016506275343826,2.05322343004845,1.69292825,2.4481925,3.37671,5.15446,9.19753525,15335,1.00051201284304,1,1.8119275,3.37671,8.4851135,0.00527,0.00922999999999985,0.0205950000000001,0.0340500000000001,0.0279800000000003,0.0116719191816781,13752,22398
"GSD_error_C1_cell.1.",4.92002801306087,0.0169052663206267,2.40899235940104,1.279071,2.916975,4.57185,6.7712825,9.62292175,20315,1.00020138320548,1,1.474647,4.57185,9.24688,0.00790000000000002,0.022985,0.0244599999999999,0.026885,0.0116899999999998,0.0119540003298573,18621,17950
"GSD_error_C2_cell.1.",4.87396656292963,0.0262798399126003,2.52772965931641,1.21749075,2.670975,4.58364,6.9074725,9.64393425,9153,1.00014310445438,1,1.343525,4.58364,9.3104305,0.00407000000000002,0.0382499999999999,0.0393050000000001,0.0278700000000001,0.0131499999999996,0.0185832388263462,8702,20978
"GSD_error_C2_lumen.1.",3.59693735658043,0.0202934297501278,2.03177467762184,1.276739,2.0889375,2.92463,4.5702425,8.94379525,9951,1.00108109565187,1,1.3938145,2.92463,8.0719515,0.00607000000000002,0.0124900000000001,0.0214350000000001,0.0368500000000003,0.0346700000000002,0.0143500393154434,7509,8833
"LnPrior",-28.482785368079,0.023562932027628,1.2205182496344,-31.14696275,-29.1951075,-28.40138,-27.6446575,-26.41093025,2676,1.00121161043451,1,-30.5465135,-28.40138,-26.6674805,0.112629999999999,0.0248699999999999,0.0182749999999992,0.0138350000000003,0.0140649999999987,0.01705683585115,3358,3053
"LnData",9.99509176995376,0.0142818333912359,1.88749253203384,5.88279465,8.859176,10.139215,11.27049,13.45763075,17436,1.00028836652607,1,6.69156015,10.139215,12.874147,0.0468025000000001,0.0177870000000002,0.016,0.0171599999999996,0.0411999999999999,0.0103105795052245,16999,17477
"LnPosterior",-18.4876936023622,0.0264595802066255,2.51425375040743,-23.9501145,-20.05914,-18.3128,-16.7286275,-14.0711055,9032,1.00016778745328,1,-22.898634,-18.3128,-14.6662355,0.0797749999999997,0.0292650000000005,0.0252550000000014,0.0252799999999986,0.03179,0.0191743033269499,9622,11695
