"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-15.2513,-6.5872,2.0228,-10.1199,4.34172,5.57763,2.35179,3.82462,-28.18027,11.21794,-16.96234
60060,-14.9693,-8.26174,-0.122158,-9.63509,2.29509,8.46293,3.91262,2.33333,-27.82563,11.52825,-16.29739
60090,-15.3967,-5.47713,0.0191271,-13.5665,1.75025,5.89668,2.46888,2.69851,-27.05226,10.36621,-16.68605
60120,-15.6173,-7.36825,2.47944,-8.53589,3.7968,8.51052,3.06749,2.5683,-28.36276,11.94968,-16.41308
60150,-15.6459,-7.73915,1.53875,-9.14814,2.77125,2.15371,5.35328,1.60718,-26.71122,9.612943,-17.09828
60180,-15.3635,-8.8224,2.87651,-8.04421,5.84922,4.35526,6.81054,4.49339,-29.50215,8.007329,-21.49482
60210,-15.128,-7.40974,4.46364,-8.04409,2.39412,7.24732,4.04938,4.31429,-28.65649,9.684333,-18.97216
60240,-13.3098,-7.7321,-2.27839,-9.34314,2.19278,2.9225,3.43315,7.65934,-27.58124,8.079629,-19.50161
60270,-15.2095,-7.31995,1.56528,-9.11489,9.99708,3.55535,2.89391,2.41592,-28.25909,9.776422,-18.48267
60300,-14.2829,-9.51058,-0.947061,-9.72813,2.56619,6.20671,3.33437,2.61396,-27.52181,6.181985,-21.33983
60330,-16.1064,-6.96936,1.91628,-9.24026,3.10094,7.84536,1.37902,3.85121,-27.68868,12.00945,-15.67923
60360,-15.2317,-7.76128,-0.266645,-10.0533,4.66619,3.78493,2.45818,2.50612,-27.35118,9.839862,-17.51132
60390,-14.4514,-7.42021,0.589518,-9.73159,2.32281,1.83231,1.85031,2.63557,-25.68441,9.543273,-16.14114
60420,-15.1594,-7.07371,2.81904,-8.61704,3.13979,4.76954,1.30973,2.06882,-26.52191,13.76754,-12.75437
60450,-14.7905,-7.87084,3.67742,-6.24085,7.28617,2.37201,2.28987,3.98275,-27.91626,8.670103,-19.24616
60480,-15.2867,-7.11652,0.661362,-10.2635,3.33641,6.67208,5.74794,7.37944,-29.56781,10.02604,-19.54177
