"median","LCL","UCL","time","compartment.name","study"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.006360745,0.00118298,0.03373008,1,"Blood","AtoB"
0.013797,0.003842918,0.067609515,2,"Blood","AtoB"
0.02167215,0.0069310265,0.099468425,3,"Blood","AtoB"
0.0298489,0.010059355,0.1309443,4,"Blood","AtoB"
0.03834105,0.013117665,0.16137105,5,"Blood","AtoB"
0.04697235,0.016124245,0.19071845,6,"Blood","AtoB"
0.0554558,0.018880025,0.21990865,7,"Blood","AtoB"
0.06407195,0.021552705,0.2478179,8,"Blood","AtoB"
0.0725296,0.02419022,0.27604565,9,"Blood","AtoB"
0.0808967,0.026719525,0.30447595,10,"Blood","AtoB"
0.0891981,0.02912418,0.3320114,11,"Blood","AtoB"
0.0973704,0.03151861,0.35938955,12,"Blood","AtoB"
0.105345,0.033775995,0.38546675,13,"Blood","AtoB"
0.1133715,0.035986485,0.41365225,14,"Blood","AtoB"
0.1213145,0.038173085,0.4410616,15,"Blood","AtoB"
0.128974,0.04022491,0.46821095,16,"Blood","AtoB"
0.1365885,0.042087135,0.49557415,17,"Blood","AtoB"
0.1441155,0.04401816,0.52388595,18,"Blood","AtoB"
0.1515595,0.045789205,0.55248385,19,"Blood","AtoB"
0.159037,0.047550755,0.57929595,20,"Blood","AtoB"
0.1663695,0.049318595,0.6067427,21,"Blood","AtoB"
0.173725,0.051079155,0.63545125,22,"Blood","AtoB"
0.180966,0.052727475,0.66168175,23,"Blood","AtoB"
0.1882075,0.054172375,0.6893208,24,"Blood","AtoB"
0.1950295,0.05574913,0.717097549999999,25,"Blood","AtoB"
0.2021225,0.057042085,0.74463065,26,"Blood","AtoB"
0.2089715,0.058394665,0.7704069,27,"Blood","AtoB"
0.2159575,0.059746405,0.79718785,28,"Blood","AtoB"
0.222941,0.061071625,0.822763199999999,29,"Blood","AtoB"
0.229709,0.062381785,0.8505265,30,"Blood","AtoB"
0.236658,0.06371031,0.879054449999999,31,"Blood","AtoB"
0.243456,0.06478386,0.904653649999999,32,"Blood","AtoB"
0.2501735,0.065544215,0.9317825,33,"Blood","AtoB"
0.256999,0.06648978,0.95883775,34,"Blood","AtoB"
0.263923,0.067539855,0.98649275,35,"Blood","AtoB"
0.270543,0.068459865,1.0118325,36,"Blood","AtoB"
0.277458,0.06939058,1.0393635,37,"Blood","AtoB"
0.2838505,0.07002526,1.0658465,38,"Blood","AtoB"
0.29029,0.070631995,1.092171,39,"Blood","AtoB"
0.29666,0.07150543,1.1183835,40,"Blood","AtoB"
0.3028185,0.07226949,1.1443335,41,"Blood","AtoB"
0.3094095,0.072871025,1.169895,42,"Blood","AtoB"
0.3159305,0.07396936,1.195565,43,"Blood","AtoB"
0.3225445,0.07458776,1.2208835,44,"Blood","AtoB"
0.328951,0.07521104,1.2487375,45,"Blood","AtoB"
0.3355175,0.07572072,1.2731325,46,"Blood","AtoB"
0.341853,0.07641407,1.300443,47,"Blood","AtoB"
0.348114,0.076847405,1.3265115,48,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
5307.2,9.014663,25880.91,1,"Cell","AtoB"
7692.215,16.21542,25846,2,"Cell","AtoB"
9362.18,22.396155,25810.8,3,"Cell","AtoB"
10680.2,28.353315,25780.01,4,"Cell","AtoB"
11654.55,34.20362,25755.705,5,"Cell","AtoB"
12438.1,39.903245,25730.8,6,"Cell","AtoB"
13024.7,45.378085,25711.6,7,"Cell","AtoB"
13511.6,50.916835,25693.105,8,"Cell","AtoB"
13967.2,55.80613,25676.71,9,"Cell","AtoB"
14363.9,61.20509,25663.1,10,"Cell","AtoB"
14671.85,65.97651,25650.405,11,"Cell","AtoB"
14907.5,70.958075,25638.305,12,"Cell","AtoB"
15118.65,75.56616,25628.015,13,"Cell","AtoB"
15248.85,80.261875,25616.705,14,"Cell","AtoB"
15372.95,85.25325,25609.4,15,"Cell","AtoB"
15471,90.135765,25603.01,16,"Cell","AtoB"
15585.3,94.659985,25597.305,17,"Cell","AtoB"
15694.45,99.60012,25592.505,18,"Cell","AtoB"
15781.85,104.25095,25587.615,19,"Cell","AtoB"
15863.2,108.48585,25587.4,20,"Cell","AtoB"
15925.5,113.08885,25583.71,21,"Cell","AtoB"
15995.3,117.40435,25585.3,22,"Cell","AtoB"
16033.05,122.0659,25585.315,23,"Cell","AtoB"
16090.8,126.7736,25585.3,24,"Cell","AtoB"
16118.25,131.27645,25585.205,25,"Cell","AtoB"
16158.5,136.00175,25586.905,26,"Cell","AtoB"
16199.5,139.72275,25588.405,27,"Cell","AtoB"
16249.4,144.15605,25588.3,28,"Cell","AtoB"
16269.7,148.57745,25590.21,29,"Cell","AtoB"
16291.8,152.1656,25593.035,30,"Cell","AtoB"
16314.25,156.97335,25599.1,31,"Cell","AtoB"
16337.05,161.3847,25601.71,32,"Cell","AtoB"
16362.6,165.40775,25603.91,33,"Cell","AtoB"
16387.2,169.6665,25606.81,34,"Cell","AtoB"
