"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","valid","Q5","Q50","Q95","MCSE_Q2.5","MCSE_Q25","MCSE_Q50","MCSE_Q75","MCSE_Q97.5","MCSE_SD","Bulk_ESS","Tail_ESS"
"iter",180000,30296.9149076385,69291.7745727103,66000,120000,180000,240000,294000,11,1.73265699316705,1,72000,180000,288000,3675,26625,48795,26625,3675,22746.0931967804,6,62
"p_1.1.",-8.40151826916182,0.513016818568688,5.64167327316404,-14.2484,-13.292025,-9.76525,-4.7098925,4.6571645,111,1.01608291786663,1,-14.07757,-9.76525,2.640936,0.0205000000000002,0.12035,1.478125,0.74571,0.5995,0.363636169337761,138,596
"p_2.1.",-1.30281307909985,0.52898691136523,5.74955914605528,-7.24492475,-6.2478875,-2.8314,2.52374,12.008785,109,1.0181426593761,1,-7.055656,-2.8314,9.75737899999999,0.0158299999999998,0.0757599999999998,1.54526,0.72147,0.66095,0.374977638617542,133,582
"p_3.1.",0.0781470952078178,0.459039452634155,5.36583883268318,-4.939222,-4.299545,-2.817075,3.622305,12.69038,133,1.01255217113958,1,-4.8032925,-2.817075,10.54132,0.012035,0.0510899999999999,1.23719,0.675535,0.78435,0.325285302912966,158,504
"p_4.1.",-9.39168216425462,0.474767099237805,5.50774092984035,-15.1709925,-13.958275,-12.0041,-5.69964,3.27165375,127,1.01368962886495,1,-14.9443,-12.0041,1.203791,0.0186500000000001,0.119750000000001,1.22765,0.65747,0.71709,0.336933132684357,153,481
"GSD_error_C1_blood.1.",2.12243362673416,0.00811681965474182,1.25753212226447,1.25141375,1.44547,1.68309,2.2074775,6.20910275,23991,0.999993412488043,1,1.282663,1.68309,4.7178025,0.00141999999999998,0.00168499999999994,0.00339,0.00992999999999999,0.100465,0.00573952797013657,25874,25722
"GSD_error_C1_cell.1.",4.27252889295088,0.0167722309532414,2.40995185355296,1.19903575,2.24699,3.68423,5.9743125,9.47473925,20685,1.00000129333507,1,1.3020075,3.68423,8.963447,0.00365500000000007,0.01535,0.028645,0.0322749999999998,0.0201400000000005,0.0118599259828156,19024,25647
"GSD_error_C2_cell.1.",4.26118488220223,0.0167485473953143,2.42655904975815,1.18446525,2.2035275,3.68341,5.984955,9.47102175,20951,0.999982241406708,1,1.275542,3.68341,8.991144,0.00240499999999999,0.0153000000000001,0.0239800000000001,0.0324750000000003,0.0167099999999998,0.0118431761253414,19399,27171
"GSD_error_C2_lumen.1.",2.70975217535308,0.0106883805341188,1.56186627663555,1.39793325,1.7256825,2.130885,3.04535,7.65029225,21129,1.00013217473355,1,1.450673,2.130885,6.283998,0.00246000000000002,0.00414999999999999,0.0063200000000001,0.0176700000000001,0.0837600000000003,0.00755792976946275,20647,28109
"LnPrior",-27.0844519297588,0.0256731694720405,1.13971436123307,-29.5678155,-27.78683,-27.00269,-26.2668075,-25.144625,1958,1.00344539213532,1,-29.088407,-27.00269,-25.392212,0.0815849999999987,0.0292850000000016,0.0204450000000005,0.0162150000000008,0.0135799999999993,0.0184187774239646,2240,2424
"LnData",-7.90903635908012,0.0178154985292805,2.34771842040221,-13.17137175,-9.3667135,-7.633373,-6.16681725,-4.178805675,17272,1.00008340947403,1,-12.1753825,-7.633373,-4.60479635,0.0583450000000001,0.0233595000000006,0.0222819999999997,0.0150389999999998,0.0204359999999997,0.0125976713360883,17842,24089
"LnPosterior",-34.9934883055243,0.0261780639715822,3.06279512414083,-41.808306,-36.8915225,-34.680865,-32.7780325,-29.9286375,13514,1.00026306107775,1,-40.5242235,-34.680865,-30.5373235,0.0582649999999987,0.0372800000000026,0.02806,0.0239949999999993,0.0276499999999995,0.0185110809479203,13771,24781
