"iter","p_1.1.","p_2.1.","p_3.1.","p_4.1.","GSD_error_C1_blood.1.","GSD_error_C1_cell.1.","GSD_error_C2_cell.1.","GSD_error_C2_lumen.1.","LnPrior","LnData","LnPosterior"
60030,-14.3093,-4.32776,7.58726,-4.27038,1.60719,6.07479,7.27004,1.78198,-28.08454,-6.964116,-35.04865
60060,-13.8967,-6.47028,6.73798,-3.56958,1.43374,4.12,2.20955,1.78984,-26.27433,-5.375194,-31.64952
60090,-14.0674,-5.85515,8.44817,-1.91007,1.21139,2.03048,3.67951,1.54568,-26.0134,-7.639765,-33.65317
60120,-12.981,-6.9799,8.07985,-0.279666,1.37804,5.75051,6.47086,1.52905,-27.70797,-4.842973,-32.55095
60150,-12.8623,-7.46022,8.3056,-0.544805,1.99133,3.46702,3.3416,2.95379,-27.57618,-9.706843,-37.28302
60180,-14.3002,-5.44443,11.3263,-0.369166,1.46269,5.92187,3.65644,2.58367,-28.22816,-7.38087,-35.60903
60210,-14.1357,-3.86772,11.6302,-0.723976,2.36194,3.26546,3.59033,1.87208,-27.81455,-8.860543,-36.67509
60240,-13.6169,-5.62392,11.6815,1.56142,1.65462,2.44253,1.77734,3.02356,-27.02212,-7.367455,-34.38958
60270,-13.1733,-5.98655,11.1599,2.5961,2.64193,3.11104,3.06526,2.10087,-27.88621,-9.775608,-37.66181
60300,-13.503,-6.27434,9.59988,-0.483849,1.86591,5.41264,1.48243,1.75297,-26.81052,-5.13983,-31.95035
60330,-13.7223,-6.7279,7.95356,-2.15227,1.28879,3.13375,3.26693,1.92752,-26.5236,-7.076062,-33.59966
60360,-13.2281,-7.14608,6.75806,-2.17412,1.42076,9.12893,8.25144,1.72097,-28.34966,-6.270022,-34.61969
60390,-13.4408,-6.65831,9.24117,-0.409125,1.45259,2.6653,1.91358,2.62906,-26.46741,-6.383115,-32.85052
60420,-13.4953,-6.11362,7.83998,-2.30994,2.0089,7.26437,1.40789,1.45243,-26.65601,-5.141391,-31.7974
60450,-12.7253,-6.03783,6.30789,-3.82692,2.70959,6.81139,2.569,1.6516,-27.37966,-8.817953,-36.19761
60480,-11.9929,-6.69626,6.59417,-1.4048,1.70157,3.53133,7.83801,1.90226,-27.58873,-8.423978,-36.0127
60510,-13.1632,-6.63728,4.90358,-4.02686,1.77954,4.27518,5.87255,1.48859,-27.09658,-5.648007,-32.74459
60540,-14.2975,-5.07892,4.05495,-6.35964,4.86191,5.13496,8.92357,3.39379,-29.49509,-12.69243,-42.18752
60570,-13.6854,-6.33469,5.6304,-4.0179,1.79533,7.10427,1.79602,1.41023,-26.46809,-5.038746,-31.50684
60600,-14.3003,-6.18224,4.98987,-5.32761,1.88072,5.05055,2.53851,4.76301,-27.68898,-9.070344,-36.75932
60630,-12.9101,-6.41365,6.67507,-1.42708,1.5914,1.92805,8.31438,7.54373,-28.39976,-8.822311,-37.22207
60660,-13.2453,-6.5151,7.39907,-1.72941,1.24902,1.96734,2.06903,2.48353,-25.75502,-6.779563,-32.53458
60690,-13.3126,-6.14488,4.83465,-4.16935,3.11037,2.00371,2.42963,3.34037,-26.82277,-9.557169,-36.37994
60720,-14.26,-5.7455,4.33579,-5.80867,1.43799,3.03693,7.13011,2.19542,-27.10907,-8.476969,-35.58604
60750,-14.104,-5.50014,4.34154,-6.05755,1.46242,4.63718,2.38867,1.50422,-26.06996,-6.55883,-32.62879
60780,-13.1422,-6.75676,3.8627,-3.95184,1.78095,1.81267,3.97771,1.50212,-25.77063,-8.586276,-34.3569
60810,-12.3433,-6.58057,4.88696,-2.99351,1.2959,2.0192,2.26617,1.86111,-25.28944,-6.836244,-32.12569
60840,-12.9032,-7.32909,1.69397,-6.48561,1.55253,2.67016,4.71146,1.5317,-26.00828,-6.879008,-32.88729
60870,-13.317,-6.78641,2.20821,-6.65983,1.44039,3.93674,3.25287,1.51951,-25.99575,-4.46681,-30.46256
60900,-12.4915,-7.58132,3.74688,-3.9343,1.41477,1.20197,7.3145,2.48982,-26.20774,-5.315895,-31.52363
60930,-11.1146,-7.01071,3.4897,-2.81736,1.80283,3.68097,6.64314,3.69539,-27.82476,-9.842526,-37.66729
60960,-12.7683,-6.78103,4.2426,-4.06481,2.0791,1.61715,5.23758,2.18806,-26.47443,-6.414545,-32.88897
60990,-13.7371,-5.70902,5.90411,-4.75454,1.66899,2.92395,3.15601,3.05113,-26.86185,-7.61504,-34.47689
61020,-13.9045,-5.4548,5.4724,-5.36001,1.66352,5.34271,2.45925,1.89834,-26.69917,-5.580243,-32.27942
61050,-13.652,-6.62521,5.35651,-3.61168,1.36662,6.1067,2.55609,2.28911,-26.86246,-7.321113,-34.18357
61080,-13.9487,-5.59655,5.06915,-5.58675,1.83803,4.32135,1.81542,2.91804,-26.67452,-7.244484,-33.91901
61110,-13.737,-4.77909,4.41681,-6.77589,1.56352,7.36455,3.71982,3.55623,-27.8967,-8.801288,-36.69799
61140,-13.2266,-5.99127,5.77784,-3.21307,1.77259,8.86167,7.7263,4.54262,-29.31848,-9.154446,-38.47292
61170,-13.2276,-7.14208,6.09915,-2.00183,3.0333,1.9369,8.67554,1.69686,-27.53372,-8.000254,-35.53398
61200,-12.3629,-6.58522,5.76398,-2.01329,1.29268,1.12817,3.15719,2.25089,-25.3409,-4.039425,-29.38032
