"median","LCL","UCL","time","compartment.name","study"
1e-15,1e-15,1e-15,0,"Blood","AtoB"
0.06291445,0.02527475,0.13237935,1,"Blood","AtoB"
0.1314505,0.06971018,0.27564905,2,"Blood","AtoB"
0.2018595,0.11468275,0.4224717,3,"Blood","AtoB"
0.2726985,0.1591681,0.5697315,4,"Blood","AtoB"
0.3434405,0.202532,0.72119105,5,"Blood","AtoB"
0.4136925,0.24443725,0.86982705,6,"Blood","AtoB"
0.483688,0.2861314,1.017348,7,"Blood","AtoB"
0.552409,0.3271932,1.162118,8,"Blood","AtoB"
0.620802,0.36826335,1.306205,9,"Blood","AtoB"
0.6884275,0.40820475,1.449179,10,"Blood","AtoB"
0.755557,0.44796755,1.595562,11,"Blood","AtoB"
0.8223755,0.486811,1.738585,12,"Blood","AtoB"
0.888481,0.52579855,1.8769525,13,"Blood","AtoB"
0.9538765,0.56486135,2.0160985,14,"Blood","AtoB"
1.01882,0.6031,2.1519575,15,"Blood","AtoB"
1.08288,0.6413581,2.285067,16,"Blood","AtoB"
1.14621,0.6796241,2.4171675,17,"Blood","AtoB"
1.20915,0.7174195,2.552045,18,"Blood","AtoB"
1.27195,0.7545701,2.6775195,19,"Blood","AtoB"
1.33421,0.792371,2.806307,20,"Blood","AtoB"
1.39552,0.8288143,2.92842,21,"Blood","AtoB"
1.4564,0.8655266,3.051067,22,"Blood","AtoB"
1.516635,0.90167975,3.1775225,23,"Blood","AtoB"
1.57656,0.9374475,3.2878085,24,"Blood","AtoB"
1.63607,0.971351,3.406189,25,"Blood","AtoB"
1.69519,1.0056215,3.524184,26,"Blood","AtoB"
1.753545,1.0401575,3.6420895,27,"Blood","AtoB"
1.811875,1.0738995,3.760904,28,"Blood","AtoB"
1.86956,1.107355,3.8724385,29,"Blood","AtoB"
1.926925,1.1396975,3.987202,30,"Blood","AtoB"
1.9837,1.1734825,4.1011305,31,"Blood","AtoB"
2.03967,1.2057875,4.2067035,32,"Blood","AtoB"
2.09591,1.238848,4.3150255,33,"Blood","AtoB"
2.151185,1.2696035,4.419243,34,"Blood","AtoB"
2.206085,1.301515,4.5277485,35,"Blood","AtoB"
2.26106,1.332408,4.6305475,36,"Blood","AtoB"
2.31527,1.363569,4.729121,37,"Blood","AtoB"
2.368925,1.3948545,4.8246225,38,"Blood","AtoB"
2.42277,1.424659,4.9219275,39,"Blood","AtoB"
2.47543,1.4553795,5.024217,40,"Blood","AtoB"
2.52814,1.4854875,5.122056,41,"Blood","AtoB"
2.580345,1.514787,5.2188715,42,"Blood","AtoB"
2.6323,1.543057,5.3148095,43,"Blood","AtoB"
2.68372,1.5719865,5.404369,44,"Blood","AtoB"
2.73456,1.5986545,5.4986875,45,"Blood","AtoB"
2.785485,1.6256835,5.581644,46,"Blood","AtoB"
2.835845,1.6547895,5.67693,47,"Blood","AtoB"
2.885835,1.6820715,5.761371,48,"Blood","AtoB"
1e-15,1e-15,1e-15,0,"Cell","AtoB"
1270.515,27.190455,51505.33,1,"Cell","AtoB"
2233.97,50.67856,51901.835,2,"Cell","AtoB"
2992.73,73.59468,52051.125,3,"Cell","AtoB"
3601.82,95.259605,51999.91,4,"Cell","AtoB"
4111.49,116.8255,51955.195,5,"Cell","AtoB"
4569.125,137.93585,51849.23,6,"Cell","AtoB"
4935.96,158.807,51691.275,7,"Cell","AtoB"
5264.655,179.395,51603.89,8,"Cell","AtoB"
5555.97,199.04615,51448.68,9,"Cell","AtoB"
5812.88,218.79925,51254.9,10,"Cell","AtoB"
6037.55,239.0083,51086.92,11,"Cell","AtoB"
6241.875,259.1156,50884.6,12,"Cell","AtoB"
6461.425,278.0071,50713.77,13,"Cell","AtoB"
6687.78,297.6992,50580.795,14,"Cell","AtoB"
6882.475,317.01815,50424.28,15,"Cell","AtoB"
7066.16,335.9194,50315.63,16,"Cell","AtoB"
7223.59,355.25085,50137.945,17,"Cell","AtoB"
7365.895,373.39885,49997.875,18,"Cell","AtoB"
7514.26,391.8517,49800.84,19,"Cell","AtoB"
7660.25,409.8724,49672.85,20,"Cell","AtoB"
7778.825,427.59195,49550.39,21,"Cell","AtoB"
7892.77,445.3046,49398.43,22,"Cell","AtoB"
7998.95,463.1811,49263.055,23,"Cell","AtoB"
8097.74,480.63865,49117.5,24,"Cell","AtoB"
8201.145,499.1757,48965.255,25,"Cell","AtoB"
8298.335,516.6091,48844.285,26,"Cell","AtoB"
8402.715,534.536,48687.74,27,"Cell","AtoB"
8488.085,551.9533,48569.335,28,"Cell","AtoB"
8563.865,569.67795,48448.625,29,"Cell","AtoB"
8633.805,586.7627,48344.86,30,"Cell","AtoB"
8703.71,603.5339,48209.845,31,"Cell","AtoB"
8768.42,620.33675,48096.065,32,"Cell","AtoB"
8854.235,637.24025,48002.38,33,"Cell","AtoB"
8913.01,654.1951,47902.625,34,"Cell","AtoB"
8992.625,670.70245,47798.33,35,"Cell","AtoB"
